chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	19	0.0000673279	0.0000000046
1	1892607	3582735	438	40	0.0003210301	0.0000000192
1	3582736	4380810	276	40	-0.0000524117	0.0000000069
1	4380811	5913892	877	40	-0.0000174696	0.0000000065
1	5913893	7247334	435	40	0.0000935906	0.0000000067
1	7247335	9365198	704	40	0.0001620702	0.0000000112
1	9365199	10806983	354	40	0.0000023032	0.0000000087
1	10806984	11777840	259	40	0.0000899103	0.0000000076
1	11777841	12779465	289	40	0.0000288368	0.0000000054
1	12779466	14891510	618	40	0.0000682070	0.0000000092
1	14891511	16897729	693	40	-0.0000001009	0.0000000075
1	16897730	18662898	671	40	-0.0000564296	0.0000000149
1	18662899	20469148	726	40	-0.0001126674	0.0000000122
1	20469149	21736587	462	40	0.0001954808	0.0000000116
1	21736588	23086882	525	40	0.0000442136	0.0000000112
1	23086883	23920589	223	28	-0.0000160126	0.0000000101
1	23920590	25516844	525	40	0.0001623592	0.0000000116
1	25516845	27401866	414	40	0.0001573539	0.0000000143
1	27401867	30161880	555	40	0.0001520949	0.0000000097
1	30161881	32438684	939	40	0.0000340592	0.0000000120
1	32438685	34799757	678	40	0.0001325243	0.0000000086
1	34799758	37549182	556	40	0.0000708866	0.0000000085
1	37549183	38731846	374	40	0.0000420735	0.0000000106
1	38731847	40200566	448	40	-0.0002501460	0.0000000078
1	40200567	41975326	558	40	0.0001696497	0.0000000153
1	41975327	43758456	551	40	0.0000897450	0.0000000106
1	43758457	44969182	372	35	0.0000316551	0.0000000052
1	44969183	46899500	462	39	-0.0002476095	0.0000000095
1	46899501	48002575	297	33	0.0000416939	0.0000000111
1	48002576	48978187	346	40	-0.0000889817	0.0000000077
1	48978188	49894176	248	28	-0.0001313127	0.0000000033
1	49894177	51713725	260	25	0.0000500953	0.0000000058
1	51713726	54226261	565	40	0.0002495847	0.0000000111
1	54226262	56413116	842	40	-0.0000221967	0.0000000105
1	56413117	57021727	273	31	-0.0001273669	0.0000000057
1	57021728	58865398	852	40	0.0002137279	0.0000000086
1	58865399	59890408	385	40	-0.0000188604	0.0000000061
1	59890409	61922364	676	40	-0.0000131536	0.0000000089
1	61922365	63455088	536	40	-0.0000889374	0.0000000085
1	63455089	65041703	660	40	-0.0000072849	0.0000000074
1	65041704	66939403	654	40	0.0000812718	0.0000000109
