chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	15	0.0000573222	0.000000087047
1	1892607	3582735	437	15	0.0001526297	0.000000372180
1	3582736	4380810	272	15	0.0004930324	0.000000221033
1	4380811	5913892	869	15	0.0000789105	0.000000370516
1	5913893	7247334	430	15	-0.0001502669	0.000000232925
1	7247335	9365198	699	15	0.0000678937	0.000000369081
1	9365199	10806983	352	15	-0.0000122197	0.000000185776
1	10806984	11777840	258	15	0.0003442581	0.000000196905
1	11777841	12779465	281	15	0.0000102968	0.000000199263
1	12779466	14891510	617	15	0.0000412122	0.000000376105
1	14891511	16897729	690	15	0.0002936274	0.000000397418
1	16897730	18662898	663	15	0.0000572495	0.000000386632
1	18662899	20469148	714	15	0.0002322988	0.000000409217
1	20469149	21736587	461	15	0.0002184675	0.000000277661
1	21736588	23086882	523	15	-0.0001630418	0.000000319044
1	23086883	23920589	222	15	-0.0000127475	0.000000110292
1	23920590	25516844	521	15	0.0003298978	0.000000345771
1	25516845	27401866	413	15	-0.0000710244	0.000000179355
1	27401867	30161880	551	15	-0.0000835310	0.000000272523
1	30161881	32438684	936	15	0.0000438598	0.000000362928
1	32438685	34799757	675	15	-0.0000583536	0.000000356186
1	34799758	37549182	549	15	-0.0000144311	0.000000293360
1	37549183	38731846	373	15	0.0002257938	0.000000206711
1	38731847	40200566	447	15	0.0003001983	0.000000270330
1	40200567	41975326	555	15	0.0000683744	0.000000270995
1	41975327	43758456	543	15	0.0002266139	0.000000260163
1	43758457	44969182	371	15	0.0001683367	0.000000175831
1	44969183	46899500	458	15	0.0000133077	0.000000152362
1	46899501	48002575	297	15	0.0000139037	0.000000128202
1	48002576	48978187	344	15	0.0000831542	0.000000176435
1	48978188	49894176	247	15	0.0002050306	0.000000131273
1	49894177	51713725	259	15	0.0000759239	0.000000090612
1	51713726	54226261	562	15	-0.0000035233	0.000000290228
1	54226262	56413116	838	15	-0.0000717517	0.000000362281
1	56413117	57021727	271	15	0.0002738298	0.000000131751
1	57021728	58865398	847	15	0.0000369170	0.000000363716
1	58865399	59890408	383	15	0.0001545370	0.000000188558
1	59890409	61922364	671	15	-0.0000722036	0.000000361389
1	61922365	63455088	533	15	0.0000215020	0.000000301917
1	63455089	65041703	657	15	-0.0000391777	0.000000294296
1	65041704	66939403	649	15	-0.0000109343	0.000000293971
1	66939404	68477894	687	15	0.0000296787	0.000000284986
1	68477895	69687615	389	15	0.0000450371	0.000000205394
1	69687616	71372469	520	15	0.0003630952	0.000000281144
1	71372470	71684404	82	10	0.0000337263	0.000000029583
1	71684405	74326906	559	15	0.0001295239	0.000000225528
1	74326907	76728134	727	15	0.0000858437	0.000000296803
1	76728135	79661197	947	15	0.0000642735	0.000000368746
1	79661198	81354190	475	15	-0.0000848699	0.000000223841
1	81354191	83991747	973	15	0.0000327623	0.000000375377
1	83991748	84844494	314	15	0.0000727762	0.000000134707
1	84844495	86454750	652	15	0.0000854987	0.000000335213
1	86454751	88128630	571	15	0.0001453839	0.000000308568
1	88128631	90066302	523	15	-0.0000299571	0.000000254550
1	90066303	91886316	559	15	0.0000986539	0.000000287743
1	91886317	93536458	509	15	0.0001512796	0.000000222775
1	93536459	94506190	255	15	-0.0000031715	0.000000102983
1	94506191	96150892	651	15	-0.0000711829	0.000000331435
1	96150893	97885248	605	15	0.0001542931	0.000000254708
1	97885249	99800603	640	15	0.0001092666	0.000000300665
1	99800604	100826404	339	15	0.0000874848	0.000000138729
1	100826405	102041015	447	15	0.0001132283	0.000000202217
1	102041016	102898744	280	15	0.0001780640	0.000000157937
1	102898745	103914210	201	15	0.0001616393	0.000000083348
1	103914211	106087841	455	15	0.0003361265	0.000000243896
1	106087842	108409664	726	15	0.0000948300	0.000000373805
1	108409665	110303930	565	15	0.0003062106	0.000000317109
1	110303931	111741736	571	15	0.0000265946	0.000000361974
1	111741737	113273305	721	15	0.0000071426	0.000000360746
1	113273306	114873844	512	15	-0.0000736280	0.000000263676
1	114873845	115880592	345	15	-0.0001010547	0.000000133715
1	115880593	118839066	837	15	0.0000409435	0.000000371057
1	118839067	144977493	567	15	0.0002026770	0.000000271435
1	144977494	148361252	432	15	-0.0000176221	0.000000187408
1	148361253	151538880	349	15	0.0000009813	0.000000142374
1	151538881	153180828	468	15	0.0000429829	0.000000183249
1	153180829	154770402	459	15	0.0000547086	0.000000226212
1	154770403	156336132	307	15	-0.0000093849	0.000000156125
1	156336133	158027411	597	15	0.0001856486	0.000000333125
1	158027412	159913047	683	15	0.0003525962	0.000000416275
1	159913048	162346720	875	15	0.0001757514	0.000000388490
1	162346721	165191701	1196	15	-0.0000574150	0.000000356503
1	165191702	166460516	533	15	0.0001844614	0.000000315972
1	166460517	169086323	1106	15	0.0000197983	0.000000375615
1	169086324	170557775	560	15	0.0000487073	0.000000216163
1	170557776	173097906	902	15	0.0000158428	0.000000347071
1	173097907	175089767	412	15	0.0000109874	0.000000121471
1	175089768	177433380	784	15	-0.0001031581	0.000000339928
1	177433381	178944308	492	15	0.0000668350	0.000000216852
1	178944309	178954469	2	1	0.0000439844	0.000000011545
1	178954470	181144120	750	15	0.0000767246	0.000000333408
1	181144121	182755355	601	15	-0.0000807644	0.000000316532
1	182755356	184595512	630	15	0.0000394422	0.000000298704
1	184595513	186810022	524	15	0.0001128631	0.000000237400
1	186810023	188759944	619	15	-0.0001185779	0.000000260806
1	188759945	189904129	219	15	0.0002071867	0.000000090020
1	189904130	191868929	538	15	-0.0001401418	0.000000173317
1	191868930	194107441	584	15	-0.0000371657	0.000000257147
1	194107442	196176200	580	15	0.0000611168	0.000000233219
1	196176201	197311513	196	15	0.0000926441	0.000000071295
1	197311514	199239883	504	15	-0.0000084800	0.000000232356
1	199239884	200137648	301	15	0.0000537536	0.000000139210
1	200137649	201589974	710	15	0.0000680669	0.000000386662
1	201589975	203334733	616	15	-0.0000608386	0.000000377380
1	203334734	204681067	484	15	0.0003612775	0.000000289068
1	204681068	206073264	577	15	0.0001315281	0.000000337139
1	206073265	208410363	634	15	-0.0000079372	0.000000358850
1	208410364	210787749	931	15	-0.0000431721	0.000000353151
1	210787750	212842329	698	15	-0.0000325510	0.000000360423
1	212842330	214578265	613	15	-0.0000793895	0.000000353444
1	214578266	216243633	593	15	0.0000891967	0.000000290043
1	216243634	218705512	1084	15	-0.0000915586	0.000000338944
1	218705513	219590570	282	15	0.0000801937	0.000000127844
1	219590571	221858230	690	15	0.0000635503	0.000000338959
1	221858231	222230219	174	15	0.0000996767	0.000000092153
1	222230220	224938519	467	15	0.0000133101	0.000000240202
1	224938520	226810859	519	15	0.0001489289	0.000000274664
1	226810860	229156247	695	15	-0.0001104576	0.000000333273
1	229156248	230685254	530	15	0.0000326986	0.000000315687
1	230685255	232090251	589	15	0.0001073339	0.000000342614
1	232090252	233429283	607	15	-0.0000778598	0.000000388298
1	233429284	234599433	536	15	-0.0000372505	0.000000318346
1	234599434	235819435	384	15	0.0002031892	0.000000262317
1	235819436	237555627	732	15	-0.0000006131	0.000000377223
1	237555628	238567806	429	15	0.0000408682	0.000000244206
1	238567807	239925313	490	15	0.0002366107	0.000000287633
1	239925314	240564090	341	15	0.0001826981	0.000000196018
1	240564091	241582219	517	15	-0.0002190647	0.000000364667
1	241582220	242071601	220	15	0.0001013471	0.000000139920
1	242071602	244109498	622	15	0.0003173931	0.000000374982
1	244109499	245506745	518	15	-0.0001433860	0.000000357533
1	245506746	247344517	709	15	-0.0000047931	0.000000384690
1	247344518	249239465	399	15	0.0003413393	0.000000260939
2	10133	1781021	662	15	0.0000520383	0.000000352862
2	1781022	3973778	967	15	0.0000197730	0.000000372934
2	3973779	5708336	632	15	0.0000351462	0.000000360080
2	5708337	6836253	565	15	0.0001717043	0.000000300041
2	6836254	8422146	655	15	-0.0000220571	0.000000348649
2	8422147	10298468	674	15	0.0002514196	0.000000386551
2	10298469	12419149	973	15	0.0001851430	0.000000394792
2	12419150	14335307	594	15	0.0000975087	0.000000305373
2	14335308	16329734	746	15	0.0002863944	0.000000358357
2	16329735	18647422	859	15	0.0000069669	0.000000355860
2	18647423	19692403	384	15	0.0000517624	0.000000199258
2	19692404	21050489	635	15	0.0001346461	0.000000346161
2	21050490	23341382	622	15	0.0000430763	0.000000350590
2	23341383	24686917	442	15	-0.0000676637	0.000000207116
2	24686918	26894984	560	15	0.0001013163	0.000000295380
2	26894985	28598776	417	15	-0.0000198925	0.000000174180
2	28598777	29217558	247	15	0.0004097790	0.000000151624
2	29217559	30463710	636	15	0.0000402520	0.000000361480
2	30463711	31550449	531	15	0.0000977670	0.000000333277
2	31550450	33363776	495	15	0.0002441501	0.000000320263
2	33363777	35345027	805	15	0.0000039068	0.000000345241
2	35345028	36122005	291	15	0.0002879288	0.000000155390
2	36122006	38132711	932	15	-0.0000707906	0.000000346898
2	38132712	39031336	326	15	0.0001202069	0.000000192078
2	39031337	40281482	303	15	0.0001502688	0.000000167397
2	40281483	43309589	1310	15	0.0002635330	0.000000343376
2	43309590	44313802	403	15	0.0001756723	0.000000247417
2	44313803	46482633	1073	15	-0.0000661710	0.000000361483
2	46482634	47318771	419	15	0.0000077564	0.000000297502
2	47318772	48213000	300	15	-0.0000094650	0.000000219100
2	48213001	50022256	715	15	0.0002211106	0.000000352534
2	50022257	50818927	345	15	0.0002001630	0.000000189449
2	50818928	52491132	648	15	0.0001463507	0.000000346288
2	52491133	53508451	466	15	0.0001862394	0.000000249960
2	53508452	54685225	435	15	-0.0000005397	0.000000232711
2	54685226	56203344	613	15	0.0000900803	0.000000331899
2	56203345	57429099	428	15	0.0000359576	0.000000229020
2	57429100	58297314	272	15	0.0002117040	0.000000148259
2	58297315	60291999	741	15	0.0001425699	0.000000341960
2	60292000	62429043	587	15	0.0000066406	0.000000324620
2	62429044	64625912	583	15	0.0002696411	0.000000326121
2	64625913	65933443	464	15	0.0001130156	0.000000272724
2	65933444	67226165	555	15	-0.0000063492	0.000000283321
2	67226166	68010175	423	15	0.0000411600	0.000000209361
2	68010176	69139563	471	15	-0.0000351943	0.000000229988
2	69139564	70755197	535	15	0.0001128804	0.000000249516
2	70755198	73174847	802	15	0.0003339290	0.000000391299
2	73174848	75630085	721	15	-0.0000217153	0.000000369250
2	75630086	76913660	515	15	-0.0000433337	0.000000265445
2	76913661	78079263	394	15	0.0000543267	0.000000261528
2	78079264	80050402	826	15	0.0000534443	0.000000339310
2	80050403	81620840	579	15	0.0000227526	0.000000348377
2	81620841	85140679	891	15	-0.0000299802	0.000000275476
2	85140680	88038506	633	15	0.0000052001	0.000000280310
2	88038507	89154525	245	15	-0.0000459415	0.000000099950
2	89154526	95326451	4	2	-0.0000048644	0.000000003868
2	95326452	98995200	428	15	0.0001815570	0.000000201920
2	98995201	101822328	907	15	-0.0000041789	0.000000321006
2	101822329	102688764	261	15	0.0000779354	0.000000109004
2	102688765	103588214	406	15	-0.0000198398	0.000000134112
2	103588215	105125033	304	15	0.0000773224	0.000000146564
2	105125034	106210057	406	15	-0.0000563584	0.000000206985
2	106210058	107408266	444	15	0.0000204378	0.000000221162
2	107408267	108429176	355	15	0.0001066367	0.000000150989
2	108429177	110572431	530	15	0.0001019648	0.000000255122
2	110572432	113921855	797	15	-0.0000769302	0.000000321500
2	113921856	116772469	758	15	-0.0000877289	0.000000341743
2	116772470	118367465	397	15	0.0000221733	0.000000154512
2	118367466	121303782	993	15	0.0002344395	0.000000378097
2	121303783	123302905	576	15	0.0000988224	0.000000333637
2	123302906	124732249	430	15	0.0001204723	0.000000172846
2	124732250	125840920	381	15	0.0000163309	0.000000173535
2	125840921	127373763	409	15	-0.0000664046	0.000000139999
2	127373764	128034346	287	15	-0.0001195947	0.000000136634
2	128034347	129474440	433	15	-0.0001013135	0.000000205965
2	129474441	130067169	223	15	0.0000093477	0.000000095790
2	130067170	130658084	203	15	-0.0001314348	0.000000082244
2	130658085	133042783	214	15	0.0000667305	0.000000144783
2	133042784	135158577	915	15	-0.0001074100	0.000000347004
2	135158578	137042793	457	15	0.0003818787	0.000000198436
2	137042794	138698116	595	15	-0.0000074012	0.000000297783
2	138698117	140100270	434	15	0.0000196172	0.000000156257
2	140100271	141805350	569	15	0.0000182548	0.000000290934
2	141805351	142518601	299	15	0.0001417087	0.000000163830
2	142518602	144519483	657	15	0.0000469829	0.000000329267
2	144519484	146445569	439	15	0.0003559541	0.000000237434
2	146445570	147277161	151	15	0.0001961274	0.000000079728
2	147277162	150210291	661	15	-0.0000260830	0.000000282372
2	150210292	151731461	474	15	0.0002239151	0.000000251693
2	151731462	152486781	286	15	0.0003550881	0.000000141167
2	152486782	154005055	481	15	0.0001861665	0.000000236037
2	154005056	155391134	486	15	0.0000979337	0.000000255944
2	155391135	157560634	554	15	0.0000913479	0.000000273953
2	157560635	158533217	172	15	0.0000653062	0.000000106798
2	158533218	159577081	331	15	-0.0000344922	0.000000164398
2	159577082	161769732	721	15	-0.0000756175	0.000000320810
2	161769733	163503550	390	15	-0.0001097221	0.000000143663
2	163503551	164466637	192	15	0.0000658548	0.000000089622
2	164466638	165178839	176	15	0.0001934980	0.000000090310
2	165178840	167160269	630	15	-0.0000910810	0.000000272011
2	167160270	167355969	73	10	0.0000756016	0.000000036036
2	167355970	169968235	830	15	0.0003241931	0.000000359324
2	169968236	171226244	490	15	-0.0001183902	0.000000235204
2	171226245	173138904	574	15	-0.0000206088	0.000000312595
2	173138905	175588928	842	15	0.0000438419	0.000000359651
2	175588929	177363635	534	15	-0.0000428590	0.000000256456
2	177363636	178553182	475	15	0.0001575129	0.000000211753
2	178553183	181312738	1009	15	0.0001253452	0.000000353299
2	181312739	182266030	298	15	0.0001371594	0.000000133869
2	182266031	184357607	615	15	0.0003440963	0.000000344791
2	184357608	185280172	232	15	0.0000683632	0.000000101145
2	185280173	189882064	955	15	0.0000478806	0.000000348280
2	189882065	191973356	501	15	-0.0001024436	0.000000220227
2	191973357	195861163	715	15	-0.0000484774	0.000000377387
2	195861164	196447455	153	15	0.0000090500	0.000000074616
2	196447456	198078109	447	15	0.0003267167	0.000000196084
2	198078110	199311124	304	15	0.0002124731	0.000000114780
2	199311125	201576283	628	15	-0.0000096156	0.000000281507
2	201576284	202818636	316	15	0.0004080486	0.000000174000
2	202818637	205799240	744	15	0.0001690497	0.000000367492
2	205799241	206735703	404	15	0.0002157404	0.000000278043
2	206735704	208645398	657	15	-0.0000490898	0.000000356170
2	208645399	209941528	334	15	0.0000679090	0.000000176079
2	209941529	212379517	740	15	0.0001084033	0.000000343812
2	212379518	214014281	627	15	0.0001095774	0.000000370908
2	214014282	215573794	442	15	0.0000905503	0.000000230088
2	215573795	217715660	796	15	0.0000173902	0.000000367928
2	217715661	218395479	275	15	-0.0000399726	0.000000155821
2	218395480	220454550	593	15	0.0001106094	0.000000316406
2	220454551	222521175	854	15	-0.0000466403	0.000000364772
2	222521176	224859418	789	15	0.0002402823	0.000000395141
2	224859419	225840003	350	15	0.0001443453	0.000000142141
2	225840004	228119841	736	15	0.0002819582	0.000000360411
2	228119842	229370786	454	15	-0.0000093140	0.000000212293
2	229370787	231843388	933	15	-0.0000076980	0.000000366572
2	231843389	233550002	466	15	-0.0000796880	0.000000247159
2	233550003	235150986	796	15	0.0000122407	0.000000360542
2	235150987	236043549	416	15	0.0002264101	0.000000300950
2	236043550	237449031	471	15	0.0002485668	0.000000271606
2	237449032	238760980	536	15	0.0001327846	0.000000297736
2	238760981	239952642	412	15	0.0001089418	0.000000243773
2	239952643	241560083	650	15	-0.0000295386	0.000000397349
2	241560084	242149920	216	15	0.0001378910	0.000000126979
2	242149921	243188919	129	15	0.0000935939	0.000000071695
3	60157	1441778	620	15	0.0003356557	0.000000406005
3	1441779	2992119	897	15	-0.0001968533	0.000000364155
3	2992120	4431646	769	15	0.0000750310	0.000000380919
3	4431647	6083182	773	15	-0.0000521566	0.000000384807
3	6083183	7083386	429	15	0.0003196244	0.000000300224
3	7083387	8648560	861	15	0.0000282034	0.000000342970
3	8648561	9543182	488	15	-0.0000120392	0.000000344185
3	9543183	11019664	594	15	-0.0000223148	0.000000376251
3	11019665	13070798	738	15	0.0000900772	0.000000400219
3	13070799	14816899	788	15	0.0000390838	0.000000386294
3	14816900	16282441	531	15	0.0000666389	0.000000295064
3	16282442	17891117	500	15	0.0001262401	0.000000256439
3	17891118	19125143	341	15	-0.0000519136	0.000000176654
3	19125144	20091347	196	15	0.0000595432	0.000000121623
3	20091348	21643706	638	15	0.0002829353	0.000000365321
3	21643707	22204243	381	15	0.0000070314	0.000000230060
3	22204244	23804864	528	15	-0.0000213095	0.000000293013
3	23804865	25461557	746	15	0.0002198794	0.000000376164
3	25461558	26877768	469	15	0.0000119048	0.000000239754
3	26877769	27840909	272	15	0.0002387092	0.000000151979
3	27840910	29142259	449	15	0.0000832684	0.000000250731
3	29142260	30717954	685	15	0.0000964092	0.000000379525
3	30717955	32351714	659	15	0.0000748387	0.000000372310
3	32351715	33255591	276	15	-0.0000442544	0.000000169385
3	33255592	35283457	583	15	0.0002923129	0.000000299914
3	35283458	36486841	409	15	-0.0001262018	0.000000193793
3	36486842	38356115	596	15	0.0000381418	0.000000312094
3	38356116	40221297	659	15	-0.0001222588	0.000000312796
3	40221298	41064527	149	15	-0.0000364350	0.000000065658
3	41064528	42540001	450	15	0.0003821813	0.000000245820
3	42540002	45165152	706	15	0.0002688081	0.000000358362
3	45165153	46657499	516	15	0.0000331529	0.000000241080
3	46657500	47727211	176	15	0.0005692820	0.000000115687
3	47727212	49316971	257	15	0.0000556558	0.000000068538
3	49316972	51832014	440	15	0.0002527421	0.000000123207
3	51832015	54081389	608	15	0.0001129785	0.000000306089
3	54081390	55348859	664	15	0.0000199466	0.000000371258
3	55348860	56433906	370	15	-0.0000634930	0.000000196136
3	56433907	58157518	542	15	0.0000219981	0.000000249345
3	58157519	60272905	974	15	-0.0000124550	0.000000358421
3	60272906	62355665	980	15	0.0000192449	0.000000370375
3	62355666	63669285	671	15	-0.0001259112	0.000000370092
3	63669286	65273537	760	15	0.0000253836	0.000000352908
3	65273538	66270446	344	15	0.0000415976	0.000000232682
3	66270447	68286913	639	15	0.0003492766	0.000000376280
3	68286914	69276761	367	15	0.0000401575	0.000000218215
3	69276762	70449027	391	15	-0.0000150890	0.000000233292
3	70449028	72529328	792	15	-0.0000959770	0.000000365441
3	72529329	74321816	721	15	-0.0000748630	0.000000350168
3	74321817	75704948	273	15	-0.0000060210	0.000000140273
3	75704949	77508834	485	15	-0.0000023461	0.000000263984
3	77508835	79024540	406	15	0.0000178146	0.000000219727
3	79024541	81427309	489	15	0.0002026626	0.000000190184
3	81427310	82643885	295	15	-0.0000552367	0.000000112313
3	82643886	84367478	313	15	0.0002374668	0.000000143599
3	84367479	85582230	253	15	-0.0000551638	0.000000094629
3	85582231	87409731	453	15	0.0003567328	0.000000206188
3	87409732	88298372	189	15	0.0001265647	0.000000072098
3	88298373	94255315	463	15	0.0001298969	0.000000198818
3	94255316	95311970	216	15	0.0000913874	0.000000076832
3	95311971	98215949	567	15	0.0002294491	0.000000244153
3	98215950	99373761	330	15	0.0000570730	0.000000143819
3	99373762	100592216	332	15	0.0000332211	0.000000121429
3	100592217	103084959	658	15	0.0003589684	0.000000316013
3	103084960	104581612	413	15	0.0001284127	0.000000192523
3	104581613	106982810	711	15	-0.0000836081	0.000000355257
3	106982811	109522394	763	15	0.0000275294	0.000000345422
3	109522395	110513769	251	15	-0.0000306085	0.000000081350
3	110513770	112815698	694	15	0.0005388221	0.000000366986
3	112815699	113947862	375	15	0.0001082303	0.000000184073
3	113947863	115447079	405	15	0.0000918761	0.000000250933
3	115447080	116800152	523	15	0.0003711941	0.000000298878
3	116800153	118530250	569	15	0.0000087970	0.000000306484
