chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	15	0.0002736059	0.000000064064
1	1892607	3582735	405	15	0.0000232032	0.000000190458
1	3582736	4380810	262	15	0.0003820520	0.000000125705
1	4380811	5913892	862	15	-0.0000630984	0.000000213812
1	5913893	7247334	409	15	0.0002127688	0.000000148183
1	7247335	9365198	680	15	-0.0000019690	0.000000216504
1	9365199	10806983	338	15	0.0000706141	0.000000110865
1	10806984	11777840	246	15	0.0000728274	0.000000099541
1	11777841	12779465	276	15	0.0003834410	0.000000140115
1	12779466	14891510	607	15	0.0005177426	0.000000251417
1	14891511	16897729	656	15	0.0001906725	0.000000229764
1	16897730	18662898	637	15	0.0002028335	0.000000237520
1	18662899	20469148	684	15	0.0000692554	0.000000231616
1	20469149	21736587	450	15	0.0001953702	0.000000164158
1	21736588	23086882	506	15	0.0002862601	0.000000203893
1	23086883	23920589	214	15	0.0003660536	0.000000083870
1	23920590	25516844	499	15	0.0004239545	0.000000204514
1	25516845	27401866	386	15	0.0007079527	0.000000141654
1	27401867	30161880	523	15	0.0003029934	0.000000175157
1	30161881	32438684	903	15	0.0004902132	0.000000238871
1	32438685	34799757	644	15	0.0000712966	0.000000212596
1	34799758	37549182	526	15	-0.0000276825	0.000000164712
1	37549183	38731846	358	15	0.0003360722	0.000000127425
1	38731847	40200566	424	15	0.0004292304	0.000000164448
1	40200567	41975326	540	15	0.0000963427	0.000000160308
1	41975327	43758456	531	15	-0.0000018695	0.000000141006
1	43758457	44969182	351	15	0.0001986614	0.000000104155
1	44969183	46899500	440	15	0.0002179248	0.000000097581
1	46899501	48002575	280	15	0.0009909708	0.000000126498
1	48002576	48978187	339	15	0.0002735638	0.000000115467
1	48978188	49894176	237	15	0.0003198964	0.000000083477
1	49894177	51713725	252	15	0.0002581583	0.000000062712
1	51713726	54226261	546	15	-0.0000035513	0.000000168753
1	54226262	56413116	812	15	0.0001251481	0.000000224247
1	56413117	57021727	265	15	0.0001380282	0.000000074526
1	57021728	58865398	824	15	0.0002290381	0.000000225331
1	58865399	59890408	371	15	0.0001014095	0.000000108188
1	59890409	61922364	660	15	0.0001730761	0.000000227272
1	61922365	63455088	522	15	0.0003533274	0.000000198355
1	63455089	65041703	642	15	0.0000244318	0.000000174104
1	65041704	66939403	634	15	0.0003570059	0.000000190319
1	66939404	68477894	663	15	0.0002571643	0.000000177964
1	68477895	69687615	383	15	0.0002464898	0.000000133344
1	69687616	71372469	506	15	-0.0000500314	0.000000145918
1	71372470	71684404	81	10	0.0000427985	0.000000018789
1	71684405	74326906	558	15	0.0003209541	0.000000146264
1	74326907	76728134	711	15	0.0000541066	0.000000173897
1	76728135	79661197	923	15	-0.0000607819	0.000000211780
1	79661198	81354190	470	15	0.0000040728	0.000000136063
1	81354191	83991747	965	15	-0.0000718306	0.000000217920
1	83991748	84844494	305	15	-0.0000176467	0.000000075113
1	84844495	86454750	634	15	0.0000977655	0.000000197502
