chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0000127377	0.000000015764
1	1892607	3582735	422	21	0.0004535813	0.000000094154
1	3582736	4380810	266	21	0.0000641065	0.000000047703
1	4380811	5913892	866	21	0.0000675515	0.000000108320
1	5913893	7247334	427	21	0.0003103824	0.000000083230
1	7247335	9365198	697	21	-0.0000076817	0.000000105321
1	9365199	10806983	349	21	0.0002120232	0.000000059848
1	10806984	11777840	255	21	0.0005281290	0.000000063966
1	11777841	12779465	280	21	0.0002707057	0.000000059644
1	12779466	14891510	616	21	0.0001431429	0.000000111333
1	14891511	16897729	684	21	0.0000847763	0.000000109007
1	16897730	18662898	657	21	0.0000168934	0.000000106301
1	18662899	20469148	702	21	0.0001848774	0.000000112997
1	20469149	21736587	460	21	0.0001765268	0.000000080748
1	21736588	23086882	523	21	0.0004021969	0.000000108525
1	23086883	23920589	221	21	0.0002004240	0.000000042743
1	23920590	25516844	519	21	0.0002303683	0.000000099672
1	25516845	27401866	413	21	0.0001321480	0.000000062190
1	27401867	30161880	547	21	-0.0000352280	0.000000078031
1	30161881	32438684	930	21	0.0000838944	0.000000108971
1	32438685	34799757	675	21	0.0001330093	0.000000110929
1	34799758	37549182	545	21	0.0005516146	0.000000107544
1	37549183	38731846	370	21	0.0000963018	0.000000061195
1	38731847	40200566	446	21	0.0015032218	0.000000130567
1	40200567	41975326	553	21	0.0001070470	0.000000085665
1	41975327	43758456	542	21	0.0002959382	0.000000088551
1	43758457	44969182	371	21	0.0000652730	0.000000053197
1	44969183	46899500	457	21	0.0006642843	0.000000077115
1	46899501	48002575	297	21	0.0001018701	0.000000044830
1	48002576	48978187	344	21	0.0002423153	0.000000065491
1	48978188	49894176	247	21	-0.0000463705	0.000000037524
1	49894177	51713725	259	21	-0.0000241700	0.000000028972
1	51713726	54226261	562	21	0.0002845223	0.000000099594
1	54226262	56413116	834	21	0.0001542357	0.000000111775
1	56413117	57021727	270	21	0.0001961720	0.000000044837
1	57021728	58865398	844	21	0.0002106364	0.000000114023
1	58865399	59890408	383	21	0.0001616824	0.000000061873
1	59890409	61922364	670	21	0.0003195094	0.000000118363
1	61922365	63455088	529	21	0.0000975854	0.000000089048
1	63455089	65041703	656	21	0.0001406271	0.000000094985
1	65041704	66939403	648	21	0.0003857197	0.000000108543
1	66939404	68477894	684	21	0.0001578903	0.000000095003
1	68477895	69687615	386	21	0.0002440973	0.000000068542
1	69687616	71372469	518	21	0.0001359814	0.000000080230
1	71372470	71684404	82	10	-0.0000126701	0.000000009237
1	71684405	74326906	558	21	0.0000558608	0.000000069666
1	74326907	76728134	726	21	0.0001917441	0.000000096350
1	76728135	79661197	944	21	0.0001174657	0.000000110310
1	79661198	81354190	475	21	0.0000397312	0.000000072056
1	81354191	83991747	971	21	0.0002036670	0.000000113746
1	83991748	84844494	313	21	0.0000047460	0.000000040371
1	84844495	86454750	652	21	0.0004393151	0.000000116541
1	86454751	88128630	567	21	0.0002313654	0.000000094811
1	88128631	90066302	522	21	0.0002483769	0.000000087320
1	90066303	91886316	556	21	0.0001016651	0.000000085010
1	91886317	93536458	508	21	0.0003059839	0.000000077644
1	93536459	94506190	255	21	0.0002127275	0.000000039953
1	94506191	96150892	650	21	0.0000200815	0.000000100748
1	96150893	97885248	604	21	0.0004062023	0.000000091178
1	97885249	99800603	639	21	0.0001814998	0.000000093050
1	99800604	100826404	339	21	0.0001407481	0.000000048443
1	100826405	102041015	447	21	0.0001860059	0.000000070520
1	102041016	102898744	276	21	0.0001213556	0.000000042912
1	102898745	103914210	200	21	-0.0000042684	0.000000024493
1	103914211	106087841	454	21	0.0001272707	0.000000071419
1	106087842	108409664	726	21	0.0000199451	0.000000106422
1	108409665	110303930	564	21	0.0003364054	0.000000092575
1	110303931	111741736	570	21	0.0001487893	0.000000104743
1	111741737	113273305	719	21	0.0003183453	0.000000118317
1	113273306	114873844	511	21	0.0002119566	0.000000087191
1	114873845	115880592	344	21	0.0003410908	0.000000058866
1	115880593	118839066	833	21	0.0000189353	0.000000106382
1	118839067	144977493	563	21	0.0001557938	0.000000086500
1	144977494	148361252	432	21	0.0001259390	0.000000068998
1	148361253	151538880	349	21	0.0003149377	0.000000058668
1	151538881	153180828	468	21	0.0000316298	0.000000060337
1	153180829	154770402	454	21	0.0000649122	0.000000068299
1	154770403	156336132	307	21	0.0002620619	0.000000057623
1	156336133	158027411	597	21	0.0001595320	0.000000098420
1	158027412	159913047	678	21	0.0001760315	0.000000112416
1	159913048	162346720	872	21	0.0001798462	0.000000112796
1	162346721	165191701	1190	21	0.0001017956	0.000000109685
1	165191702	166460516	531	21	0.0002283113	0.000000098027
1	166460517	169086323	1097	21	-0.0000113318	0.000000105176
1	169086324	170557775	558	21	0.0001230729	0.000000074279
1	170557776	173097906	902	21	0.0000934981	0.000000109354
1	173097907	175089767	411	21	0.0002371416	0.000000048934
1	175089768	177433380	781	21	0.0001085746	0.000000109955
1	177433381	178944308	492	21	0.0002172254	0.000000078014
1	178944309	178954469	2	1	-0.0000007803	0.000000000355
1	178954470	181144120	749	21	0.0006051130	0.000000127464
1	181144121	182755355	599	21	0.0003251970	0.000000111091
1	182755356	184595512	630	21	0.0002970735	0.000000096979
1	184595513	186810022	523	21	0.0000181043	0.000000070547
1	186810023	188759944	618	21	0.0001466264	0.000000090554
1	188759945	189904129	217	17	0.0001542285	0.000000029534
1	189904130	191868929	538	21	0.0000566745	0.000000064964
1	191868930	194107441	582	21	-0.0000228090	0.000000079184
1	194107442	196176200	579	21	0.0001657023	0.000000078793
1	196176201	197311513	196	16	0.0000900974	0.000000024394
1	197311514	199239883	504	21	0.0003385229	0.000000086307
1	199239884	200137648	301	21	0.0004304152	0.000000060519
1	200137649	201589974	707	21	0.0001103599	0.000000110026
1	201589975	203334733	611	21	0.0000765311	0.000000105037
1	203334734	204681067	482	21	0.0002006035	0.000000084546
1	204681068	206073264	577	21	0.0001783426	0.000000100514
1	206073265	208410363	633	21	0.0000370441	0.000000107104
1	208410364	210787749	928	21	0.0001957418	0.000000113430
1	210787750	212842329	697	21	0.0001091726	0.000000109979
1	212842330	214578265	608	21	0.0003134439	0.000000113340
1	214578266	216243633	589	21	0.0000884746	0.000000092688
1	216243634	218705512	1078	21	0.0000923741	0.000000109309
1	218705513	219590570	280	21	0.0003608907	0.000000054031
1	219590571	221858230	690	21	-0.0000075327	0.000000103732
1	221858231	222230219	174	21	0.0001690831	0.000000035582
1	222230220	224938519	454	21	0.0001609520	0.000000075349
1	224938520	226810859	517	21	0.0006816398	0.000000103869
1	226810860	229156247	693	21	0.0001531407	0.000000104691
1	229156248	230685254	528	21	0.0000006808	0.000000088305
1	230685255	232090251	588	21	0.0004579205	0.000000112315
1	232090252	233429283	606	21	0.0000069431	0.000000105904
1	233429284	234599433	535	21	-0.0000085644	0.000000090390
1	234599434	235819435	381	21	0.0001158138	0.000000068811
1	235819436	237555627	719	21	0.0005015862	0.000000125621
1	237555628	238567806	425	21	0.0001302697	0.000000076735
1	238567807	239925313	488	21	-0.0000181797	0.000000081791
1	239925314	240564090	339	21	0.0005822800	0.000000078530
1	240564091	241582219	511	21	0.0000194451	0.000000097561
1	241582220	242071601	220	21	0.0008901213	0.000000073285
1	242071602	244109498	620	21	0.0000562146	0.000000105136
1	244109499	245506745	503	21	0.0004816968	0.000000106767
1	245506746	247344517	707	21	0.0001939627	0.000000113359
1	247344518	249239465	398	21	0.0001691779	0.000000072434
2	10133	1781021	660	21	0.0001532507	0.000000111736
2	1781022	3973778	964	21	0.0003838213	0.000000120927
2	3973779	5708336	628	21	0.0001718346	0.000000112477
2	5708337	6836253	565	21	0.0001480987	0.000000094391
2	6836254	8422146	650	21	0.0002220926	0.000000114480
2	8422147	10298468	664	21	0.0002548435	0.000000115786
2	10298469	12419149	971	21	0.0002226572	0.000000114503
2	12419150	14335307	591	21	0.0001913246	0.000000100357
2	14335308	16329734	745	21	0.0001083791	0.000000109947
2	16329735	18647422	856	21	0.0002227297	0.000000114506
2	18647423	19692403	384	21	0.0000253485	0.000000063079
2	19692404	21050489	630	21	0.0000994693	0.000000104816
2	21050490	23341382	621	21	0.0001020085	0.000000109693
2	23341383	24686917	442	21	0.0008279471	0.000000099858
2	24686918	26894984	560	21	0.0000918407	0.000000090373
2	26894985	28598776	416	21	0.0015720232	0.000000118581
2	28598777	29217558	243	21	0.0001785895	0.000000044967
2	29217559	30463710	636	21	0.0001120573	0.000000110094
2	30463711	31550449	529	21	0.0000985854	0.000000098912
2	31550450	33363776	495	21	0.0002997284	0.000000103999
2	33363777	35345027	804	21	0.0003124095	0.000000118080
2	35345028	36122005	291	21	0.0000720962	0.000000048228
2	36122006	38132711	931	21	0.0000784382	0.000000108754
2	38132712	39031336	326	21	0.0001873000	0.000000068214
2	39031337	40281482	303	21	0.0002192179	0.000000062033
2	40281483	43309589	1309	21	0.0000620201	0.000000108099
2	43309590	44313802	402	21	0.0003375241	0.000000084742
2	44313803	46482633	1071	21	0.0002632634	0.000000116121
2	46482634	47318771	417	21	0.0001363831	0.000000089483
2	47318772	48213000	300	21	0.0009222657	0.000000094769
2	48213001	50022256	714	21	0.0007093411	0.000000133902
2	50022257	50818927	345	21	0.0000754060	0.000000060580
2	50818928	52491132	648	21	0.0002048296	0.000000113792
2	52491133	53508451	466	21	0.0000433882	0.000000080275
2	53508452	54685225	435	21	0.0000781561	0.000000078589
2	54685226	56203344	613	21	0.0000303267	0.000000106836
2	56203345	57429099	428	21	0.0000676885	0.000000077737
2	57429100	58297314	272	21	0.0003868093	0.000000060674
2	58297315	60291999	741	21	0.0000935495	0.000000109356
2	60292000	62429043	587	21	0.0001459931	0.000000110762
2	62429044	64625912	583	21	0.0001023412	0.000000102893
2	64625913	65933443	463	21	0.0002168845	0.000000087607
2	65933444	67226165	554	21	0.0001966490	0.000000095653
2	67226166	68010175	422	21	0.0007750172	0.000000097542
2	68010176	69139563	471	21	0.0002656341	0.000000082542
2	69139564	70755197	534	21	0.0001718730	0.000000086699
2	70755198	73174847	801	21	0.0000440394	0.000000107383
2	73174848	75630085	714	21	0.0001657440	0.000000112234
2	75630086	76913660	514	21	0.0000827942	0.000000089569
2	76913661	78079263	391	21	0.0001415044	0.000000077398
2	78079264	80050402	824	21	0.0002071576	0.000000113885
2	80050403	81620840	578	21	-0.0000103390	0.000000103393
2	81620841	85140679	891	21	0.0001273809	0.000000096245
2	85140680	88038506	632	21	-0.0000254238	0.000000086821
2	88038507	89154525	245	21	0.0001360839	0.000000040818
2	89154526	95326451	4	2	-0.0000026467	0.000000000669
2	95326452	98995200	426	21	0.0002146256	0.000000069939
2	98995201	101822328	906	21	0.0002401989	0.000000115202
2	101822329	102688764	261	21	-0.0000030721	0.000000035527
2	102688765	103588214	406	21	-0.0000192711	0.000000044823
2	103588215	105125033	304	21	0.0000296978	0.000000046968
2	105125034	106210057	404	21	0.0001206475	0.000000069218
2	106210058	107408266	443	21	0.0000200263	0.000000067813
2	107408267	108429176	355	21	0.0000131265	0.000000045687
2	108429177	110572431	527	21	0.0000725890	0.000000079024
2	110572432	113921855	791	21	0.0004036715	0.000000121718
2	113921856	116772469	758	21	0.0001738637	0.000000112558
2	116772470	118367465	397	21	-0.0000457235	0.000000048173
2	118367466	121303782	992	21	0.0000219658	0.000000106503
2	121303783	123302905	576	21	-0.0000221059	0.000000090968
2	123302906	124732249	430	21	0.0000371526	0.000000055882
2	124732250	125840920	381	21	0.0000435958	0.000000058258
2	125840921	127373763	409	21	0.0001084797	0.000000053225
2	127373764	128034346	287	21	0.0001362207	0.000000050138
2	128034347	129474440	433	21	0.0002325879	0.000000071508
2	129474441	130067169	222	21	0.0002063878	0.000000038071
2	130067170	130658084	203	21	0.0001384496	0.000000035390
2	130658085	133042783	209	21	-0.0000617383	0.000000030957
2	133042784	135158577	914	21	0.0001595524	0.000000111987
2	135158578	137042793	456	21	0.0002279286	0.000000065771
2	137042794	138698116	595	21	0.0002122734	0.000000099176
2	138698117	140100270	434	21	0.0001000858	0.000000054785
2	140100271	141805350	567	21	0.0001177831	0.000000092739
2	141805351	142518601	298	21	0.0001702209	0.000000055878
2	142518602	144519483	656	21	0.0002128121	0.000000106615
2	144519484	146445569	439	21	0.0003380781	0.000000081076
2	146445570	147277161	151	15	0.0000587174	0.000000024763
2	147277162	150210291	660	21	0.0001781928	0.000000096480
2	150210292	151731461	472	21	0.0003161052	0.000000083023
2	151731462	152486781	286	21	0.0002059085	0.000000046872
2	152486782	154005055	481	21	0.0003068525	0.000000085049
2	154005056	155391134	485	21	0.0000456126	0.000000077953
2	155391135	157560634	554	21	0.0002203912	0.000000091273
2	157560635	158533217	172	21	0.0002224587	0.000000039724
2	158533218	159577081	330	21	0.0000094318	0.000000051618
2	159577082	161769732	721	21	0.0003825174	0.000000116319
2	161769733	163503550	389	21	0.0002289476	0.000000056733
2	163503551	164466637	192	21	0.0000730358	0.000000031792
2	164466638	165178839	175	20	-0.0000780155	0.000000023401
2	165178840	167160269	630	21	0.0000671780	0.000000093850
2	167160270	167355969	73	10	0.0000929965	0.000000014182
2	167355970	169968235	828	21	0.0000991316	0.000000109579
2	169968236	171226244	486	21	0.0003206782	0.000000086471
2	171226245	173138904	572	21	0.0016893498	0.000000163370
2	173138905	175588928	839	21	0.0001159578	0.000000110249
2	175588929	177363635	531	21	0.0001173232	0.000000083432
2	177363636	178553182	475	21	0.0000623733	0.000000066693
2	178553183	181312738	1007	21	0.0000803817	0.000000108831
2	181312739	182266030	297	21	0.0002449350	0.000000050692
