chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	104	20	0.0001098228	0.0000000018
1	1892607	3582735	446	40	-0.0000023046	0.0000000067
1	3582736	4380810	280	40	-0.0000372314	0.0000000028
1	4380811	5913892	879	40	-0.0000111839	0.0000000028
1	5913893	7247334	435	40	0.0001178776	0.0000000029
1	7247335	9365198	706	40	0.0000502347	0.0000000045
1	9365199	10806983	354	40	0.0000983442	0.0000000038
1	10806984	11777840	261	40	0.0001237231	0.0000000030
1	11777841	12779465	291	40	-0.0000103808	0.0000000017
1	12779466	14891510	619	40	0.0000413242	0.0000000034
1	14891511	16897729	696	40	-0.0000044143	0.0000000034
1	16897730	18662898	674	40	0.0001094872	0.0000000056
1	18662899	20469148	732	40	0.0001095121	0.0000000046
1	20469149	21736587	462	40	0.0000514854	0.0000000044
1	21736588	23086882	526	40	0.0003696875	0.0000000056
1	23086883	23920589	224	28	0.0002177014	0.0000000038
1	23920590	25516844	526	40	0.0000553271	0.0000000044
1	25516845	27401866	415	40	0.0003702854	0.0000000059
1	27401867	30161880	559	40	0.0000569573	0.0000000040
1	30161881	32438684	941	40	-0.0000221952	0.0000000046
1	32438685	34799757	678	40	0.0001309060	0.0000000038
1	34799758	37549182	561	40	0.0000462523	0.0000000034
1	37549183	38731846	375	40	0.0000827367	0.0000000038
1	38731847	40200566	449	40	-0.0000660886	0.0000000030
1	40200567	41975326	559	40	0.0004154019	0.0000000065
1	41975327	43758456	553	40	0.0001655272	0.0000000051
1	43758457	44969182	373	36	-0.0000410784	0.0000000022
1	44969183	46899500	462	39	0.0000255591	0.0000000039
1	46899501	48002575	298	33	0.0001240077	0.0000000035
1	48002576	48978187	346	40	0.0001100242	0.0000000032
1	48978188	49894176	248	28	-0.0000590645	0.0000000012
1	49894177	51713725	261	25	0.0001078418	0.0000000023
1	51713726	54226261	567	40	0.0000312979	0.0000000043
1	54226262	56413116	843	40	-0.0000328441	0.0000000043
1	56413117	57021727	274	31	0.0001691816	0.0000000027
1	57021728	58865398	857	40	-0.0000659175	0.0000000033
1	58865399	59890408	385	40	0.0000564681	0.0000000030
1	59890409	61922364	677	40	0.0000445174	0.0000000041
1	61922365	63455088	537	40	0.0000728679	0.0000000032
1	63455089	65041703	661	40	0.0000894241	0.0000000030
1	65041704	66939403	655	40	0.0001050730	0.0000000049
1	66939404	68477894	693	40	-0.0000159394	0.0000000046
1	68477895	69687615	390	40	0.0000119447	0.0000000020
1	69687616	71372469	524	40	-0.0000019104	0.0000000030
1	71372470	71684404	83	10	-0.0000048684	0.0000000005
1	71684405	74326906	565	40	0.0001190646	0.0000000026
1	74326907	76728134	734	40	-0.0000473262	0.0000000040
1	76728135	79661197	964	40	0.0001567825	0.0000000043
1	79661198	81354190	480	40	-0.0000047441	0.0000000024
1	81354191	83991747	979	40	0.0000426174	0.0000000031
1	83991748	84844494	320	36	-0.0000144260	0.0000000024
1	84844495	86454750	657	40	0.0000256398	0.0000000042
1	86454751	88128630	580	40	0.0000744067	0.0000000042
1	88128631	90066302	530	40	0.0001245547	0.0000000046
1	90066303	91886316	570	40	-0.0000054639	0.0000000030
1	91886317	93536458	517	40	0.0000908920	0.0000000048
1	93536459	94506190	258	27	-0.0000212729	0.0000000022
1	94506191	96150892	654	40	0.0000377615	0.0000000041
1	96150893	97885248	615	40	0.0000788202	0.0000000031
1	97885249	99800603	646	40	-0.0000087438	0.0000000028
1	99800604	100826404	342	37	-0.0001015155	0.0000000021
1	100826405	102041015	454	40	0.0000511939	0.0000000025
1	102041016	102898744	281	37	0.0000198176	0.0000000023
1	102898745	103914210	203	21	0.0001319374	0.0000000030
1	103914211	106087841	464	40	0.0000306409	0.0000000024
1	106087842	108409664	731	40	-0.0000148269	0.0000000030
1	108409665	110303930	568	40	-0.0000062130	0.0000000031
1	110303931	111741736	576	40	-0.0000502636	0.0000000034
1	111741737	113273305	726	40	0.0000846919	0.0000000048
1	113273306	114873844	515	40	-0.0000338314	0.0000000029
1	114873845	115880592	349	37	0.0000877044	0.0000000022
1	115880593	118839066	846	40	0.0000437723	0.0000000040
1	118839067	144977493	570	40	0.0002688375	0.0000000085
1	144977494	148361252	436	40	0.0001394629	0.0000000045
1	148361253	151538880	353	34	0.0000657483	0.0000000087
1	151538881	153180828	476	40	0.0000488953	0.0000000027
1	153180829	154770402	464	40	-0.0000295931	0.0000000025
1	154770403	156336132	307	38	0.0001915473	0.0000000039
1	156336133	158027411	601	40	0.0000981445	0.0000000041
1	158027412	159913047	693	40	0.0000726897	0.0000000033
1	159913048	162346720	888	40	-0.0000087494	0.0000000048
1	162346721	165191701	1204	40	0.0000338418	0.0000000035
1	165191702	166460516	534	40	0.0000589581	0.0000000038
1	166460517	169086323	1122	40	0.0000598070	0.0000000044
1	169086324	170557775	566	40	-0.0000641377	0.0000000032
1	170557776	173097906	911	40	0.0001726410	0.0000000099
1	173097907	175089767	415	32	0.0000276535	0.0000000022
1	175089768	177433380	790	40	0.0003113404	0.0000000063
1	177433381	178944308	495	40	-0.0000408481	0.0000000025
1	178944309	178954469	2	1	0.0000112139	0.0000000001
1	178954470	181144120	757	40	0.0000716351	0.0000000036
1	181144121	182755355	604	40	-0.0000113700	0.0000000038
1	182755356	184595512	632	40	-0.0000185886	0.0000000091
1	184595513	186810022	526	40	0.0000754001	0.0000000033
1	186810023	188759944	621	40	-0.0000204870	0.0000000024
1	188759945	189904129	225	19	-0.0000073496	0.0000000009
1	189904130	191868929	548	40	0.0000359767	0.0000000026
1	191868930	194107441	591	40	0.0000443840	0.0000000025
1	194107442	196176200	590	40	0.0000194619	0.0000000021
1	196176201	197311513	200	16	-0.0000032208	0.0000000011
1	197311514	199239883	515	40	-0.0000580487	0.0000000029
1	199239884	200137648	306	36	0.0001010042	0.0000000029
1	200137649	201589974	713	40	0.0001143288	0.0000000035
1	201589975	203334733	618	40	-0.0000192568	0.0000000037
