chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	16	0.0001150567	0.000000050320
1	1892607	3582735	440	16	0.0001885640	0.000000219627
1	3582736	4380810	268	16	0.0000073818	0.000000117249
1	4380811	5913892	853	16	0.0001114609	0.000000265529
1	5913893	7247334	426	16	-0.0000033913	0.000000171458
1	7247335	9365198	696	16	0.0003101679	0.000000278374
1	9365199	10806983	349	16	0.0001723083	0.000000137539
1	10806984	11777840	252	16	0.0000480524	0.000000106685
1	11777841	12779465	280	16	0.0001266574	0.000000129947
1	12779466	14891510	614	16	-0.0000556656	0.000000258902
1	14891511	16897729	685	16	0.0001512953	0.000000274219
1	16897730	18662898	665	16	-0.0000195824	0.000000264013
1	18662899	20469148	711	16	-0.0000413883	0.000000263159
1	20469149	21736587	458	16	0.0001626384	0.000000189285
1	21736588	23086882	520	16	0.0000784533	0.000000233998
1	23086883	23920589	220	16	0.0002424730	0.000000097201
1	23920590	25516844	519	16	0.0002366448	0.000000239693
1	25516845	27401866	411	16	0.0002039068	0.000000150804
1	27401867	30161880	547	16	0.0001038538	0.000000201038
1	30161881	32438684	924	16	-0.0000320107	0.000000255341
1	32438685	34799757	669	16	0.0002496324	0.000000277413
1	34799758	37549182	553	16	0.0000376633	0.000000216345
1	37549183	38731846	362	16	0.0002131798	0.000000148301
1	38731847	40200566	445	16	-0.0000729106	0.000000170382
1	40200567	41975326	551	16	0.0001097920	0.000000203306
1	41975327	43758456	540	16	0.0000211670	0.000000184659
1	43758457	44969182	366	16	0.0001611995	0.000000130544
1	44969183	46899500	455	16	0.0005304234	0.000000151857
1	46899501	48002575	291	16	0.0002850147	0.000000114254
1	48002576	48978187	342	16	0.0000316286	0.000000133854
1	48978188	49894176	246	16	0.0000710221	0.000000096754
1	49894177	51713725	255	16	0.0000808848	0.000000073675
1	51713726	54226261	559	16	-0.0000034723	0.000000211487
1	54226262	56413116	831	16	0.0001113440	0.000000268399
1	56413117	57021727	271	16	0.0003798799	0.000000109430
1	57021728	58865398	844	16	-0.0000292032	0.000000256391
1	58865399	59890408	383	16	0.0000406304	0.000000134065
1	59890409	61922364	667	16	-0.0000065684	0.000000261003
1	61922365	63455088	532	16	-0.0000225110	0.000000207421
1	63455089	65041703	656	16	0.0000634729	0.000000222200
1	65041704	66939403	639	16	0.0003299638	0.000000244429
1	66939404	68477894	678	16	0.0001257633	0.000000221646
1	68477895	69687615	372	16	0.0002509724	0.000000154665
1	69687616	71372469	513	16	0.0000521148	0.000000182399
1	71372470	71684404	82	10	0.0000187989	0.000000023628
1	71684405	74326906	556	16	0.0000913896	0.000000167223
1	74326907	76728134	711	16	0.0002108054	0.000000224216
1	76728135	79661197	942	16	0.0001378864	0.000000270527
1	79661198	81354190	468	16	0.0000235410	0.000000169941
1	81354191	83991747	962	16	0.0002048233	0.000000274476
1	83991748	84844494	312	16	0.0001154983	0.000000103887
1	84844495	86454750	645	16	0.0003398320	0.000000263751
1	86454751	88128630	563	16	0.0000921746	0.000000213390
1	88128631	90066302	516	16	0.0000050556	0.000000185804
1	90066303	91886316	557	16	0.0003540586	0.000000222241
1	91886317	93536458	509	16	-0.0000988540	0.000000152923
1	93536459	94506190	254	16	0.0000390789	0.000000079676
1	94506191	96150892	640	16	0.0001245790	0.000000247131
1	96150893	97885248	600	16	0.0000977451	0.000000184166
1	97885249	99800603	638	16	0.0000403102	0.000000212853
1	99800604	100826404	311	16	0.0002755041	0.000000117742
1	100826405	102041015	444	16	-0.0000211424	0.000000149365
1	102041016	102898744	271	16	0.0001220825	0.000000102342
1	102898745	103914210	200	16	0.0001827390	0.000000068691
1	103914211	106087841	448	16	0.0001476499	0.000000169131
1	106087842	108409664	721	16	0.0001799959	0.000000275465
1	108409665	110303930	559	16	0.0002282753	0.000000215494
1	110303931	111741736	566	16	0.0002805700	0.000000260672
1	111741737	113273305	718	16	0.0000564093	0.000000265954
1	113273306	114873844	507	16	0.0001510349	0.000000203428
1	114873845	115880592	343	16	0.0003391704	0.000000129409
1	115880593	118839066	814	16	0.0002104902	0.000000276828
1	118839067	144977493	562	16	0.0000489911	0.000000194951
1	144977494	148361252	431	16	0.0001011408	0.000000157404
1	148361253	151538880	349	16	0.0001426761	0.000000119413
1	151538881	153180828	463	16	0.0006488937	0.000000180331
1	153180829	154770402	459	16	-0.0000093410	0.000000162821
1	154770403	156336132	305	16	0.0005925797	0.000000149745
1	156336133	158027411	594	16	-0.0000610824	0.000000222704
1	158027412	159913047	675	16	-0.0000480640	0.000000258261
1	159913048	162346720	870	16	0.0000565763	0.000000266570
1	162346721	165191701	1187	16	0.0000183751	0.000000263123
1	165191702	166460516	528	16	0.0000218503	0.000000218118
1	166460517	169086323	1090	16	0.0001214101	0.000000271641
1	169086324	170557775	556	16	0.0001659958	0.000000176048
1	170557776	173097906	898	16	0.0000771129	0.000000262487
1	173097907	175089767	410	16	0.0002337323	0.000000108090
