chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	0.0000195396	0.0000000032
1	1892607	3582735	438	40	0.0000254688	0.0000000129
1	3582736	4380810	272	40	0.0000046017	0.0000000110
1	4380811	5913892	866	40	0.0000879037	0.0000000173
1	5913893	7247334	427	40	0.0000719631	0.0000000134
1	7247335	9365198	696	40	0.0000372002	0.0000000211
1	9365199	10806983	351	40	0.0000480191	0.0000000088
1	10806984	11777840	256	40	-0.0000608190	0.0000000086
1	11777841	12779465	282	40	-0.0000044136	0.0000000082
1	12779466	14891510	616	40	-0.0000250936	0.0000000172
1	14891511	16897729	685	40	-0.0000676065	0.0000000174
1	16897730	18662898	662	40	-0.0000057243	0.0000000179
1	18662899	20469148	709	40	0.0000143605	0.0000000171
1	20469149	21736587	461	40	0.0000182644	0.0000000146
1	21736588	23086882	523	40	-0.0000449359	0.0000000153
1	23086883	23920589	221	28	0.0000423344	0.0000000063
1	23920590	25516844	521	40	-0.0000236491	0.0000000164
1	25516845	27401866	411	40	-0.0000678102	0.0000000091
1	27401867	30161880	551	40	0.0000035430	0.0000000138
1	30161881	32438684	930	40	-0.0000598111	0.0000000189
1	32438685	34799757	674	40	-0.0000249401	0.0000000178
1	34799758	37549182	550	40	-0.0000341680	0.0000000148
1	37549183	38731846	371	40	-0.0000085177	0.0000000114
1	38731847	40200566	447	40	0.0001508898	0.0000000129
1	40200567	41975326	554	40	0.0001589011	0.0000000146
1	41975327	43758456	537	40	0.0000953257	0.0000000148
1	43758457	44969182	371	35	-0.0000967880	0.0000000138
1	44969183	46899500	457	38	-0.0000037905	0.0000000090
1	46899501	48002575	296	33	0.0000680699	0.0000000076
1	48002576	48978187	343	40	0.0000446456	0.0000000094
1	48978188	49894176	247	28	-0.0001008393	0.0000000068
1	49894177	51713725	259	25	-0.0001192457	0.0000000067
1	51713726	54226261	563	40	-0.0001336869	0.0000000160
1	54226262	56413116	834	40	-0.0000109690	0.0000000175
1	56413117	57021727	269	31	-0.0000371798	0.0000000065
1	57021728	58865398	850	40	0.0000128637	0.0000000192
1	58865399	59890408	382	40	-0.0000173894	0.0000000101
1	59890409	61922364	669	40	0.0000571518	0.0000000182
1	61922365	63455088	531	40	0.0000685243	0.0000000145
1	63455089	65041703	652	40	-0.0000165174	0.0000000150
1	65041704	66939403	649	40	-0.0000122804	0.0000000168
1	66939404	68477894	686	40	-0.0000256550	0.0000000162
1	68477895	69687615	388	40	-0.0000059789	0.0000000115
1	69687616	71372469	519	40	-0.0001147375	0.0000000137
1	71372470	71684404	82	10	-0.0000390901	0.0000000025
1	71684405	74326906	557	40	0.0000722505	0.0000000180
1	74326907	76728134	725	40	-0.0001145638	0.0000000175
1	76728135	79661197	946	40	-0.0000197956	0.0000000187
1	79661198	81354190	474	40	0.0000740086	0.0000000126
1	81354191	83991747	973	40	0.0000237385	0.0000000166
1	83991748	84844494	311	35	0.0000159993	0.0000000077
1	84844495	86454750	651	40	-0.0000412598	0.0000000167
1	86454751	88128630	571	40	0.0000160380	0.0000000149
1	88128631	90066302	520	40	-0.0000804158	0.0000000146
1	90066303	91886316	560	40	-0.0001609340	0.0000000174
1	91886317	93536458	506	40	-0.0000510905	0.0000000113
1	93536459	94506190	254	26	0.0000427208	0.0000000087
1	94506191	96150892	649	40	0.0000763734	0.0000000173
1	96150893	97885248	606	40	0.0000613902	0.0000000160
1	97885249	99800603	640	40	0.0000050826	0.0000000175
1	99800604	100826404	337	37	0.0001463960	0.0000000082
1	100826405	102041015	447	40	-0.0000130908	0.0000000105
1	102041016	102898744	280	36	0.0001153950	0.0000000075
1	102898745	103914210	198	21	0.0000274475	0.0000000047
1	103914211	106087841	455	40	0.0000692432	0.0000000120
1	106087842	108409664	721	40	-0.0000645305	0.0000000161
1	108409665	110303930	564	40	0.0000864968	0.0000000149
1	110303931	111741736	568	40	-0.0000645490	0.0000000182
1	111741737	113273305	721	40	-0.0001161861	0.0000000188
1	113273306	114873844	511	40	-0.0001039707	0.0000000148
1	114873845	115880592	342	37	0.0000774806	0.0000000084
1	115880593	118839066	837	40	0.0001282587	0.0000000193
1	118839067	144977493	565	40	-0.0000161113	0.0000000131
1	144977494	148361252	432	40	-0.0000929389	0.0000000126
1	148361253	151538880	348	34	0.0001013802	0.0000000100
1	151538881	153180828	468	40	-0.0000190216	0.0000000098
1	153180829	154770402	456	40	0.0001171897	0.0000000125
1	154770403	156336132	307	38	0.0001330883	0.0000000100
1	156336133	158027411	597	40	0.0001516547	0.0000000170
1	158027412	159913047	682	40	0.0000349688	0.0000000185
1	159913048	162346720	873	40	0.0000225044	0.0000000186
1	162346721	165191701	1199	40	-0.0000476102	0.0000000175
1	165191702	166460516	531	40	-0.0000308988	0.0000000152
1	166460517	169086323	1104	40	-0.0000188997	0.0000000174
1	169086324	170557775	559	40	0.0000042059	0.0000000120
1	170557776	173097906	899	40	-0.0000252708	0.0000000198
1	173097907	175089767	412	32	0.0000317088	0.0000000077
1	175089768	177433380	783	40	0.0000742263	0.0000000195
1	177433381	178944308	491	40	0.0000217526	0.0000000125
1	178944309	178954469	2	1	-0.0000014025	-0.0000000000
1	178954470	181144120	750	40	0.0001155041	0.0000000181
1	181144121	182755355	598	40	-0.0000847503	0.0000000186
1	182755356	184595512	629	40	0.0001014695	0.0000000156
1	184595513	186810022	523	40	-0.0000018327	0.0000000133
1	186810023	188759944	618	40	0.0001148591	0.0000000150
1	188759945	189904129	217	17	-0.0001038227	0.0000000055
1	189904130	191868929	537	40	0.0000515686	0.0000000115
1	191868930	194107441	583	40	0.0001043153	0.0000000147
1	194107442	196176200	580	40	-0.0000485927	0.0000000141
1	196176201	197311513	197	16	0.0000371465	0.0000000050
