chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	20	-0.0000497394	0.0000000025
1	1892607	3582735	442	40	-0.0000323034	0.0000000078
1	3582736	4380810	277	40	-0.0000345369	0.0000000051
1	4380811	5913892	877	40	-0.0000668586	0.0000000101
1	5913893	7247334	439	40	-0.0000406686	0.0000000078
1	7247335	9365198	703	40	-0.0001760207	0.0000000115
1	9365199	10806983	355	40	-0.0000066308	0.0000000045
1	10806984	11777840	259	40	-0.0000258658	0.0000000048
1	11777841	12779465	297	40	0.0000570455	0.0000000056
1	12779466	14891510	618	40	-0.0000325363	0.0000000109
1	14891511	16897729	693	40	-0.0000423429	0.0000000101
1	16897730	18662898	671	40	-0.0000450472	0.0000000103
1	18662899	20469148	724	40	-0.0000801561	0.0000000107
1	20469149	21736587	462	40	-0.0000771802	0.0000000083
1	21736588	23086882	527	40	-0.0000486893	0.0000000085
1	23086883	23920589	223	28	-0.0000479333	0.0000000049
1	23920590	25516844	527	40	-0.0000492882	0.0000000090
1	25516845	27401866	423	40	0.0000022752	0.0000000055
1	27401867	30161880	558	40	-0.0000870737	0.0000000084
1	30161881	32438684	933	40	-0.0000532209	0.0000000104
1	32438685	34799757	677	40	0.0000592734	0.0000000103
1	34799758	37549182	557	40	0.0001621737	0.0000000104
1	37549183	38731846	375	40	0.0000253524	0.0000000058
1	38731847	40200566	448	40	-0.0000602696	0.0000000070
1	40200567	41975326	556	40	-0.0000155293	0.0000000078
1	41975327	43758456	549	40	0.0000740239	0.0000000086
1	43758457	44969182	372	35	-0.0000639493	0.0000000055
1	44969183	46899500	460	38	-0.0000146372	0.0000000043
1	46899501	48002575	299	33	0.0000698041	0.0000000054
1	48002576	48978187	345	40	-0.0000151797	0.0000000061
1	48978188	49894176	248	28	-0.0000153040	0.0000000045
1	49894177	51713725	260	25	-0.0001128767	0.0000000041
1	51713726	54226261	565	40	-0.0000135464	0.0000000078
1	54226262	56413116	842	40	-0.0000482029	0.0000000095
1	56413117	57021727	272	31	0.0001012949	0.0000000044
1	57021728	58865398	857	40	0.0001369843	0.0000000113
1	58865399	59890408	384	40	-0.0000345628	0.0000000062
1	59890409	61922364	672	40	-0.0000802198	0.0000000099
1	61922365	63455088	546	40	0.0001097718	0.0000000081
1	63455089	65041703	655	40	0.0000217473	0.0000000086
1	65041704	66939403	655	40	0.0001806155	0.0000000111
1	66939404	68477894	693	40	0.0000612459	0.0000000089
1	68477895	69687615	389	40	-0.0000355502	0.0000000064
1	69687616	71372469	524	40	0.0000359933	0.0000000084
1	71372470	71684404	84	10	-0.0000226768	0.0000000013
1	71684405	74326906	561	40	0.0000849145	0.0000000092
1	74326907	76728134	735	40	0.0000733708	0.0000000101
1	76728135	79661197	957	40	-0.0000533445	0.0000000112
1	79661198	81354190	478	40	-0.0000122018	0.0000000073
1	81354191	83991747	977	40	-0.0000200686	0.0000000102
1	83991748	84844494	317	36	-0.0000262590	0.0000000045
1	84844495	86454750	656	40	0.0000114435	0.0000000098
1	86454751	88128630	576	40	0.0000265882	0.0000000093
1	88128631	90066302	526	40	0.0000347891	0.0000000073
1	90066303	91886316	566	40	0.0000400057	0.0000000082
1	91886317	93536458	516	40	-0.0000036201	0.0000000067
1	93536459	94506190	257	27	-0.0000150130	0.0000000038
1	94506191	96150892	653	40	-0.0000039860	0.0000000101
1	96150893	97885248	610	40	-0.0000064055	0.0000000090
1	97885249	99800603	645	40	-0.0000508950	0.0000000094
1	99800604	100826404	339	37	0.0000411839	0.0000000043
1	100826405	102041015	453	40	-0.0000226889	0.0000000064
1	102041016	102898744	281	37	0.0000555236	0.0000000043
1	102898745	103914210	202	21	0.0000186757	0.0000000030
1	103914211	106087841	462	40	-0.0000142595	0.0000000074
1	106087842	108409664	728	40	-0.0000162181	0.0000000105
1	108409665	110303930	576	40	-0.0000431422	0.0000000091
1	110303931	111741736	573	40	0.0000110397	0.0000000096
1	111741737	113273305	723	40	0.0001498786	0.0000000117
1	113273306	114873844	514	40	-0.0000288714	0.0000000078
1	114873845	115880592	347	37	-0.0000809059	0.0000000049
1	115880593	118839066	844	40	0.0000099619	0.0000000107
1	118839067	144977493	579	40	-0.0000315877	0.0000000068
1	144977494	148361252	435	40	-0.0000153136	0.0000000068
1	148361253	151538880	353	34	-0.0000463423	0.0000000056
1	151538881	153180828	479	40	-0.0000536570	0.0000000065
1	153180829	154770402	463	40	0.0000546416	0.0000000075
1	154770403	156336132	307	38	-0.0000732308	0.0000000058
1	156336133	158027411	599	40	0.0000536170	0.0000000087
1	158027412	159913047	690	40	-0.0000072854	0.0000000094
1	159913048	162346720	899	40	-0.0000711355	0.0000000095
1	162346721	165191701	1199	40	-0.0000367473	0.0000000094
1	165191702	166460516	532	40	-0.0000108504	0.0000000084
1	166460517	169086323	1117	40	0.0000556876	0.0000000102
1	169086324	170557775	573	40	0.0000647272	0.0000000070
1	170557776	173097906	915	40	-0.0000759630	0.0000000107
1	173097907	175089767	416	32	0.0000287388	0.0000000042
1	175089768	177433380	789	40	0.0000256648	0.0000000106
1	177433381	178944308	507	40	-0.0000828287	0.0000000089
1	178944309	178954469	2	1	-0.0000060104	0.0000000000
1	178954470	181144120	755	40	-0.0000151749	0.0000000094
1	181144121	182755355	602	40	0.0000079721	0.0000000104
1	182755356	184595512	633	40	-0.0000662978	0.0000000099
1	184595513	186810022	524	40	-0.0000327348	0.0000000065
1	186810023	188759944	625	40	0.0000075459	0.0000000083
1	188759945	189904129	222	18	-0.0000051305	0.0000000025
1	189904130	191868929	546	40	0.0000781339	0.0000000065
1	191868930	194107441	592	40	0.0000233058	0.0000000077
1	194107442	196176200	591	40	0.0000146512	0.0000000076
1	196176201	197311513	200	16	0.0000131454	0.0000000022
1	197311514	199239883	518	40	-0.0000447169	0.0000000083
1	199239884	200137648	306	36	-0.0000262962	0.0000000047
1	200137649	201589974	710	40	0.0000436938	0.0000000095
1	201589975	203334733	616	40	0.0000777106	0.0000000114
1	203334734	204681067	490	40	-0.0000374346	0.0000000083
1	204681068	206073264	575	40	0.0000031007	0.0000000099
1	206073265	208410363	631	40	0.0000374647	0.0000000097
1	208410364	210787749	945	40	-0.0000737524	0.0000000110
1	210787750	212842329	704	40	-0.0000283282	0.0000000102
1	212842330	214578265	622	40	-0.0000639853	0.0000000101
