chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	116	19	0.0000157833	0.0000000051
1	1892607	3582735	469	40	-0.0000447918	0.0000000155
1	3582736	4380810	295	40	0.0000799567	0.0000000112
1	4380811	5913892	913	40	-0.0000403744	0.0000000163
1	5913893	7247334	449	40	-0.0000198558	0.0000000135
1	7247335	9365198	738	40	-0.0000506357	0.0000000192
1	9365199	10806983	374	40	-0.0000532104	0.0000000095
1	10806984	11777840	280	40	0.0000779372	0.0000000102
1	11777841	12779465	307	40	0.0000771709	0.0000000102
1	12779466	14891510	644	40	-0.0000057654	0.0000000166
1	14891511	16897729	742	40	0.0000539469	0.0000000170
1	16897730	18662898	697	40	0.0000867482	0.0000000177
1	18662899	20469148	774	40	-0.0000133894	0.0000000176
1	20469149	21736587	479	40	-0.0001017984	0.0000000141
1	21736588	23086882	545	40	-0.0000021236	0.0000000153
1	23086883	23920589	236	29	-0.0000065997	0.0000000072
1	23920590	25516844	549	40	0.0000569943	0.0000000168
1	25516845	27401866	432	40	-0.0000397299	0.0000000103
1	27401867	30161880	577	40	-0.0000037951	0.0000000140
1	30161881	32438684	978	40	0.0000627798	0.0000000187
1	32438685	34799757	715	40	-0.0001431316	0.0000000164
1	34799758	37549182	605	40	0.0000862581	0.0000000160
1	37549183	38731846	393	40	-0.0000327048	0.0000000135
1	38731847	40200566	462	40	0.0000695876	0.0000000144
1	40200567	41975326	572	40	-0.0000808820	0.0000000138
1	41975327	43758456	586	40	-0.0001296750	0.0000000140
1	43758457	44969182	389	36	-0.0000454641	0.0000000135
1	44969183	46899500	477	40	0.0000498696	0.0000000086
1	46899501	48002575	317	34	-0.0001691107	0.0000000103
1	48002576	48978187	359	40	-0.0000173679	0.0000000093
1	48978188	49894176	253	29	-0.0000461216	0.0000000069
1	49894177	51713725	264	26	-0.0000066619	0.0000000051
1	51713726	54226261	582	40	-0.0000141522	0.0000000150
1	54226262	56413116	890	40	-0.0000551973	0.0000000163
1	56413117	57021727	284	31	0.0000395163	0.0000000066
1	57021728	58865398	909	40	0.0001579638	0.0000000194
1	58865399	59890408	411	40	-0.0000445302	0.0000000096
1	59890409	61922364	702	40	0.0000550027	0.0000000176
1	61922365	63455088	578	40	-0.0000663510	0.0000000155
1	63455089	65041703	693	40	0.0000170383	0.0000000147
1	65041704	66939403	671	40	-0.0000450083	0.0000000165
1	66939404	68477894	718	40	-0.0000776039	0.0000000153
1	68477895	69687615	399	40	-0.0000089226	0.0000000112
1	69687616	71372469	558	40	0.0000733357	0.0000000133
1	71372470	71684404	87	10	0.0000162751	0.0000000024
1	71684405	74326906	583	40	-0.0003206181	0.0000000172
1	74326907	76728134	756	40	-0.0001328604	0.0000000158
1	76728135	79661197	991	40	-0.0000847463	0.0000000171
1	79661198	81354190	499	40	0.0000128638	0.0000000117
1	81354191	83991747	1022	40	0.0000571395	0.0000000157
1	83991748	84844494	327	36	0.0001290018	0.0000000072
1	84844495	86454750	680	40	-0.0000638317	0.0000000155
1	86454751	88128630	610	40	-0.0000264630	0.0000000156
1	88128631	90066302	549	40	0.0000261342	0.0000000147
1	90066303	91886316	588	40	-0.0001083578	0.0000000169
1	91886317	93536458	534	40	0.0001025162	0.0000000112
1	93536459	94506190	267	27	0.0001611693	0.0000000091
1	94506191	96150892	694	40	-0.0000949990	0.0000000171
1	96150893	97885248	637	40	0.0001056905	0.0000000149
1	97885249	99800603	670	40	-0.0001729858	0.0000000169
1	99800604	100826404	346	37	-0.0000365005	0.0000000072
1	100826405	102041015	473	40	0.0001104276	0.0000000103
1	102041016	102898744	292	37	0.0000683048	0.0000000078
1	102898745	103914210	211	21	0.0000071194	0.0000000052
1	103914211	106087841	481	40	-0.0000358053	0.0000000107
1	106087842	108409664	765	40	-0.0000717967	0.0000000157
1	108409665	110303930	597	40	-0.0000175688	0.0000000149
1	110303931	111741736	612	40	-0.0000355451	0.0000000196
