chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	-0.0000719029	0.0000000180
1	1892607	3582735	438	40	-0.0002750726	0.0000000671
1	3582736	4380810	272	40	0.0000190874	0.0000000442
1	4380811	5913892	867	40	0.0000701342	0.0000000719
1	5913893	7247334	428	40	-0.0000656082	0.0000000528
1	7247335	9365198	699	40	0.0000225536	0.0000000795
1	9365199	10806983	351	40	0.0001442680	0.0000000418
1	10806984	11777840	258	40	0.0000341194	0.0000000339
1	11777841	12779465	281	40	0.0001765453	0.0000000398
1	12779466	14891510	618	40	-0.0002341791	0.0000000768
1	14891511	16897729	689	40	-0.0000778557	0.0000000782
1	16897730	18662898	661	40	-0.0001877246	0.0000000804
1	18662899	20469148	711	40	-0.0000333975	0.0000000744
1	20469149	21736587	461	40	-0.0000769520	0.0000000573
1	21736588	23086882	523	40	0.0000915465	0.0000000687
1	23086883	23920589	222	28	0.0002243281	0.0000000271
1	23920590	25516844	520	40	-0.0001824188	0.0000000677
1	25516845	27401866	413	40	0.0004118460	0.0000000429
1	27401867	30161880	551	40	-0.0000648523	0.0000000605
1	30161881	32438684	934	40	-0.0001962931	0.0000000755
1	32438685	34799757	675	40	-0.0001304134	0.0000000749
1	34799758	37549182	549	40	0.0003550886	0.0000000644
1	37549183	38731846	371	40	-0.0001418849	0.0000000405
1	38731847	40200566	447	40	-0.0000564985	0.0000000584
1	40200567	41975326	555	40	0.0002511301	0.0000000662
1	41975327	43758456	542	40	0.0001199873	0.0000000585
1	43758457	44969182	371	35	-0.0000865618	0.0000000404
1	44969183	46899500	458	38	-0.0001466298	0.0000000456
1	46899501	48002575	297	33	-0.0001079722	0.0000000316
1	48002576	48978187	344	40	0.0000314556	0.0000000403
1	48978188	49894176	247	28	0.0001045348	0.0000000294
1	49894177	51713725	260	25	0.0000504226	0.0000000284
1	51713726	54226261	562	40	-0.0000678779	0.0000000668
1	54226262	56413116	837	40	0.0001622462	0.0000000796
1	56413117	57021727	271	31	-0.0000399310	0.0000000323
1	57021728	58865398	847	40	-0.0001775709	0.0000000712
1	58865399	59890408	383	40	0.0002023139	0.0000000450
1	59890409	61922364	671	40	-0.0003129835	0.0000000720
1	61922365	63455088	533	40	0.0000579207	0.0000000641
1	63455089	65041703	656	40	0.0000025768	0.0000000598
1	65041704	66939403	649	40	0.0000570891	0.0000000650
1	66939404	68477894	687	40	-0.0000355748	0.0000000619
1	68477895	69687615	388	40	-0.0001069517	0.0000000432
1	69687616	71372469	520	40	-0.0001072241	0.0000000565
1	71372470	71684404	82	10	-0.0001270851	0.0000000088
1	71684405	74326906	559	40	-0.0000839597	0.0000000486
1	74326907	76728134	727	40	0.0000383149	0.0000000614
1	76728135	79661197	946	40	0.0001180254	0.0000000720
1	79661198	81354190	475	40	-0.0000799672	0.0000000574
1	81354191	83991747	973	40	-0.0000568252	0.0000000765
1	83991748	84844494	314	35	-0.0000038276	0.0000000333
1	84844495	86454750	652	40	0.0002300485	0.0000000729
1	86454751	88128630	571	40	-0.0000393909	0.0000000600
1	88128631	90066302	523	40	0.0002276621	0.0000000589
1	90066303	91886316	559	40	-0.0001091040	0.0000000656
1	91886317	93536458	509	40	0.0002478018	0.0000000491
1	93536459	94506190	255	26	0.0000093887	0.0000000229
1	94506191	96150892	651	40	-0.0000527566	0.0000000729
1	96150893	97885248	605	40	0.0003469659	0.0000000602
1	97885249	99800603	640	40	0.0000061153	0.0000000643
1	99800604	100826404	339	37	0.0001333669	0.0000000332
1	100826405	102041015	447	40	0.0000049194	0.0000000451
1	102041016	102898744	278	36	0.0000590520	0.0000000390
1	102898745	103914210	200	21	0.0000888398	0.0000000235
