chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	76	16	0.0002355644	0.000000037817
1	1892607	3582735	368	16	0.0001907641	0.000000149903
1	3582736	4380810	236	16	0.0003467320	0.000000104819
1	4380811	5913892	847	16	0.0000182656	0.000000219686
1	5913893	7247334	355	16	0.0003007382	0.000000138047
1	7247335	9365198	636	16	0.0002075337	0.000000230326
1	9365199	10806983	296	16	0.0003512201	0.000000111505
1	10806984	11777840	220	16	0.0002863252	0.000000093804
1	11777841	12779465	187	16	0.0001101888	0.000000075601
1	12779466	14891510	570	16	0.0001272078	0.000000218945
1	14891511	16897729	590	16	0.0001005908	0.000000204819
1	16897730	18662898	565	16	0.0000646959	0.000000205221
1	18662899	20469148	618	16	-0.0000742350	0.000000214486
1	20469149	21736587	394	16	0.0001536392	0.000000139241
1	21736588	23086882	445	16	0.0015704060	0.000000250578
1	23086883	23920589	181	16	0.0002294645	0.000000073478
1	23920590	25516844	443	16	0.0001782609	0.000000173124
1	25516845	27401866	307	16	0.0005339206	0.000000124261
1	27401867	30161880	483	16	0.0000631306	0.000000152813
1	30161881	32438684	869	16	0.0003275239	0.000000237071
1	32438685	34799757	607	16	0.0006115305	0.000000241759
1	34799758	37549182	507	16	0.0000800797	0.000000171829
1	37549183	38731846	321	16	0.0001248146	0.000000113665
1	38731847	40200566	391	16	-0.0000077106	0.000000131583
1	40200567	41975326	497	16	0.0000899349	0.000000156149
1	41975327	43758456	476	16	0.0001626435	0.000000149695
1	43758457	44969182	303	16	0.0000694431	0.000000093250
1	44969183	46899500	370	16	0.0000620754	0.000000091983
1	46899501	48002575	256	16	0.0000805441	0.000000078572
1	48002576	48978187	330	16	0.0001823780	0.000000120383
1	48978188	49894176	230	16	0.0001025871	0.000000080217
1	49894177	51713725	245	16	0.0001138113	0.000000061287
1	51713726	54226261	492	16	-0.0000384093	0.000000163326
1	54226262	56413116	737	16	0.0000105113	0.000000219250
1	56413117	57021727	246	16	0.0000700677	0.000000074629
1	57021728	58865398	821	16	0.0000367194	0.000000220723
1	58865399	59890408	354	16	0.0002303656	0.000000120861
1	59890409	61922364	630	16	0.0000276303	0.000000217756
1	61922365	63455088	429	16	0.0000051264	0.000000150948
1	63455089	65041703	616	16	0.0000157731	0.000000174795
1	65041704	66939403	601	16	0.0000042752	0.000000179342
1	66939404	68477894	630	16	0.0002664646	0.000000188368
1	68477895	69687615	369	16	0.0011969451	0.000000184020
1	69687616	71372469	490	16	0.0000348393	0.000000149398
1	71372470	71684404	77	10	-0.0000031978	0.000000017942
1	71684405	74326906	506	16	0.0001066166	0.000000136166
1	74326907	76728134	649	16	0.0001438612	0.000000177742
1	76728135	79661197	876	16	0.0001591843	0.000000227608
1	79661198	81354190	467	16	0.0000061813	0.000000142773
1	81354191	83991747	938	16	0.0002532049	0.000000232893
1	83991748	84844494	305	16	0.0002292426	0.000000091903
1	84844495	86454750	593	16	0.0000172847	0.000000192450
1	86454751	88128630	514	16	0.0000889111	0.000000170921
1	88128631	90066302	485	16	0.0003214550	0.000000168635
1	90066303	91886316	539	16	0.0002097248	0.000000175818
1	91886317	93536458	452	16	0.0003728450	0.000000145194
1	93536459	94506190	224	16	0.0002322265	0.000000069088
1	94506191	96150892	609	16	-0.0000020039	0.000000194246
1	96150893	97885248	577	16	0.0001162243	0.000000154406
1	97885249	99800603	619	16	0.0002595005	0.000000187507
1	99800604	100826404	300	16	0.0002507482	0.000000096071
1	100826405	102041015	420	16	0.0002411347	0.000000136952
1	102041016	102898744	272	16	0.0001097028	0.000000081877
1	102898745	103914210	179	16	0.0001694357	0.000000054976
1	103914211	106087841	447	16	0.0003780692	0.000000154024
1	106087842	108409664	699	16	0.0001908123	0.000000229386
1	108409665	110303930	398	16	0.0001829477	0.000000128809
1	110303931	111741736	511	16	0.0001815626	0.000000192598
1	111741737	113273305	627	16	0.0002345911	0.000000222049
1	113273306	114873844	471	16	0.0001295555	0.000000155610
1	114873845	115880592	305	16	0.0001893854	0.000000095216
1	115880593	118839066	745	16	0.0000869989	0.000000223550
1	118839067	144977493	467	16	0.0002094531	0.000000159618
1	144977494	148361252	374	16	0.0000207071	0.000000118432
1	148361253	151538880	250	16	0.0002084670	0.000000082315
1	151538881	153180828	406	16	0.0001497667	0.000000117248
1	153180829	154770402	371	16	0.0004312198	0.000000140435
1	154770403	156336132	219	16	0.0000449794	0.000000077017
1	156336133	158027411	488	16	0.0001753734	0.000000167389
1	158027412	159913047	562	16	0.0001577749	0.000000201290
1	159913048	162346720	639	16	0.0001723664	0.000000228349
1	162346721	165191701	1132	16	0.0000438877	0.000000221126
1	165191702	166460516	501	16	0.0002614729	0.000000187618
1	166460517	169086323	1012	16	0.0001283748	0.000000225876
1	169086324	170557775	432	16	0.0002824525	0.000000138365
1	170557776	173097906	755	16	0.0006476724	0.000000255069
1	173097907	175089767	378	16	0.0001473076	0.000000083123
1	175089768	177433380	721	16	0.0001523258	0.000000220845
1	177433381	178944308	409	16	0.0002609884	0.000000133161
1	178944309	178954469	2	1	-0.0000114920	0.000000000127
1	178954470	181144120	650	16	0.0003434690	0.000000216039
1	181144121	182755355	560	16	-0.0000113650	0.000000192280
1	182755356	184595512	560	16	0.0001527186	0.000000171229
1	184595513	186810022	461	16	0.0001099526	0.000000135903
1	186810023	188759944	601	16	0.0000093578	0.000000171147
1	188759945	189904129	217	16	0.0002675465	0.000000062039
1	189904130	191868929	521	16	0.0000714504	0.000000128825
1	191868930	194107441	561	16	0.0000119664	0.000000159636
1	194107442	196176200	568	16	-0.0000584362	0.000000142355
1	196176201	197311513	163	14	0.0001002056	0.000000043067
1	197311514	199239883	485	16	0.0002233033	0.000000157645
1	199239884	200137648	290	16	0.0005297641	0.000000115853
1	200137649	201589974	595	16	0.0000829087	0.000000209636
1	201589975	203334733	525	16	0.0000801603	0.000000188815
1	203334734	204681067	406	16	0.0001406453	0.000000145741
1	204681068	206073264	477	16	0.0000881524	0.000000165755
1	206073265	208410363	523	16	0.0002359395	0.000000199455
1	208410364	210787749	868	16	0.0001262516	0.000000225756
1	210787750	212842329	649	16	0.0003081816	0.000000235984
1	212842330	214578265	547	16	-0.0001062087	0.000000184086
1	214578266	216243633	555	16	0.0000286081	0.000000177871
1	216243634	218705512	1042	16	0.0000747164	0.000000222859
