chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	17	0.0002660107	0.000000012456
1	1892607	3582735	434	32	0.0003899177	0.000000037501
1	3582736	4380810	269	32	0.0001108272	0.000000019530
1	4380811	5913892	865	32	0.0002282083	0.000000040703
1	5913893	7247334	428	32	0.0001697353	0.000000028213
1	7247335	9365198	697	32	0.0002006507	0.000000040270
1	9365199	10806983	351	32	0.0001001652	0.000000020417
1	10806984	11777840	257	32	0.0002369007	0.000000021162
1	11777841	12779465	277	32	0.0002872010	0.000000024144
1	12779466	14891510	617	32	0.0000548924	0.000000037068
1	14891511	16897729	686	32	0.0001523507	0.000000039278
1	16897730	18662898	656	32	0.0001592945	0.000000039717
1	18662899	20469148	705	32	0.0001652792	0.000000039404
1	20469149	21736587	460	32	0.0000014620	0.000000024900
1	21736588	23086882	521	32	0.0001503958	0.000000034587
1	23086883	23920589	222	28	0.0001409625	0.000000015233
1	23920590	25516844	519	32	0.0000595638	0.000000032303
1	25516845	27401866	413	32	0.0004944211	0.000000030959
1	27401867	30161880	551	32	0.0000560192	0.000000028546
1	30161881	32438684	932	32	0.0001669435	0.000000039329
1	32438685	34799757	675	32	0.0000653033	0.000000036931
1	34799758	37549182	547	32	0.0002200667	0.000000034200
1	37549183	38731846	371	32	0.0000923077	0.000000021707
1	38731847	40200566	446	32	0.0000321704	0.000000025017
1	40200567	41975326	554	32	0.0000507033	0.000000028583
1	41975327	43758456	541	32	0.0002362505	0.000000031003
1	43758457	44969182	371	32	0.0001532877	0.000000020865
1	44969183	46899500	457	32	0.0002598379	0.000000023159
1	46899501	48002575	296	32	0.0002269468	0.000000019026
1	48002576	48978187	344	32	0.0002630478	0.000000024968
1	48978188	49894176	247	28	0.0002119452	0.000000018278
1	49894177	51713725	260	25	0.0002031339	0.000000014784
1	51713726	54226261	562	32	0.0001549562	0.000000033131
1	54226262	56413116	834	32	0.0000004431	0.000000035571
1	56413117	57021727	271	31	0.0000799080	0.000000014501
1	57021728	58865398	847	32	0.0003253295	0.000000042744
1	58865399	59890408	382	32	0.0002047975	0.000000023476
1	59890409	61922364	669	32	0.0000354663	0.000000035825
1	61922365	63455088	532	32	0.0002058920	0.000000033809
1	63455089	65041703	656	32	0.0000664083	0.000000031244
1	65041704	66939403	649	32	0.0002768785	0.000000037186
1	66939404	68477894	686	32	0.0003456325	0.000000037569
1	68477895	69687615	386	32	0.0002454986	0.000000025710
1	69687616	71372469	517	32	0.0000207163	0.000000025497
1	71372470	71684404	82	10	0.0000590529	0.000000004663
1	71684405	74326906	558	32	0.0001228968	0.000000025184
1	74326907	76728134	726	32	0.0000889653	0.000000031459
1	76728135	79661197	945	32	0.0000767536	0.000000036735
1	79661198	81354190	475	32	0.0002180417	0.000000028628
1	81354191	83991747	971	32	0.0000850283	0.000000037242
1	83991748	84844494	313	32	0.0001185780	0.000000016398
1	84844495	86454750	650	32	0.0002874715	0.000000039607
1	86454751	88128630	568	32	0.0001761806	0.000000032993
1	88128631	90066302	522	32	0.0000191571	0.000000026309
1	90066303	91886316	558	32	0.0001829006	0.000000031541
1	91886317	93536458	507	32	0.0000355580	0.000000022633
1	93536459	94506190	255	26	0.0002853084	0.000000017260
1	94506191	96150892	649	32	0.0000573399	0.000000034467
1	96150893	97885248	602	32	0.0002318926	0.000000030281
1	97885249	99800603	638	32	0.0001223755	0.000000031400
1	99800604	100826404	339	32	0.0001986635	0.000000019125
1	100826405	102041015	445	32	0.0001919074	0.000000025529
1	102041016	102898744	276	32	0.0001287826	0.000000016201
1	102898745	103914210	200	21	0.0000707107	0.000000009958
1	103914211	106087841	454	32	0.0002721610	0.000000028684
1	106087842	108409664	725	32	0.0000460276	0.000000035811
1	108409665	110303930	563	32	0.0000963571	0.000000029150
1	110303931	111741736	566	32	0.0001038493	0.000000035337
1	111741737	113273305	720	32	0.0002414284	0.000000040918
1	113273306	114873844	511	32	0.0001260556	0.000000029716
1	114873845	115880592	345	32	0.0000756952	0.000000017114
1	115880593	118839066	834	32	0.0001726548	0.000000039483
1	118839067	144977493	566	32	0.0002485067	0.000000032628
1	144977494	148361252	431	32	0.0014707779	0.000000055477
1	148361253	151538880	349	32	0.0004873468	0.000000027017
1	151538881	153180828	468	32	0.0001837515	0.000000024201
1	153180829	154770402	453	32	0.0000427368	0.000000023144
1	154770403	156336132	306	32	0.0010109501	0.000000039992
1	156336133	158027411	596	32	0.0003196348	0.000000038550
1	158027412	159913047	682	32	0.0001598699	0.000000039337
1	159913048	162346720	871	32	0.0002094794	0.000000040388
1	162346721	165191701	1190	32	0.0004938757	0.000000046535
1	165191702	166460516	531	32	0.0002975659	0.000000036885
1	166460517	169086323	1101	32	0.0002205885	0.000000040539
1	169086324	170557775	557	32	0.0001228861	0.000000025852
1	170557776	173097906	898	32	0.0000870115	0.000000036828
1	173097907	175089767	411	32	0.0002381532	0.000000018984
1	175089768	177433380	783	32	0.0000999553	0.000000037244
1	177433381	178944308	492	32	0.0001058602	0.000000025592
1	178944309	178954469	2	1	0.0000504424	0.000000001389
1	178954470	181144120	749	32	0.0002332911	0.000000039740
1	181144121	182755355	598	32	0.0000533958	0.000000033862
1	182755356	184595512	628	32	0.0001965532	0.000000033105
1	184595513	186810022	523	32	0.0004709734	0.000000034492
1	186810023	188759944	618	32	0.0001244982	0.000000031080
1	188759945	189904129	218	17	0.0000511602	0.000000009288
1	189904130	191868929	538	32	0.0002971208	0.000000027574
1	191868930	194107441	583	32	0.0000814795	0.000000028694
1	194107442	196176200	579	32	0.0002624876	0.000000029922
1	196176201	197311513	196	16	0.0000505718	0.000000008284
1	197311514	199239883	504	32	0.0001353557	0.000000027539
1	199239884	200137648	301	32	0.0003754316	0.000000023404
1	200137649	201589974	709	32	0.0002525376	0.000000041531
1	201589975	203334733	611	32	0.0003074584	0.000000041839
1	203334734	204681067	483	32	0.0000320525	0.000000026844
1	204681068	206073264	578	32	0.0002088663	0.000000036409
1	206073265	208410363	631	32	0.0001510784	0.000000038662
1	208410364	210787749	924	32	0.0001089356	0.000000037814
1	210787750	212842329	697	32	0.0001273258	0.000000038034
1	212842330	214578265	611	32	0.0000699992	0.000000035545
1	214578266	216243633	594	32	0.0000505134	0.000000031036
1	216243634	218705512	1080	32	0.0002464385	0.000000040655
1	218705513	219590570	281	32	0.0001053762	0.000000016007
1	219590571	221858230	690	32	0.0002770518	0.000000040637
1	221858231	222230219	174	21	0.0002430599	0.000000015341
1	222230220	224938519	458	32	-0.0000052280	0.000000023422
1	224938520	226810859	518	32	0.0002513915	0.000000031855
1	226810860	229156247	694	32	0.0002400316	0.000000038707
1	229156248	230685254	527	32	0.0001630942	0.000000033679
1	230685255	232090251	590	32	0.0001174567	0.000000034304
1	232090252	233429283	605	32	0.0000362878	0.000000036432
1	233429284	234599433	535	32	0.0000497493	0.000000031660
1	234599434	235819435	383	32	0.0004292170	0.000000032741
1	235819436	237555627	722	32	0.0003289124	0.000000043364
1	237555628	238567806	427	32	0.0002004616	0.000000029074
1	238567807	239925313	489	32	0.0000069287	0.000000027726
1	239925314	240564090	343	32	0.0001515241	0.000000022872
1	240564091	241582219	514	32	0.0001946428	0.000000037943
1	241582220	242071601	220	32	0.0001979251	0.000000018136
1	242071602	244109498	619	32	0.0003989058	0.000000044084
1	244109499	245506745	510	32	0.0003089999	0.000000038392
1	245506746	247344517	706	32	0.0001544329	0.000000039628
1	247344518	249239465	397	32	0.0000954675	0.000000025053
2	10133	1781021	663	32	0.0003728534	0.000000044104
2	1781022	3973778	963	32	0.0000174512	0.000000036108
2	3973779	5708336	628	32	0.0001764784	0.000000039676
2	5708337	6836253	564	32	0.0000402241	0.000000030192
2	6836254	8422146	651	32	0.0000880714	0.000000037165
2	8422147	10298468	672	32	0.0001712073	0.000000039700
2	10298469	12419149	965	32	0.0000047071	0.000000035858
2	12419150	14335307	590	32	0.0001756473	0.000000034806
2	14335308	16329734	746	32	0.0002628862	0.000000040875
2	16329735	18647422	859	32	0.0002980818	0.000000041804
2	18647423	19692403	383	32	0.0003904071	0.000000029607
2	19692404	21050489	634	32	0.0001506426	0.000000037645
