chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	14	0.0000130538	0.0000000346
1	1892607	3582735	469	14	0.0000272189	0.0000001062
1	3582736	4380810	295	14	0.0001205666	0.0000000460
1	4380811	5913892	916	14	0.0001288262	0.0000000910
1	5913893	7247334	450	14	-0.0000039282	0.0000000618
1	7247335	9365198	741	14	0.0001367356	0.0000000921
1	9365199	10806983	374	14	-0.0000525969	0.0000000530
1	10806984	11777840	282	14	-0.0000249314	0.0000000512
1	11777841	12779465	307	14	-0.0002310785	0.0000000670
1	12779466	14891510	646	14	-0.0001553784	0.0000001004
1	14891511	16897729	747	14	0.0001119737	0.0000001000
1	16897730	18662898	699	14	-0.0000018522	0.0000001003
1	18662899	20469148	777	14	-0.0000740286	0.0000001075
1	20469149	21736587	479	14	-0.0000449512	0.0000000666
1	21736588	23086882	545	14	0.0001664930	0.0000000843
1	23086883	23920589	237	14	-0.0000790298	0.0000000339
1	23920590	25516844	549	14	0.0000040479	0.0000000898
1	25516845	27401866	434	14	-0.0003767936	0.0000000600
1	27401867	30161880	578	14	0.0001343500	0.0000000722
1	30161881	32438684	984	14	-0.0001131424	0.0000000957
1	32438685	34799757	716	14	0.0001115692	0.0000000915
1	34799758	37549182	608	14	0.0001302254	0.0000000862
1	37549183	38731846	393	14	-0.0002429400	0.0000000610
1	38731847	40200566	462	14	-0.0001112986	0.0000000725
1	40200567	41975326	573	14	0.0000335813	0.0000000697
1	41975327	43758456	591	14	0.0000863788	0.0000000673
1	43758457	44969182	389	14	-0.0000738507	0.0000000468
1	44969183	46899500	478	14	0.0000426122	0.0000000448
1	46899501	48002575	318	14	-0.0006934228	0.0000000571
1	48002576	48978187	360	14	-0.0001757738	0.0000000478
1	48978188	49894176	253	14	-0.0000427492	0.0000000348
1	49894177	51713725	265	14	0.0000070755	0.0000000204
1	51713726	54226261	583	14	0.0001488455	0.0000000769
1	54226262	56413116	893	14	-0.0000244409	0.0000000971
1	56413117	57021727	287	14	-0.0000245816	0.0000000339
1	57021728	58865398	910	14	-0.0000537811	0.0000000951
1	58865399	59890408	412	14	0.0000162876	0.0000000490
1	59890409	61922364	704	14	0.0000542632	0.0000000899
1	61922365	63455088	581	14	-0.0001487098	0.0000000929
1	63455089	65041703	698	14	0.0000689778	0.0000000800
1	65041704	66939403	671	14	-0.0000105540	0.0000000746
1	66939404	68477894	719	14	-0.0000334964	0.0000000761
1	68477895	69687615	399	14	0.0000010973	0.0000000470
1	69687616	71372469	559	14	0.0001454479	0.0000000649
1	71372470	71684404	87	10	-0.0000902500	0.0000000102
1	71684405	74326906	585	14	-0.0000746075	0.0000000557
1	74326907	76728134	759	14	0.0001061553	0.0000000684
1	76728135	79661197	992	14	0.0000241774	0.0000000878
1	79661198	81354190	500	14	0.0001105541	0.0000000573
1	81354191	83991747	1022	14	0.0001121218	0.0000000918
1	83991748	84844494	330	14	0.0000635656	0.0000000315
1	84844495	86454750	681	14	-0.0000170116	0.0000000844
1	86454751	88128630	611	14	0.0000827615	0.0000000815
1	88128631	90066302	552	14	-0.0000972128	0.0000000722
1	90066303	91886316	591	14	-0.0000586617	0.0000000796
1	91886317	93536458	537	14	-0.0000296776	0.0000000542
1	93536459	94506190	268	14	0.0000115164	0.0000000287
1	94506191	96150892	696	14	0.0001984977	0.0000000927
1	96150893	97885248	637	14	0.0000187547	0.0000000613
1	97885249	99800603	670	14	0.0001560145	0.0000000722
1	99800604	100826404	348	14	0.0000409294	0.0000000295
1	100826405	102041015	473	14	0.0000100057	0.0000000501
1	102041016	102898744	292	14	-0.0000149961	0.0000000377
1	102898745	103914210	213	14	0.0000702963	0.0000000230
1	103914211	106087841	481	14	-0.0000129310	0.0000000539
1	106087842	108409664	770	14	0.0000855557	0.0000000911
1	108409665	110303930	598	14	0.0000515419	0.0000000836
1	110303931	111741736	615	14	-0.0001308462	0.0000001048
1	111741737	113273305	757	14	0.0000089433	0.0000000905
1	113273306	114873844	539	14	-0.0000715045	0.0000000699
1	114873845	115880592	357	14	-0.0001765829	0.0000000379
1	115880593	118839066	916	14	-0.0000629236	0.0000001045
1	118839067	144977493	605	14	0.0000082284	0.0000000689
1	144977494	148361252	464	14	-0.0001301213	0.0000000575
1	148361253	151538880	363	14	-0.0000364268	0.0000000404
1	151538881	153180828	521	14	0.0002026315	0.0000000464
1	153180829	154770402	492	14	-0.0000758376	0.0000000641
1	154770403	156336132	322	14	-0.0002662735	0.0000000514
1	156336133	158027411	643	14	0.0000946655	0.0000000884
1	158027412	159913047	740	14	-0.0001028370	0.0000001110
1	159913048	162346720	943	14	-0.0000116213	0.0000001028
1	162346721	165191701	1278	14	-0.0001034747	0.0000000943
1	165191702	166460516	581	14	-0.0000281986	0.0000000821
1	166460517	169086323	1205	14	-0.0000081904	0.0000001027
1	169086324	170557775	591	14	-0.0000644131	0.0000000557
1	170557776	173097906	978	14	0.0001667794	0.0000000969
1	173097907	175089767	448	14	-0.0000494506	0.0000000339
1	175089768	177433380	869	14	0.0000337729	0.0000000963
1	177433381	178944308	544	14	0.0000046364	0.0000000635
1	178944309	178954469	2	1	-0.0000404506	0.0000000110
1	178954470	181144120	811	14	0.0000724029	0.0000000858
1	181144121	182755355	667	14	0.0001043068	0.0000000911
1	182755356	184595512	674	14	-0.0000132615	0.0000000788
1	184595513	186810022	581	14	0.0000730381	0.0000000678
1	186810023	188759944	696	14	-0.0000315108	0.0000000775
1	188759945	189904129	244	14	0.0000820574	0.0000000197
1	189904130	191868929	591	14	-0.0000054098	0.0000000513
1	191868930	194107441	646	14	0.0000338371	0.0000000731
1	194107442	196176200	630	14	-0.0000380564	0.0000000624
1	196176201	197311513	206	14	0.0001608632	0.0000000180
1	197311514	199239883	548	14	-0.0002062931	0.0000000673
1	199239884	200137648	344	14	-0.0001905496	0.0000000465
1	200137649	201589974	751	14	0.0001427537	0.0000000954
1	201589975	203334733	652	14	0.0001505725	0.0000000989
1	203334734	204681067	537	14	-0.0000101773	0.0000000782
1	204681068	206073264	604	14	-0.0004145930	0.0000001001
