chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	94	17	0.0000074006	0.0000000027
1	1892607	3582735	410	40	-0.0000471976	0.0000000075
1	3582736	4380810	263	40	0.0000420448	0.0000000035
1	4380811	5913892	864	40	-0.0000568846	0.0000000084
1	5913893	7247334	416	40	-0.0000031030	0.0000000062
1	7247335	9365198	680	40	0.0000065880	0.0000000088
1	9365199	10806983	338	40	-0.0000219191	0.0000000044
1	10806984	11777840	247	40	0.0000283144	0.0000000044
1	11777841	12779465	282	40	-0.0000884476	0.0000000039
1	12779466	14891510	607	40	0.0000135655	0.0000000087
1	14891511	16897729	657	40	-0.0001140254	0.0000000087
1	16897730	18662898	639	40	-0.0000349444	0.0000000078
1	18662899	20469148	686	40	0.0000455369	0.0000000079
1	20469149	21736587	450	40	0.0000615881	0.0000000066
1	21736588	23086882	507	40	0.0000741627	0.0000000073
1	23086883	23920589	214	27	-0.0000417525	0.0000000049
1	23920590	25516844	501	40	0.0000380521	0.0000000070
1	25516845	27401866	395	40	0.0000319237	0.0000000066
1	27401867	30161880	526	40	-0.0000788484	0.0000000072
1	30161881	32438684	905	40	0.0000417306	0.0000000088
1	32438685	34799757	644	40	0.0000409840	0.0000000086
1	34799758	37549182	527	40	-0.0000074078	0.0000000067
1	37549183	38731846	358	40	0.0000524431	0.0000000049
1	38731847	40200566	424	40	0.0000729768	0.0000000051
1	40200567	41975326	540	40	0.0000043824	0.0000000060
1	41975327	43758456	532	40	0.0000726049	0.0000000069
1	43758457	44969182	351	35	0.0000140663	0.0000000040
1	44969183	46899500	440	38	0.0001173791	0.0000000047
1	46899501	48002575	280	33	0.0000622091	0.0000000043
1	48002576	48978187	339	40	-0.0000105747	0.0000000052
1	48978188	49894176	237	28	-0.0000497880	0.0000000043
1	49894177	51713725	252	25	-0.0001247546	0.0000000043
1	51713726	54226261	547	40	-0.0000483767	0.0000000064
1	54226262	56413116	814	40	-0.0001091038	0.0000000121
1	56413117	57021727	265	31	-0.0000034265	0.0000000033
1	57021728	58865398	827	40	0.0000790214	0.0000000090
1	58865399	59890408	371	40	-0.0000300148	0.0000000047
1	59890409	61922364	660	40	-0.0000262122	0.0000000085
1	61922365	63455088	526	40	0.0000372637	0.0000000151
1	63455089	65041703	642	40	0.0000826560	0.0000000071
1	65041704	66939403	636	40	0.0000931723	0.0000000081
1	66939404	68477894	664	40	0.0001237861	0.0000000079
1	68477895	69687615	383	40	0.0000255447	0.0000000053
1	69687616	71372469	507	40	0.0000445099	0.0000000066
1	71372470	71684404	81	10	-0.0000177815	0.0000000009
1	71684405	74326906	558	40	-0.0000991578	0.0000000087
1	74326907	76728134	713	40	-0.0000414184	0.0000000082
1	76728135	79661197	924	40	0.0001015521	0.0000000097
1	79661198	81354190	470	40	0.0000029264	0.0000000055
1	81354191	83991747	965	40	-0.0000072517	0.0000000083
1	83991748	84844494	306	35	-0.0000822020	0.0000000040
1	84844495	86454750	634	40	-0.0000933987	0.0000000077
1	86454751	88128630	553	40	0.0000071871	0.0000000063
1	88128631	90066302	515	40	-0.0000760413	0.0000000059
