chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	89	16	0.0000687900	0.000000043448
1	1892607	3582735	407	16	0.0001958461	0.000000199137
1	3582736	4380810	258	16	0.0000125997	0.000000112063
1	4380811	5913892	849	16	0.0001149457	0.000000265839
1	5913893	7247334	405	16	-0.0000051757	0.000000162089
1	7247335	9365198	674	16	0.0003116154	0.000000276130
1	9365199	10806983	332	16	0.0001510495	0.000000129332
1	10806984	11777840	241	16	0.0000754422	0.000000103421
1	11777841	12779465	268	16	0.0001272330	0.000000124575
1	12779466	14891510	602	16	-0.0000565097	0.000000257903
1	14891511	16897729	649	16	0.0000762346	0.000000263818
1	16897730	18662898	635	16	-0.0000148046	0.000000261301
1	18662899	20469148	680	16	-0.0000367557	0.000000259705
1	20469149	21736587	447	16	0.0001483281	0.000000184982
1	21736588	23086882	503	16	0.0000783792	0.000000222706
1	23086883	23920589	212	16	0.0002295273	0.000000093334
1	23920590	25516844	496	16	0.0002613708	0.000000229412
1	25516845	27401866	383	16	0.0001847570	0.000000139595
1	27401867	30161880	522	16	0.0001191751	0.000000195234
1	30161881	32438684	895	16	-0.0000379546	0.000000253150
1	32438685	34799757	638	16	0.0002986397	0.000000270515
1	34799758	37549182	521	16	0.0000402186	0.000000200036
1	37549183	38731846	347	16	0.0001967063	0.000000141648
1	38731847	40200566	423	16	-0.0000683506	0.000000162236
1	40200567	41975326	536	16	0.0001012376	0.000000198453
1	41975327	43758456	526	16	0.0000150933	0.000000176508
1	43758457	44969182	346	16	0.0001604824	0.000000124297
1	44969183	46899500	437	16	0.0005111143	0.000000145221
1	46899501	48002575	272	16	0.0002871156	0.000000109440
1	48002576	48978187	337	16	0.0000419428	0.000000132746
1	48978188	49894176	236	16	0.0000361843	0.000000090258
1	49894177	51713725	247	16	0.0000816423	0.000000070788
1	51713726	54226261	544	16	0.0000106813	0.000000207063
1	54226262	56413116	805	16	0.0001242886	0.000000267161
1	56413117	57021727	264	16	0.0003724619	0.000000107795
1	57021728	58865398	824	16	-0.0000466935	0.000000253863
1	58865399	59890408	371	16	0.0000448591	0.000000130472
1	59890409	61922364	656	16	-0.0000007097	0.000000260462
1	61922365	63455088	512	16	-0.0000212464	0.000000200121
1	63455089	65041703	641	16	0.0000661011	0.000000216470
1	65041704	66939403	626	16	0.0003292757	0.000000239454
1	66939404	68477894	655	16	0.0001201400	0.000000215527
1	68477895	69687615	367	16	0.0002502835	0.000000153938
1	69687616	71372469	500	16	0.0000451040	0.000000178809
1	71372470	71684404	80	10	0.0000202740	0.000000023128
1	71684405	74326906	553	16	0.0000907847	0.000000166726
1	74326907	76728134	693	16	0.0002175054	0.000000220444
1	76728135	79661197	919	16	0.0001061773	0.000000266621
1	79661198	81354190	463	16	0.0000174981	0.000000167824
1	81354191	83991747	954	16	0.0002057307	0.000000274269
1	83991748	84844494	304	16	0.0000660273	0.000000099450
1	84844495	86454750	627	16	0.0003279797	0.000000257578
1	86454751	88128630	546	16	0.0000687372	0.000000203669
1	88128631	90066302	508	16	0.0000055113	0.000000182132
1	90066303	91886316	555	16	0.0003598927	0.000000222553
1	91886317	93536458	497	16	-0.0000849270	0.000000150696
1	93536459	94506190	243	16	0.0000319612	0.000000073718
1	94506191	96150892	628	16	0.0001308739	0.000000244827
1	96150893	97885248	594	16	0.0001005370	0.000000183485
1	97885249	99800603	628	16	0.0000416301	0.000000209486
1	99800604	100826404	301	16	0.0002853230	0.000000116649
1	100826405	102041015	436	16	-0.0000211198	0.000000147963
1	102041016	102898744	264	16	0.0001017695	0.000000099126
1	102898745	103914210	194	16	0.0002037816	0.000000068741
1	103914211	106087841	444	16	0.0001333003	0.000000167978
1	106087842	108409664	716	16	0.0001745704	0.000000274824
1	108409665	110303930	540	16	0.0002250147	0.000000207677
1	110303931	111741736	553	16	0.0002882351	0.000000256377
1	111741737	113273305	689	16	0.0000095431	0.000000259240
1	113273306	114873844	492	16	0.0001627306	0.000000198132
1	114873845	115880592	335	16	0.0003517982	0.000000127550
1	115880593	118839066	787	16	0.0002187496	0.000000274670
1	118839067	144977493	549	16	0.0000611223	0.000000192219
1	144977494	148361252	423	16	0.0001222126	0.000000155518
1	148361253	151538880	330	16	0.0001485589	0.000000114314
1	151538881	153180828	444	16	0.0006500752	0.000000176397
1	153180829	154770402	445	16	-0.0000022896	0.000000158618
1	154770403	156336132	278	16	0.0006234798	0.000000141067
