chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	96	19	0.0002085666	0.000000010645
1	1892607	3582735	439	40	0.0000945191	0.000000026636
1	3582736	4380810	270	40	0.0000677401	0.000000015808
1	4380811	5913892	855	40	0.0000574871	0.000000029900
1	5913893	7247334	425	40	0.0001359489	0.000000021936
1	7247335	9365198	696	40	0.0004075705	0.000000036997
1	9365199	10806983	348	40	-0.0000191123	0.000000013895
1	10806984	11777840	253	40	-0.0000352810	0.000000011982
1	11777841	12779465	280	40	0.0002331068	0.000000015546
1	12779466	14891510	614	40	0.0001391439	0.000000031890
1	14891511	16897729	684	40	0.0000682118	0.000000030408
1	16897730	18662898	666	40	-0.0000152813	0.000000028680
1	18662899	20469148	710	40	0.0001323373	0.000000032339
1	20469149	21736587	458	40	0.0001158759	0.000000022375
1	21736588	23086882	520	40	0.0000501080	0.000000026728
1	23086883	23920589	220	28	0.0002823968	0.000000014852
1	23920590	25516844	520	40	0.0000837194	0.000000026858
1	25516845	27401866	412	40	0.0000852362	0.000000016998
1	27401867	30161880	549	40	0.0001656577	0.000000025880
1	30161881	32438684	924	40	0.0001705456	0.000000032027
1	32438685	34799757	669	40	0.0001334830	0.000000032104
1	34799758	37549182	551	40	0.0001789110	0.000000028120
1	37549183	38731846	362	40	0.0000335110	0.000000016034
1	38731847	40200566	445	40	0.0000826168	0.000000020647
1	40200567	41975326	550	40	0.0000741783	0.000000023566
1	41975327	43758456	540	40	0.0002435166	0.000000025266
1	43758457	44969182	366	35	0.0000181793	0.000000014403
1	44969183	46899500	455	38	-0.0000176349	0.000000013121
1	46899501	48002575	291	33	0.0001224999	0.000000013812
1	48002576	48978187	342	40	0.0001048928	0.000000017365
1	48978188	49894176	246	28	0.0002219864	0.000000015389
1	49894177	51713725	255	25	0.0002117523	0.000000011963
1	51713726	54226261	560	40	-0.0000402162	0.000000022282
1	54226262	56413116	832	40	0.0000135972	0.000000027706
1	56413117	57021727	272	31	0.0001104156	0.000000011178
1	57021728	58865398	846	40	0.0001941992	0.000000033022
