chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	117	14	0.0001095487	0.000000109002
1	1892607	3582735	472	14	0.0002716738	0.000000367763
1	3582736	4380810	295	14	-0.0000674061	0.000000168613
1	4380811	5913892	916	14	0.0000341018	0.000000321972
1	5913893	7247334	450	14	0.0000093300	0.000000221800
1	7247335	9365198	741	14	0.0000516092	0.000000325808
1	9365199	10806983	374	14	0.0002337102	0.000000190084
1	10806984	11777840	282	14	0.0002118956	0.000000177738
1	11777841	12779465	307	14	0.0004031069	0.000000221909
1	12779466	14891510	646	14	0.0002206438	0.000000338860
1	14891511	16897729	748	14	0.0001786276	0.000000353280
1	16897730	18662898	699	14	0.0001512341	0.000000345006
1	18662899	20469148	777	14	0.0002052557	0.000000368424
1	20469149	21736587	479	14	0.0002213549	0.000000240976
1	21736588	23086882	545	14	0.0000239346	0.000000297490
1	23086883	23920589	237	14	0.0001145233	0.000000109155
1	23920590	25516844	549	14	0.0000948398	0.000000301044
1	25516845	27401866	434	14	0.0005138662	0.000000200122
1	27401867	30161880	578	14	0.0000252984	0.000000257089
1	30161881	32438684	984	14	0.0002069909	0.000000326338
1	32438685	34799757	716	14	0.0000533591	0.000000322062
1	34799758	37549182	608	14	-0.0000757841	0.000000307575
1	37549183	38731846	394	14	0.0001683998	0.000000186054
1	38731847	40200566	462	14	0.0001583987	0.000000227781
1	40200567	41975326	573	14	0.0002503195	0.000000251627
1	41975327	43758456	591	14	0.0000446990	0.000000244057
1	43758457	44969182	389	14	0.0003216748	0.000000164546
1	44969183	46899500	478	14	0.0004178777	0.000000163859
1	46899501	48002575	318	14	0.0004831330	0.000000150231
1	48002576	48978187	360	14	0.0002318578	0.000000166829
1	48978188	49894176	253	14	0.0002226722	0.000000113555
1	49894177	51713725	265	14	0.0000244635	0.000000075793
1	51713726	54226261	583	14	0.0003423258	0.000000278908
1	54226262	56413116	893	14	0.0001112106	0.000000334400
1	56413117	57021727	287	14	0.0003288990	0.000000122691
1	57021728	58865398	910	14	-0.0000248498	0.000000320591
1	58865399	59890408	412	14	0.0001734806	0.000000179220
1	59890409	61922364	704	14	-0.0000754180	0.000000315140
1	61922365	63455088	581	14	0.0001558681	0.000000309836
1	63455089	65041703	698	14	0.0000599327	0.000000283137
1	65041704	66939403	671	14	-0.0000455184	0.000000259058
1	66939404	68477894	719	14	0.0002462195	0.000000270885
1	68477895	69687615	399	14	0.0000613951	0.000000175832
1	69687616	71372469	559	14	0.0000060801	0.000000241478
1	71372470	71684404	87	10	0.0001715320	0.000000035575
1	71684405	74326906	585	14	0.0001289025	0.000000199784
1	74326907	76728134	759	14	-0.0000151979	0.000000256290
1	76728135	79661197	992	14	0.0000463006	0.000000318766
1	79661198	81354190	500	14	0.0000860760	0.000000212361
1	81354191	83991747	1022	14	0.0000426208	0.000000324757
1	83991748	84844494	330	14	-0.0000819265	0.000000110911
1	84844495	86454750	681	14	0.0000281907	0.000000295587
1	86454751	88128630	611	14	-0.0000440345	0.000000276265
1	88128631	90066302	552	14	0.0003321096	0.000000256655
1	90066303	91886316	591	14	0.0002977530	0.000000277778
1	91886317	93536458	537	14	0.0000936771	0.000000196550
1	93536459	94506190	268	14	0.0001195123	0.000000098186
1	94506191	96150892	696	14	0.0000842858	0.000000318943
1	96150893	97885248	637	14	0.0000518337	0.000000221426
1	97885249	99800603	670	14	-0.0000559592	0.000000262771
1	99800604	100826404	348	14	0.0000208593	0.000000115133
1	100826405	102041015	473	14	0.0000225462	0.000000179026
1	102041016	102898744	292	14	0.0002254406	0.000000136811
1	102898745	103914210	213	14	0.0001676484	0.000000074994
1	103914211	106087841	481	14	0.0001244908	0.000000203779
1	106087842	108409664	770	14	-0.0000121201	0.000000321673
1	108409665	110303930	598	14	0.0002804951	0.000000289943
1	110303931	111741736	615	14	0.0001972911	0.000000356588
1	111741737	113273305	757	14	0.0001673973	0.000000325435
1	113273306	114873844	539	14	0.0001405319	0.000000256467
1	114873845	115880592	357	14	0.0001606683	0.000000132207
1	115880593	118839066	916	14	0.0002289562	0.000000353849
1	118839067	144977493	605	14	0.0002285370	0.000000252183
1	144977494	148361252	464	14	0.0004266444	0.000000206061
1	148361253	151538880	363	14	0.0002349322	0.000000138673
1	151538881	153180828	521	14	-0.0000262132	0.000000174017
1	153180829	154770402	492	14	0.0002312608	0.000000220409
1	154770403	156336132	322	14	0.0006966715	0.000000184586
1	156336133	158027411	643	14	0.0000994863	0.000000311952
1	158027412	159913047	740	14	0.0003565329	0.000000372650
1	159913048	162346720	943	14	0.0003274614	0.000000358743
1	162346721	165191701	1278	14	0.0000571493	0.000000325084
1	165191702	166460516	581	14	-0.0000054403	0.000000286392
1	166460517	169086323	1205	14	0.0001166490	0.000000346948
1	169086324	170557775	591	14	0.0000370036	0.000000194432
1	170557776	173097906	978	14	0.0004382167	0.000000342895
1	173097907	175089767	448	14	0.0002526124	0.000000131178
1	175089768	177433380	869	14	0.0002986886	0.000000344925
1	177433381	178944308	544	14	0.0001405639	0.000000217365
1	178944309	178954469	2	1	-0.0000067589	0.000000003510
1	178954470	181144120	811	14	0.0000742830	0.000000309275
1	181144121	182755355	667	14	0.0000305162	0.000000320669
1	182755356	184595512	674	14	0.0000422210	0.000000270554
1	184595513	186810022	581	14	0.0001677119	0.000000238780
1	186810023	188759944	696	14	0.0000187299	0.000000272632
1	188759945	189904129	244	14	0.0000784087	0.000000077677
1	189904130	191868929	591	14	0.0002622168	0.000000190848
1	191868930	194107441	647	14	0.0000861326	0.000000262928
1	194107442	196176200	630	14	0.0000891959	0.000000223405
1	196176201	197311513	206	14	0.0000949834	0.000000063316
1	197311514	199239883	548	14	0.0003544251	0.000000246107
1	199239884	200137648	344	14	0.0003382363	0.000000162870
1	200137649	201589974	751	14	-0.0000035100	0.000000331231
1	201589975	203334733	652	14	-0.0001147431	0.000000333822
1	203334734	204681067	537	14	0.0001358524	0.000000278894
1	204681068	206073264	604	14	0.0004151721	0.000000315528
1	206073265	208410363	699	14	0.0002384914	0.000000345582
1	208410364	210787749	1018	14	0.0002747296	0.000000344321
1	210787750	212842329	741	14	0.0000727811	0.000000322314
1	212842330	214578265	648	14	0.0001790279	0.000000339562
1	214578266	216243633	644	14	0.0002150598	0.000000284598
1	216243634	218705512	1151	14	0.0001963418	0.000000319424
1	218705513	219590570	314	14	0.0001914445	0.000000131668
1	219590571	221858230	750	14	0.0001794895	0.000000323051
1	221858231	222230219	187	14	0.0000431245	0.000000081901
1	222230220	224938519	632	14	0.0003111557	0.000000411103
1	224938520	226810859	558	14	0.0000114194	0.000000246661
1	226810860	229156247	789	14	0.0001013170	0.000000351870
1	229156248	230685254	599	14	0.0002798331	0.000000347883
1	230685255	232090251	627	14	0.0002952684	0.000000329814
1	232090252	233429283	651	14	0.0002032791	0.000000362995
1	233429284	234599433	593	14	0.0000319199	0.000000319850
1	234599434	235819435	416	14	0.0002451737	0.000000253662
1	235819436	237555627	790	14	0.0000026005	0.000000339007
1	237555628	238567806	460	14	0.0002070120	0.000000242271
1	238567807	239925313	531	14	0.0000598581	0.000000260599
1	239925314	240564090	376	14	0.0001133058	0.000000185992
1	240564091	241582219	554	14	0.0000209010	0.000000359203
1	241582220	242071601	236	14	0.0002661361	0.000000138646
1	242071602	244109498	674	14	-0.0000476839	0.000000323432
1	244109499	245506745	557	14	0.0000015901	0.000000352274
1	245506746	247344517	792	14	0.0001194721	0.000000368914
1	247344518	249239465	433	14	0.0000803368	0.000000225284
2	10133	1781021	710	14	-0.0000553692	0.000000309034
2	1781022	3973778	1027	14	0.0000670624	0.000000332034
2	3973779	5708336	661	14	-0.0000167969	0.000000309571
2	5708337	6836253	595	14	0.0003293321	0.000000286611
2	6836254	8422146	673	14	-0.0000174711	0.000000299740
2	8422147	10298468	723	14	-0.0000043815	0.000000332520
2	10298469	12419149	1033	14	0.0000644109	0.000000340442
2	12419150	14335307	622	14	0.0001731168	0.000000280334
2	14335308	16329734	768	14	0.0000300940	0.000000291022
2	16329735	18647422	899	14	-0.0000634953	0.000000304277
2	18647423	19692403	396	14	0.0001750169	0.000000180664
2	19692404	21050489	664	14	0.0000788187	0.000000309698
2	21050490	23341382	638	14	0.0004332290	0.000000323843
2	23341383	24686917	457	14	0.0008240978	0.000000238440
2	24686918	26894984	583	14	0.0005172739	0.000000291022
2	26894985	28598776	424	14	0.0003814306	0.000000172050
2	28598777	29217558	253	14	0.0004021800	0.000000130313
2	29217559	30463710	650	14	-0.0000130324	0.000000303073
2	30463711	31550449	555	14	0.0000969166	0.000000297786
2	31550450	33363776	520	14	0.0001844768	0.000000289350
2	33363777	35345027	849	14	0.0000580494	0.000000308972
2	35345028	36122005	305	14	0.0001740273	0.000000133069
2	36122006	38132711	978	14	0.0000132382	0.000000307397
2	38132712	39031336	343	14	0.0000112352	0.000000169355
2	39031337	40281482	317	14	0.0002332454	0.000000157388
2	40281483	43309589	1365	14	0.0000814931	0.000000288979
2	43309590	44313802	417	14	0.0004438510	0.000000236557
2	44313803	46482633	1128	14	0.0002326544	0.000000333440
2	46482634	47318771	436	14	-0.0000262487	0.000000262244
2	47318772	48213000	312	14	0.0000804392	0.000000199014
2	48213001	50022256	744	14	0.0000015818	0.000000293858
2	50022257	50818927	352	14	-0.0001156179	0.000000143929
2	50818928	52491132	668	14	0.0005148197	0.000000321844
2	52491133	53508451	492	14	0.0003405263	0.000000238267
2	53508452	54685225	456	14	0.0000874721	0.000000213635
2	54685226	56203344	632	14	0.0002293287	0.000000294962
2	56203345	57429099	444	14	0.0000940020	0.000000205572
2	57429100	58297314	284	14	0.0000229897	0.000000122092
2	58297315	60291999	771	14	0.0004664829	0.000000317711
2	60292000	62429043	611	14	0.0010471359	0.000000350567
2	62429044	64625912	602	14	0.0003305575	0.000000292111
2	64625913	65933443	476	14	0.0003166042	0.000000249254
2	65933444	67226165	563	14	0.0000228126	0.000000246364
2	67226166	68010175	433	14	0.0001581751	0.000000186002
2	68010176	69139563	502	14	0.0001717321	0.000000224513
2	69139564	70755197	555	14	0.0000955868	0.000000220705
2	70755198	73174847	833	14	0.0001065430	0.000000322831
2	73174848	75630085	762	14	0.0000957394	0.000000333235
2	75630086	76913660	533	14	0.0001216798	0.000000248069
2	76913661	78079263	408	14	0.0000806868	0.000000229338
2	78079264	80050402	861	14	0.0000197005	0.000000293762
2	80050403	81620840	595	14	0.0003755172	0.000000323554
2	81620841	85140679	926	14	-0.0000443759	0.000000246196
2	85140680	88038506	657	14	0.0003295939	0.000000272427
2	88038507	89154525	253	14	0.0001047995	0.000000095883
2	89154526	95326451	4	2	0.0000318719	0.000000006171
2	95326452	98995200	443	14	0.0001080598	0.000000174306
2	98995201	101822328	931	14	0.0000589470	0.000000279169
2	101822329	102688764	271	14	0.0000000621	0.000000092911
2	102688765	103588214	418	14	0.0003364613	0.000000137754
2	103588215	105125033	317	14	-0.0000028929	0.000000126976
2	105125034	106210057	419	14	-0.0000189160	0.000000183056
2	106210058	107408266	467	14	-0.0000103874	0.000000197086
2	107408267	108429176	368	14	-0.0000859061	0.000000119745
2	108429177	110572431	555	14	0.0000854765	0.000000229393
2	110572432	113921855	840	14	0.0004675763	0.000000319814
2	113921856	116772469	791	14	0.0001737826	0.000000312994
2	116772470	118367465	422	14	0.0000864425	0.000000147107
2	118367466	121303782	1035	14	0.0001898096	0.000000322514
2	121303783	123302905	612	14	0.0001674258	0.000000320904
2	123302906	124732249	450	14	0.0003154385	0.000000164713
2	124732250	125840920	400	14	0.0001403637	0.000000162112
2	125840921	127373763	430	14	-0.0000162182	0.000000128941
2	127373764	128034346	308	14	0.0000013064	0.000000135455
2	128034347	129474440	451	14	0.0000324417	0.000000193202
2	129474441	130067169	240	14	0.0005066068	0.000000120177
2	130067170	130658084	219	14	0.0003124676	0.000000102982
2	130658085	133042783	238	14	0.0003085274	0.000000157354
2	133042784	135158577	948	14	0.0002124586	0.000000317436
2	135158578	137042793	477	14	0.0000141438	0.000000155930
2	137042794	138698116	629	14	0.0001646294	0.000000275910
2	138698117	140100270	453	14	0.0001207035	0.000000142950
2	140100271	141805350	596	14	0.0001884313	0.000000269850
2	141805351	142518601	311	14	0.0002678055	0.000000150507
2	142518602	144519483	679	14	0.0000780343	0.000000290464
2	144519484	146445569	461	14	0.0001740632	0.000000202932
2	146445570	147277161	160	14	0.0001397891	0.000000069393
2	147277162	150210291	686	14	0.0003521928	0.000000275122
2	150210292	151731461	489	14	0.0003031814	0.000000224231
2	151731462	152486781	294	14	0.0001840431	0.000000111647
2	152486782	154005055	516	14	-0.0000281787	0.000000205980
2	154005056	155391134	508	14	-0.0000307274	0.000000220747
2	155391135	157560634	579	14	0.0000286298	0.000000238048
2	157560635	158533217	174	14	0.0000980958	0.000000091498
2	158533218	159577081	350	14	0.0000546273	0.000000156149
2	159577082	161769732	748	14	0.0003168286	0.000000308987
2	161769733	163503550	410	14	0.0000992970	0.000000141194
2	163503551	164466637	205	14	-0.0000283233	0.000000078214
2	164466638	165178839	185	14	-0.0000120046	0.000000069361
2	165178840	167160269	664	14	0.0001749125	0.000000263776
2	167160270	167355969	75	10	-0.0000575993	0.000000022558
2	167355970	169968235	881	14	0.0000211560	0.000000301071
2	169968236	171226244	511	14	0.0001282634	0.000000223623
2	171226245	173138904	605	14	0.0003479475	0.000000314257
2	173138905	175588928	870	14	0.0002690044	0.000000323074
2	175588929	177363635	561	14	0.0001843850	0.000000246218
2	177363636	178553182	482	14	0.0001534603	0.000000179395
2	178553183	181312738	1034	14	-0.0000486226	0.000000289078
2	181312739	182266030	315	14	0.0003541002	0.000000133630
2	182266031	184357607	644	14	0.0000517483	0.000000289870
2	184357608	185280172	245	14	0.0002457911	0.000000103210
2	185280173	189882064	1006	14	0.0002909678	0.000000320519
2	189882065	191973356	521	14	0.0002388811	0.000000215416
2	191973357	195861163	741	14	0.0000229900	0.000000327706
2	195861164	196447455	162	14	0.0002349746	0.000000081462
2	196447456	198078109	460	14	0.0000508729	0.000000152133
2	198078110	199311124	322	14	0.0000657625	0.000000094839
2	199311125	201576283	654	14	0.0002356894	0.000000267601
2	201576284	202818636	329	14	0.0000954826	0.000000135611
2	202818637	205799240	779	14	0.0005356050	0.000000343243
2	205799241	206735703	421	14	-0.0000895215	0.000000226284
2	206735704	208645398	685	14	0.0001202326	0.000000319645
2	208645399	209941528	352	14	0.0003154270	0.000000176212
2	209941529	212379517	768	14	-0.0001024226	0.000000284655
2	212379518	214014281	651	14	0.0001657299	0.000000323165
2	214014282	215573794	458	14	0.0001711934	0.000000204211
2	215573795	217715660	847	14	-0.0000309839	0.000000322275
2	217715661	218395479	292	14	-0.0000474782	0.000000140580
2	218395480	220454550	616	14	0.0002220383	0.000000287807
2	220454551	222521175	895	14	-0.0000189944	0.000000317381
2	222521176	224859418	821	14	0.0000263160	0.000000327089
2	224859419	225840003	374	14	0.0002698343	0.000000141310
2	225840004	228119841	763	14	0.0003083758	0.000000319418
2	228119842	229370786	472	14	0.0001613326	0.000000197422
2	229370787	231843388	979	14	0.0000601479	0.000000324687
2	231843389	233550002	503	14	-0.0001261918	0.000000233421
2	233550003	235150986	824	14	0.0000032886	0.000000310283
2	235150987	236043549	447	14	-0.0001186183	0.000000261909
2	236043550	237449031	496	14	-0.0000967723	0.000000225194
2	237449032	238760980	563	14	0.0000998608	0.000000273715
2	238760981	239952642	447	14	-0.0000066042	0.000000223736
2	239952643	241560083	715	14	-0.0000423567	0.000000362953
2	241560084	242149920	233	14	0.0000917329	0.000000114404
2	242149921	243188919	143	14	0.0000504426	0.000000070189
3	60157	1441778	648	14	-0.0000372321	0.000000325791
3	1441779	2992119	958	14	0.0000998324	0.000000342652
3	2992120	4431646	814	14	0.0000983117	0.000000335524
3	4431647	6083182	832	14	-0.0001018183	0.000000340273
3	6083183	7083386	449	14	-0.0000749123	0.000000243774
3	7083387	8648560	906	14	-0.0000632985	0.000000295892
3	8648561	9543182	525	14	0.0001975335	0.000000340464
3	9543183	11019664	645	14	0.0000200467	0.000000345797
3	11019665	13070798	784	14	0.0003991646	0.000000369703
3	13070799	14816899	838	14	0.0000671050	0.000000341392
3	14816900	16282441	554	14	0.0004640503	0.000000280308
3	16282442	17891117	523	14	0.0002595295	0.000000236751
3	17891118	19125143	357	14	0.0003070764	0.000000177794
3	19125144	20091347	209	14	0.0001838077	0.000000114692
3	20091348	21643706	672	14	0.0002001592	0.000000313651
3	21643707	22204243	409	14	-0.0000238178	0.000000212294
3	22204244	23804864	565	14	0.0001188789	0.000000287446
3	23804865	25461557	780	14	0.0002452020	0.000000327476
3	25461558	26877768	491	14	0.0001315135	0.000000220359
3	26877769	27840909	282	14	0.0000627367	0.000000122887
3	27840910	29142259	471	14	0.0000816252	0.000000227877
3	29142260	30717954	718	14	0.0001870719	0.000000334903
3	30717955	32351714	682	14	0.0000914564	0.000000319181
3	32351715	33255591	291	14	0.0004259725	0.000000185574
3	33255592	35283457	615	14	0.0000993380	0.000000262301
3	35283458	36486841	427	14	0.0000665019	0.000000183001
3	36486842	38356115	620	14	0.0003504329	0.000000294978
3	38356116	40221297	695	14	0.0000385989	0.000000295077
3	40221298	41064527	159	14	0.0001198943	0.000000071230
3	41064528	42540001	481	14	0.0000108442	0.000000207679
3	42540002	45165152	731	14	0.0000073112	0.000000300792
3	45165153	46657499	575	14	-0.0000256910	0.000000239375
3	46657500	47727211	181	14	0.0003781376	0.000000088417
3	47727212	49316971	259	14	0.0003040108	0.000000072131
3	49316972	51832014	454	14	0.0001431569	0.000000100205
3	51832015	54081389	635	14	0.0005615403	0.000000305056
3	54081390	55348859	694	14	0.0000937256	0.000000323713
3	55348860	56433906	389	14	0.0003723902	0.000000204378
