chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	99	19	0.0000128117	0.0000000060
1	1892607	3582735	439	40	-0.0000370661	0.0000000202
1	3582736	4380810	273	40	-0.0001523237	0.0000000130
1	4380811	5913892	868	40	-0.0001737069	0.0000000290
1	5913893	7247334	429	40	0.0001201378	0.0000000203
1	7247335	9365198	699	40	-0.0000761962	0.0000000281
1	9365199	10806983	352	40	0.0000352195	0.0000000138
1	10806984	11777840	257	40	-0.0000835185	0.0000000135
1	11777841	12779465	284	40	-0.0000731776	0.0000000139
1	12779466	14891510	616	40	-0.0000333192	0.0000000317
1	14891511	16897729	687	40	-0.0000198496	0.0000000283
1	16897730	18662898	667	40	0.0000354433	0.0000000315
1	18662899	20469148	718	40	-0.0000708727	0.0000000295
1	20469149	21736587	461	40	0.0000299789	0.0000000231
1	21736588	23086882	523	40	-0.0000668889	0.0000000236
1	23086883	23920589	222	28	0.0001118479	0.0000000110
1	23920590	25516844	522	40	-0.0000944800	0.0000000247
1	25516845	27401866	411	40	0.0000786259	0.0000000147
1	27401867	30161880	553	40	-0.0000174257	0.0000000213
1	30161881	32438684	932	40	-0.0000721712	0.0000000282
1	32438685	34799757	675	40	-0.0000326153	0.0000000278
1	34799758	37549182	552	40	-0.0000994931	0.0000000280
1	37549183	38731846	374	40	0.0000034935	0.0000000170
1	38731847	40200566	447	40	-0.0001577202	0.0000000206
1	40200567	41975326	557	40	-0.0000354633	0.0000000236
1	41975327	43758456	538	40	0.0001975602	0.0000000230
1	43758457	44969182	371	35	0.0000629657	0.0000000164
1	44969183	46899500	457	38	0.0000018192	0.0000000148
1	46899501	48002575	297	33	0.0001248297	0.0000000139
1	48002576	48978187	343	40	-0.0001103001	0.0000000166
1	48978188	49894176	247	28	0.0000141887	0.0000000092
1	49894177	51713725	259	25	0.0000798460	0.0000000088
1	51713726	54226261	565	40	0.0000551828	0.0000000245
1	54226262	56413116	836	40	-0.0000498032	0.0000000284
1	56413117	57021727	269	31	0.0000554806	0.0000000135
1	57021728	58865398	850	40	0.0001724588	0.0000000305
1	58865399	59890408	382	40	-0.0000007303	0.0000000184
1	59890409	61922364	670	40	-0.0000151097	0.0000000265
1	61922365	63455088	531	40	-0.0000336997	0.0000000245
1	63455089	65041703	656	40	-0.0000093148	0.0000000255
1	65041704	66939403	650	40	0.0000072959	0.0000000281
1	66939404	68477894	686	40	0.0000927028	0.0000000261
1	68477895	69687615	388	40	-0.0001278627	0.0000000181
1	69687616	71372469	519	40	-0.0000932439	0.0000000219
1	71372470	71684404	82	10	-0.0000649382	0.0000000038
1	71684405	74326906	555	40	0.0000702875	0.0000000219
1	74326907	76728134	726	40	0.0002060889	0.0000000264
1	76728135	79661197	948	40	-0.0001216643	0.0000000285
1	79661198	81354190	474	40	0.0001153699	0.0000000198
1	81354191	83991747	971	40	-0.0000902924	0.0000000278
1	83991748	84844494	311	35	-0.0000771287	0.0000000124
1	84844495	86454750	651	40	0.0000259877	0.0000000274
1	86454751	88128630	573	40	-0.0001997397	0.0000000263
1	88128631	90066302	520	40	0.0001348449	0.0000000218
1	90066303	91886316	561	40	-0.0000002589	0.0000000248
1	91886317	93536458	506	40	0.0000419327	0.0000000201
1	93536459	94506190	254	26	-0.0000084325	0.0000000101
1	94506191	96150892	649	40	-0.0000142254	0.0000000259
