chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	105	19	-0.0000186319	0.0000000011
1	1892607	3582735	430	40	-0.0000239487	0.0000000050
1	3582736	4380810	267	40	-0.0000521502	0.0000000034
1	4380811	5913892	845	40	-0.0000921759	0.0000000070
1	5913893	7247334	420	40	0.0000299623	0.0000000048
1	7247335	9365198	678	40	-0.0000377470	0.0000000069
1	9365199	10806983	344	40	-0.0000159576	0.0000000034
1	10806984	11777840	250	40	0.0000041788	0.0000000033
1	11777841	12779465	276	40	0.0000012639	0.0000000034
1	12779466	14891510	601	40	-0.0000183475	0.0000000070
1	14891511	16897729	658	40	0.0000298956	0.0000000068
1	16897730	18662898	637	40	0.0000210587	0.0000000076
1	18662899	20469148	700	40	-0.0000129401	0.0000000069
1	20469149	21736587	445	40	-0.0000605591	0.0000000059
1	21736588	23086882	502	40	-0.0000149963	0.0000000057
1	23086883	23920589	219	28	-0.0000216878	0.0000000027
1	23920590	25516844	510	40	0.0000300754	0.0000000057
1	25516845	27401866	402	40	-0.0000265081	0.0000000035
1	27401867	30161880	536	40	0.0000270869	0.0000000053
1	30161881	32438684	891	40	-0.0000481041	0.0000000067
1	32438685	34799757	659	40	-0.0000392656	0.0000000068
1	34799758	37549182	543	40	-0.0000238065	0.0000000064
1	37549183	38731846	364	40	-0.0000349801	0.0000000040
1	38731847	40200566	436	40	-0.0000683415	0.0000000047
1	40200567	41975326	539	40	-0.0000011752	0.0000000055
1	41975327	43758456	521	40	-0.0000765312	0.0000000058
1	43758457	44969182	359	35	-0.0000424063	0.0000000040
1	44969183	46899500	446	38	0.0000131509	0.0000000031
1	46899501	48002575	290	33	-0.0000012839	0.0000000034
1	48002576	48978187	331	40	-0.0000209474	0.0000000039
1	48978188	49894176	243	28	0.0000059381	0.0000000024
1	49894177	51713725	254	25	-0.0000153932	0.0000000022
1	51713726	54226261	553	40	-0.0000089644	0.0000000057
1	54226262	56413116	813	40	-0.0000158436	0.0000000068
1	56413117	57021727	260	30	-0.0000240496	0.0000000028
1	57021728	58865398	828	40	-0.0001197447	0.0000000077
1	58865399	59890408	370	40	-0.0000199013	0.0000000043
