chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	20	0.0000228356	0.0000000058
1	1892607	3582735	472	40	0.0000137021	0.0000000221
1	3582736	4380810	295	40	0.0002457149	0.0000000170
1	4380811	5913892	913	40	-0.0000944157	0.0000000233
1	5913893	7247334	449	40	0.0000592080	0.0000000179
1	7247335	9365198	738	40	-0.0001112720	0.0000000265
1	9365199	10806983	374	40	0.0000061721	0.0000000130
1	10806984	11777840	281	40	-0.0001254532	0.0000000144
1	11777841	12779465	307	40	-0.0000089853	0.0000000131
1	12779466	14891510	644	40	-0.0000020441	0.0000000224
1	14891511	16897729	744	40	-0.0000629187	0.0000000249
1	16897730	18662898	697	40	-0.0000316476	0.0000000243
1	18662899	20469148	775	40	-0.0000632737	0.0000000254
1	20469149	21736587	479	40	-0.0000019493	0.0000000199
1	21736588	23086882	546	40	0.0000306189	0.0000000211
1	23086883	23920589	236	29	-0.0000396189	0.0000000087
1	23920590	25516844	549	40	-0.0000020765	0.0000000230
1	25516845	27401866	432	40	0.0000926367	0.0000000124
1	27401867	30161880	577	40	-0.0000468265	0.0000000190
1	30161881	32438684	980	40	-0.0000115884	0.0000000247
1	32438685	34799757	715	40	-0.0000781721	0.0000000227
1	34799758	37549182	605	40	0.0001897735	0.0000000224
1	37549183	38731846	394	40	-0.0002337540	0.0000000162
1	38731847	40200566	462	40	0.0001231709	0.0000000185
1	40200567	41975326	572	40	0.0000707307	0.0000000190
1	41975327	43758456	587	40	-0.0001246617	0.0000000200
1	43758457	44969182	390	36	-0.0000764478	0.0000000174
1	44969183	46899500	477	40	-0.0000772545	0.0000000116
1	46899501	48002575	317	34	-0.0000568794	0.0000000098
1	48002576	48978187	359	40	-0.0000353935	0.0000000124
1	48978188	49894176	253	29	0.0000089321	0.0000000088
1	49894177	51713725	264	26	0.0000227066	0.0000000071
1	51713726	54226261	582	40	0.0000889317	0.0000000206
1	54226262	56413116	890	40	-0.0000957316	0.0000000224
1	56413117	57021727	284	31	0.0001211865	0.0000000098
1	57021728	58865398	909	40	0.0000821367	0.0000000262
1	58865399	59890408	411	40	-0.0000120198	0.0000000136
1	59890409	61922364	702	40	-0.0000729802	0.0000000242
1	61922365	63455088	578	40	0.0000095876	0.0000000205
1	63455089	65041703	693	40	-0.0000837353	0.0000000202
1	65041704	66939403	671	40	-0.0001050846	0.0000000216
1	66939404	68477894	718	40	-0.0001482814	0.0000000207
1	68477895	69687615	400	40	-0.0000410874	0.0000000157
1	69687616	71372469	558	40	0.0000075324	0.0000000197
1	71372470	71684404	87	10	0.0000643571	0.0000000030
1	71684405	74326906	583	40	-0.0001589826	0.0000000224
1	74326907	76728134	756	40	-0.0002761834	0.0000000224
1	76728135	79661197	991	40	-0.0001085401	0.0000000247
1	79661198	81354190	499	40	-0.0000472484	0.0000000161
1	81354191	83991747	1022	40	0.0000159848	0.0000000227
1	83991748	84844494	327	36	0.0000476016	0.0000000099
1	84844495	86454750	680	40	0.0000214745	0.0000000217
1	86454751	88128630	610	40	0.0001138322	0.0000000214
1	88128631	90066302	550	40	0.0000153037	0.0000000195
1	90066303	91886316	588	40	-0.0001501068	0.0000000225
1	91886317	93536458	535	40	0.0001192627	0.0000000159
1	93536459	94506190	267	27	-0.0000047004	0.0000000110
1	94506191	96150892	694	40	0.0000344172	0.0000000231
1	96150893	97885248	637	40	-0.0000840814	0.0000000205
1	97885249	99800603	670	40	-0.0000021719	0.0000000236
1	99800604	100826404	346	37	0.0000458787	0.0000000104
1	100826405	102041015	473	40	0.0000024538	0.0000000143
1	102041016	102898744	293	38	0.0000358936	0.0000000112
1	102898745	103914210	211	21	-0.0000037272	0.0000000068
1	103914211	106087841	481	40	0.0000106242	0.0000000165
1	106087842	108409664	765	40	0.0000254786	0.0000000227
1	108409665	110303930	597	40	-0.0000047121	0.0000000212
1	110303931	111741736	612	40	-0.0000186272	0.0000000264
1	111741737	113273305	757	40	0.0001194122	0.0000000240
1	113273306	114873844	539	40	0.0000130593	0.0000000192
1	114873845	115880592	354	38	-0.0000444487	0.0000000097
1	115880593	118839066	916	40	-0.0002301186	0.0000000253
1	118839067	144977493	600	40	0.0001095676	0.0000000177
1	144977494	148361252	464	40	0.0000746115	0.0000000155
1	148361253	151538880	361	34	-0.0000565893	0.0000000115
1	151538881	153180828	521	40	-0.0001136326	0.0000000137
1	153180829	154770402	491	40	-0.0000267206	0.0000000165
1	154770403	156336132	322	39	-0.0000688956	0.0000000121
1	156336133	158027411	642	40	-0.0000155397	0.0000000235
1	158027412	159913047	738	40	0.0001718194	0.0000000264
1	159913048	162346720	941	40	0.0001679830	0.0000000249
1	162346721	165191701	1275	40	-0.0000395252	0.0000000233
1	165191702	166460516	579	40	-0.0000601026	0.0000000221
1	166460517	169086323	1202	40	0.0000211957	0.0000000240
1	169086324	170557775	592	40	-0.0000092886	0.0000000151
1	170557776	173097906	973	40	0.0000184408	0.0000000246
1	173097907	175089767	448	33	0.0000669725	0.0000000100
1	175089768	177433380	869	40	-0.0001133982	0.0000000245
1	177433381	178944308	543	40	-0.0000036026	0.0000000165
1	178944309	178954469	2	1	-0.0000057473	0.0000000002
1	178954470	181144120	810	40	0.0000588156	0.0000000231
1	181144121	182755355	664	40	-0.0000314078	0.0000000254
1	182755356	184595512	673	40	0.0000464767	0.0000000207
1	184595513	186810022	580	40	-0.0000409771	0.0000000183
1	186810023	188759944	695	40	0.0000274945	0.0000000201
1	188759945	189904129	242	17	0.0000378237	0.0000000070
1	189904130	191868929	590	40	0.0000235119	0.0000000143
1	191868930	194107441	645	40	0.0000035351	0.0000000204
1	194107442	196176200	631	40	0.0000688732	0.0000000186
1	196176201	197311513	206	16	-0.0000449478	0.0000000066
1	197311514	199239883	549	40	-0.0000147784	0.0000000186
1	199239884	200137648	342	37	0.0000695642	0.0000000124
1	200137649	201589974	746	40	-0.0000778401	0.0000000235
1	201589975	203334733	652	40	-0.0000081501	0.0000000249
1	203334734	204681067	536	40	-0.0000965903	0.0000000226
1	204681068	206073264	601	40	-0.0001156871	0.0000000227
1	206073265	208410363	687	40	-0.0001497833	0.0000000228
1	208410364	210787749	1016	40	0.0000403813	0.0000000241
1	210787750	212842329	740	40	-0.0000574043	0.0000000284
1	212842330	214578265	648	40	-0.0000396520	0.0000000237
1	214578266	216243633	638	40	0.0000599620	0.0000000202
1	216243634	218705512	1150	40	-0.0000168488	0.0000000222
1	218705513	219590570	313	36	-0.0001564109	0.0000000092
1	219590571	221858230	749	40	-0.0000979145	0.0000000233
1	221858231	222230219	187	22	-0.0000076045	0.0000000078
1	222230220	224938519	632	40	0.0000871892	0.0000000244
1	224938520	226810859	555	40	0.0000765837	0.0000000199
1	226810860	229156247	790	40	0.0000641125	0.0000000238
1	229156248	230685254	599	40	0.0000070353	0.0000000227
1	230685255	232090251	628	40	0.0000695819	0.0000000223
1	232090252	233429283	649	40	-0.0000618893	0.0000000243
1	233429284	234599433	593	40	-0.0000138727	0.0000000211
1	234599434	235819435	416	40	0.0001332955	0.0000000203
1	235819436	237555627	784	40	-0.0000934224	0.0000000240
1	237555628	238567806	460	40	0.0000754312	0.0000000211
1	238567807	239925313	529	40	0.0000513787	0.0000000204
1	239925314	240564090	376	40	-0.0000344168	0.0000000132
1	240564091	241582219	553	40	-0.0000095125	0.0000000237
1	241582220	242071601	234	40	0.0000495203	0.0000000109
1	242071602	244109498	671	40	0.0000558328	0.0000000259
1	244109499	245506745	553	40	0.0001103393	0.0000000232
1	245506746	247344517	789	40	-0.0000501809	0.0000000245
1	247344518	249239465	429	40	0.0000753243	0.0000000175
2	10133	1781021	710	40	-0.0000385757	0.0000000237
2	1781022	3973778	1026	40	-0.0000769702	0.0000000246
2	3973779	5708336	658	40	-0.0000583965	0.0000000230
2	5708337	6836253	596	40	-0.0000285011	0.0000000208
2	6836254	8422146	673	40	-0.0001112184	0.0000000233
2	8422147	10298468	723	40	0.0000509551	0.0000000242
2	10298469	12419149	1032	40	0.0000867461	0.0000000264
2	12419150	14335307	624	40	-0.0000108209	0.0000000226
2	14335308	16329734	765	40	0.0000230400	0.0000000238
2	16329735	18647422	897	40	0.0000279834	0.0000000239
2	18647423	19692403	395	40	0.0000124907	0.0000000129
2	19692404	21050489	663	40	0.0000016975	0.0000000230
2	21050490	23341382	637	40	-0.0000459398	0.0000000234
2	23341383	24686917	456	40	-0.0000188213	0.0000000154
2	24686918	26894984	582	40	-0.0000219072	0.0000000186
2	26894985	28598776	423	33	-0.0000181410	0.0000000119
2	28598777	29217558	254	33	-0.0000415084	0.0000000106
2	29217559	30463710	649	40	0.0000133072	0.0000000241
2	30463711	31550449	553	40	-0.0000586941	0.0000000210
2	31550450	33363776	519	40	-0.0000606328	0.0000000209
2	33363777	35345027	846	40	-0.0000108246	0.0000000228
2	35345028	36122005	304	31	0.0000312534	0.0000000107
2	36122006	38132711	966	40	0.0000526208	0.0000000220
2	38132712	39031336	343	40	0.0000583155	0.0000000145
2	39031337	40281482	317	32	0.0000533332	0.0000000121
2	40281483	43309589	1361	40	0.0001414692	0.0000000232
2	43309590	44313802	414	40	-0.0000162152	0.0000000160
2	44313803	46482633	1121	40	0.0000077035	0.0000000234
2	46482634	47318771	434	40	-0.0000278591	0.0000000197
2	47318772	48213000	312	40	0.0000273201	0.0000000153
2	48213001	50022256	741	40	-0.0001159585	0.0000000250
2	50022257	50818927	352	34	-0.0000694091	0.0000000129
2	50818928	52491132	668	40	0.0000086443	0.0000000275
2	52491133	53508451	490	40	0.0000777441	0.0000000189
2	53508452	54685225	454	40	-0.0000727244	0.0000000172
2	54685226	56203344	632	40	-0.0000007022	0.0000000225
2	56203345	57429099	444	40	-0.0000809981	0.0000000181
2	57429100	58297314	283	29	0.0000381646	0.0000000121
2	58297315	60291999	768	40	0.0001135825	0.0000000252
2	60292000	62429043	610	40	-0.0001915068	0.0000000269
2	62429044	64625912	602	40	-0.0001763701	0.0000000222
2	64625913	65933443	475	40	0.0000458191	0.0000000214
2	65933444	67226165	561	40	0.0000608667	0.0000000184
2	67226166	68010175	433	40	0.0000832133	0.0000000149
2	68010176	69139563	499	40	-0.0000453749	0.0000000165
2	69139564	70755197	554	40	0.0000598103	0.0000000178
2	70755198	73174847	829	40	-0.0000623201	0.0000000234
2	73174848	75630085	762	40	0.0000263366	0.0000000240
2	75630086	76913660	533	40	0.0000025433	0.0000000188
2	76913661	78079263	407	40	0.0000164977	0.0000000183
2	78079264	80050402	860	40	-0.0000310942	0.0000000218
2	80050403	81620840	595	40	-0.0000204211	0.0000000226
2	81620841	85140679	925	40	0.0000708214	0.0000000206
2	85140680	88038506	654	40	0.0000535563	0.0000000193
2	88038507	89154525	251	31	-0.0000534242	0.0000000072
2	89154526	95326451	4	2	0.0000069358	0.0000000001
2	95326452	98995200	442	40	0.0000921169	0.0000000153
2	98995201	101822328	929	40	0.0000136554	0.0000000284
2	101822329	102688764	270	30	0.0000775279	0.0000000102
2	102688765	103588214	418	37	0.0000159746	0.0000000099
2	103588215	105125033	317	40	-0.0000671147	0.0000000126
2	105125034	106210057	420	40	-0.0000294401	0.0000000160
2	106210058	107408266	466	40	0.0000056379	0.0000000150
2	107408267	108429176	368	40	0.0000264103	0.0000000107
2	108429177	110572431	550	40	0.0001636925	0.0000000171
2	110572432	113921855	835	40	0.0000826810	0.0000000219
2	113921856	116772469	790	40	0.0000886823	0.0000000217
2	116772470	118367465	421	39	0.0001302297	0.0000000118
2	118367466	121303782	1032	40	-0.0000547454	0.0000000238
2	121303783	123302905	612	40	-0.0000052686	0.0000000221
2	123302906	124732249	447	40	-0.0000224957	0.0000000133
2	124732250	125840920	401	40	0.0000000214	0.0000000140
2	125840921	127373763	430	38	0.0000116008	0.0000000124
2	127373764	128034346	277	40	0.0000539335	0.0000000099
2	128034347	129474440	451	40	0.0000239689	0.0000000151
2	129474441	130067169	239	27	0.0000235451	0.0000000078
2	130067170	130658084	217	26	0.0000480513	0.0000000077
2	130658085	133042783	235	36	-0.0000169741	0.0000000088
2	133042784	135158577	944	40	0.0000245831	0.0000000219
2	135158578	137042793	466	40	-0.0000245271	0.0000000144
2	137042794	138698116	628	40	-0.0000301738	0.0000000204
2	138698117	140100270	452	40	0.0000206578	0.0000000127
2	140100271	141805350	596	40	-0.0000752901	0.0000000198
2	141805351	142518601	310	34	0.0000193555	0.0000000150
2	142518602	144519483	678	40	-0.0001642425	0.0000000248
2	144519484	146445569	460	40	0.0000563917	0.0000000184
2	146445570	147277161	160	16	-0.0000036588	0.0000000061
2	147277162	150210291	686	40	0.0000084443	0.0000000198
2	150210292	151731461	489	40	0.0001429429	0.0000000193
2	151731462	152486781	293	30	-0.0000705589	0.0000000098
2	152486782	154005055	517	40	0.0000008789	0.0000000181
2	154005056	155391134	508	40	0.0000070731	0.0000000196
2	155391135	157560634	577	40	-0.0000172739	0.0000000224
2	157560635	158533217	174	26	0.0001540027	0.0000000084
2	158533218	159577081	349	40	-0.0001069176	0.0000000133
2	159577082	161769732	747	40	-0.0000739238	0.0000000232
2	161769733	163503550	409	37	-0.0001619767	0.0000000159
2	163503551	164466637	205	24	-0.0000015913	0.0000000077
2	164466638	165178839	183	21	0.0000205238	0.0000000075
2	165178840	167160269	663	40	0.0001096088	0.0000000198
2	167160270	167355969	75	10	0.0000054712	0.0000000028
2	167355970	169968235	880	40	-0.0000642053	0.0000000249
2	169968236	171226244	511	40	0.0000707540	0.0000000178
2	171226245	173138904	604	40	-0.0000260944	0.0000000226
2	173138905	175588928	870	40	-0.0000438612	0.0000000238
2	175588929	177363635	559	40	-0.0000340412	0.0000000189
2	177363636	178553182	478	40	0.0000200524	0.0000000136
2	178553183	181312738	1032	40	0.0000307853	0.0000000247
2	181312739	182266030	315	33	0.0000639756	0.0000000094
2	182266031	184357607	644	40	0.0000189366	0.0000000241
2	184357608	185280172	245	27	-0.0000729259	0.0000000087
2	185280173	189882064	1004	40	-0.0001910557	0.0000000253
2	189882065	191973356	518	40	-0.0000097844	0.0000000169
2	191973357	195861163	738	40	-0.0000416233	0.0000000240
2	195861164	196447455	161	20	0.0000123530	0.0000000056
2	196447456	198078109	459	40	0.0000660383	0.0000000144
2	198078110	199311124	322	27	0.0000497240	0.0000000097
2	199311125	201576283	654	40	0.0000082831	0.0000000232
2	201576284	202818636	329	40	-0.0000695060	0.0000000116
2	202818637	205799240	779	40	-0.0000774513	0.0000000247
2	205799241	206735703	421	40	-0.0000172661	0.0000000186
2	206735704	208645398	684	40	-0.0001461966	0.0000000236
2	208645399	209941528	352	40	-0.0000245537	0.0000000122
2	209941529	212379517	767	40	0.0000627869	0.0000000224
2	212379518	214014281	650	40	0.0000814091	0.0000000251
2	214014282	215573794	458	40	-0.0000876838	0.0000000177
2	215573795	217715660	845	40	-0.0000671489	0.0000000238
2	217715661	218395479	292	38	0.0000429111	0.0000000107
2	218395480	220454550	617	40	-0.0000283540	0.0000000208
2	220454551	222521175	891	40	-0.0000354208	0.0000000240
2	222521176	224859418	819	40	0.0000318621	0.0000000250
2	224859419	225840003	373	37	0.0000810610	0.0000000121
2	225840004	228119841	761	40	-0.0002088845	0.0000000242
2	228119842	229370786	470	40	-0.0000917335	0.0000000172
2	229370787	231843388	978	40	-0.0000246585	0.0000000229
