chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	118	16	-0.0001048444	0.0000000324
1	1892607	3582735	472	16	-0.0002029553	0.0000001283
1	3582736	4380810	295	16	0.0002048134	0.0000000738
1	4380811	5913892	916	16	-0.0000273029	0.0000001113
1	5913893	7247334	450	16	0.0000586950	0.0000000765
1	7247335	9365198	741	16	-0.0000049457	0.0000001154
1	9365199	10806983	374	16	0.0000263411	0.0000000657
1	10806984	11777840	283	16	-0.0001555044	0.0000000650
1	11777841	12779465	307	16	-0.0000271951	0.0000000705
1	12779466	14891510	646	16	-0.0000853444	0.0000001141
1	14891511	16897729	749	16	0.0000860372	0.0000001269
1	16897730	18662898	699	16	0.0000715172	0.0000001199
1	18662899	20469148	778	16	0.0000346016	0.0000001290
1	20469149	21736587	479	16	0.0001242269	0.0000000856
1	21736588	23086882	546	16	0.0000029786	0.0000001035
1	23086883	23920589	237	16	-0.0000100610	0.0000000365
1	23920590	25516844	549	16	0.0001065539	0.0000001097
1	25516845	27401866	434	16	0.0000012539	0.0000000596
1	27401867	30161880	578	16	-0.0000972394	0.0000000885
1	30161881	32438684	985	16	-0.0001510287	0.0000001080
1	32438685	34799757	716	16	0.0000434292	0.0000001103
1	34799758	37549182	608	16	0.0000184820	0.0000001091
1	37549183	38731846	394	16	-0.0000581277	0.0000000660
1	38731847	40200566	462	16	0.0002314642	0.0000000858
1	40200567	41975326	573	16	0.0000216163	0.0000000876
1	41975327	43758456	592	16	0.0000922053	0.0000000908
1	43758457	44969182	390	16	0.0001602694	0.0000000556
1	44969183	46899500	478	16	-0.0000329479	0.0000000582
1	46899501	48002575	318	16	-0.0000865961	0.0000000415
1	48002576	48978187	360	16	0.0000342902	0.0000000550
1	48978188	49894176	253	16	-0.0001269114	0.0000000400
1	49894177	51713725	265	16	-0.0001431840	0.0000000278
1	51713726	54226261	583	16	-0.0000317737	0.0000000953
1	54226262	56413116	893	16	0.0000025332	0.0000001133
1	56413117	57021727	287	16	-0.0000578023	0.0000000458
1	57021728	58865398	910	16	-0.0001596114	0.0000001121
1	58865399	59890408	412	16	0.0000252558	0.0000000609
1	59890409	61922364	704	16	-0.0000415670	0.0000001096
1	61922365	63455088	581	16	-0.0000415782	0.0000001045
1	63455089	65041703	698	16	-0.0000449739	0.0000000952
1	65041704	66939403	671	16	0.0000658335	0.0000000895
1	66939404	68477894	719	16	-0.0001691092	0.0000000895
1	68477895	69687615	400	16	-0.0001030048	0.0000000619
1	69687616	71372469	559	16	0.0000021830	0.0000000904
1	71372470	71684404	87	10	0.0001117753	0.0000000113
1	71684405	74326906	585	16	0.0000526977	0.0000000681
1	74326907	76728134	759	16	0.0000443579	0.0000000897
1	76728135	79661197	992	16	-0.0002376339	0.0000001098
1	79661198	81354190	500	16	-0.0001213169	0.0000000747
1	81354191	83991747	1022	16	0.0001142222	0.0000001153
1	83991748	84844494	330	16	0.0000505388	0.0000000433
1	84844495	86454750	681	16	-0.0000223876	0.0000001027
1	86454751	88128630	611	16	0.0000351170	0.0000000979
1	88128631	90066302	553	16	-0.0001245706	0.0000000837
1	90066303	91886316	591	16	0.0001296556	0.0000000966
1	91886317	93536458	538	16	0.0000646470	0.0000000703
1	93536459	94506190	268	16	-0.0001215510	0.0000000318
1	94506191	96150892	696	16	-0.0000051396	0.0000001126
1	96150893	97885248	637	16	-0.0000899996	0.0000000841
1	97885249	99800603	670	16	-0.0000935668	0.0000000952
1	99800604	100826404	348	16	-0.0000889271	0.0000000408
1	100826405	102041015	473	16	0.0001664401	0.0000000648
1	102041016	102898744	292	16	-0.0001480808	0.0000000543
1	102898745	103914210	213	16	-0.0001195449	0.0000000330
1	103914211	106087841	481	16	-0.0001580836	0.0000000747
1	106087842	108409664	770	16	-0.0000099646	0.0000001123
1	108409665	110303930	598	16	-0.0000718069	0.0000001072
1	110303931	111741736	615	16	-0.0000662393	0.0000001189
1	111741737	113273305	757	16	0.0000806565	0.0000001106
1	113273306	114873844	539	16	-0.0001078470	0.0000000838
1	114873845	115880592	357	16	-0.0000637452	0.0000000432
1	115880593	118839066	916	16	-0.0000286232	0.0000001186
1	118839067	144977493	605	16	0.0000631918	0.0000000887
1	144977494	148361252	465	16	-0.0000939874	0.0000000616
1	148361253	151538880	363	16	0.0000907554	0.0000000480
1	151538881	153180828	521	16	-0.0000314744	0.0000000623
1	153180829	154770402	492	16	-0.0001212117	0.0000000769
1	154770403	156336132	322	16	0.0000287251	0.0000000584
1	156336133	158027411	643	16	-0.0000390172	0.0000001136
1	158027412	159913047	741	16	0.0000650159	0.0000001367
1	159913048	162346720	943	16	-0.0000002339	0.0000001248
1	162346721	165191701	1278	16	0.0000205338	0.0000001091
1	165191702	166460516	581	16	0.0000220284	0.0000001023
1	166460517	169086323	1205	16	-0.0000573109	0.0000001175
1	169086324	170557775	592	16	0.0000749361	0.0000000668
1	170557776	173097906	978	16	0.0000292059	0.0000001197
1	173097907	175089767	448	16	-0.0000434237	0.0000000407
1	175089768	177433380	870	16	-0.0001307263	0.0000001134
1	177433381	178944308	544	16	0.0000216783	0.0000000723
1	178944309	178954469	2	1	0.0000263367	0.0000000024
1	178954470	181144120	811	16	0.0001547878	0.0000001081
1	181144121	182755355	667	16	0.0000488967	0.0000001122
