chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	88	15	0.0000182345	0.0000000076
1	1892607	3582735	422	40	0.0002237380	0.0000000401
1	3582736	4380810	260	40	0.0000792698	0.0000000195
1	4380811	5913892	851	40	0.0000717219	0.0000000428
1	5913893	7247334	422	40	-0.0003055482	0.0000000323
1	7247335	9365198	694	40	-0.0001619756	0.0000000437
1	9365199	10806983	344	40	0.0000499295	0.0000000257
1	10806984	11777840	250	40	-0.0001140482	0.0000000256
1	11777841	12779465	274	40	0.0002103611	0.0000000252
1	12779466	14891510	612	40	0.0001076518	0.0000000426
1	14891511	16897729	677	40	-0.0000819132	0.0000000440
1	16897730	18662898	655	40	-0.0001021338	0.0000000412
1	18662899	20469148	696	40	-0.0000119149	0.0000000436
1	20469149	21736587	457	40	-0.0001266055	0.0000000333
1	21736588	23086882	519	40	-0.0000528783	0.0000000431
1	23086883	23920589	219	28	-0.0000476834	0.0000000199
1	23920590	25516844	516	40	-0.0000501760	0.0000000412
1	25516845	27401866	411	40	0.0000062521	0.0000000267
1	27401867	30161880	544	40	-0.0000822562	0.0000000316
1	30161881	32438684	921	40	0.0000456313	0.0000000415
1	32438685	34799757	669	40	-0.0000793711	0.0000000456
1	34799758	37549182	542	40	-0.0000586613	0.0000000419
1	37549183	38731846	359	40	-0.0000977579	0.0000000260
1	38731847	40200566	445	40	0.0001196335	0.0000000503
1	40200567	41975326	549	40	-0.0001529765	0.0000000345
1	41975327	43758456	538	40	0.0000019580	0.0000000346
1	43758457	44969182	366	35	0.0000532545	0.0000000227
1	44969183	46899500	455	38	0.0002308108	0.0000000354
1	46899501	48002575	291	33	0.0001061185	0.0000000208
1	48002576	48978187	342	40	-0.0000463309	0.0000000259
1	48978188	49894176	246	28	0.0001204201	0.0000000159
1	49894177	51713725	255	25	-0.0000054732	0.0000000124
1	51713726	54226261	559	40	0.0001454825	0.0000000383
1	54226262	56413116	828	40	-0.0000934312	0.0000000443
1	56413117	57021727	270	31	-0.0001638626	0.0000000216
1	57021728	58865398	842	40	-0.0000163148	0.0000000436
1	58865399	59890408	383	40	-0.0000860542	0.0000000249
1	59890409	61922364	666	40	0.0002516176	0.0000000458
1	61922365	63455088	528	40	0.0000289881	0.0000000345
1	63455089	65041703	655	40	-0.0000429941	0.0000000377
1	65041704	66939403	637	40	0.0001041940	0.0000000449
1	66939404	68477894	677	40	0.0000122564	0.0000000380
1	68477895	69687615	370	40	0.0000501421	0.0000000291
1	69687616	71372469	511	40	0.0000919406	0.0000000318
1	71372470	71684404	82	10	0.0000285554	0.0000000040
1	71684405	74326906	556	40	0.0001613894	0.0000000285
1	74326907	76728134	711	40	-0.0000236472	0.0000000391
1	76728135	79661197	939	40	-0.0001196311	0.0000000441
1	79661198	81354190	468	40	0.0000095966	0.0000000285
