chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	107	21	0.0000297160	0.0000000020
1	1892607	3582735	432	40	0.0000175591	0.0000000058
1	3582736	4380810	268	40	-0.0000147245	0.0000000039
1	4380811	5913892	846	40	-0.0001051023	0.0000000080
1	5913893	7247334	421	40	0.0000563739	0.0000000063
1	7247335	9365198	680	40	-0.0000450994	0.0000000083
1	9365199	10806983	345	40	-0.0000484708	0.0000000049
1	10806984	11777840	250	40	-0.0000297101	0.0000000039
1	11777841	12779465	277	40	0.0000092308	0.0000000038
1	12779466	14891510	602	40	-0.0000027821	0.0000000074
1	14891511	16897729	657	40	0.0000833662	0.0000000081
1	16897730	18662898	642	40	0.0000561154	0.0000000076
1	18662899	20469148	702	40	0.0000197786	0.0000000077
1	20469149	21736587	445	40	0.0000325208	0.0000000053
1	21736588	23086882	502	40	0.0001259930	0.0000000096
1	23086883	23920589	219	28	-0.0000051407	0.0000000028
1	23920590	25516844	510	40	0.0000022895	0.0000000062
1	25516845	27401866	403	40	-0.0000213536	0.0000000057
1	27401867	30161880	536	40	0.0000235097	0.0000000067
1	30161881	32438684	893	40	0.0000970769	0.0000000077
1	32438685	34799757	659	40	0.0000201480	0.0000000077
1	34799758	37549182	548	40	-0.0000325621	0.0000000065
1	37549183	38731846	364	40	0.0000387772	0.0000000047
1	38731847	40200566	436	40	0.0000633647	0.0000000059
1	40200567	41975326	539	40	-0.0001300469	0.0000000068
1	41975327	43758456	521	40	0.0000214103	0.0000000068
1	43758457	44969182	359	35	-0.0000757340	0.0000000043
1	44969183	46899500	446	38	-0.0000847678	0.0000000044
1	46899501	48002575	290	33	0.0000314780	0.0000000029
1	48002576	48978187	331	40	0.0000867366	0.0000000048
1	48978188	49894176	243	28	-0.0000808621	0.0000000032
1	49894177	51713725	254	25	-0.0000009159	0.0000000024
1	51713726	54226261	553	40	0.0000161756	0.0000000065
1	54226262	56413116	813	40	0.0000134658	0.0000000079
1	56413117	57021727	260	30	-0.0000678625	0.0000000036
1	57021728	58865398	829	40	-0.0000118246	0.0000000075
1	58865399	59890408	370	40	-0.0000362995	0.0000000049
1	59890409	61922364	657	40	-0.0001278643	0.0000000089
1	61922365	63455088	517	40	0.0000125908	0.0000000062
1	63455089	65041703	636	40	-0.0000892335	0.0000000063
1	65041704	66939403	636	40	0.0000282107	0.0000000078
1	66939404	68477894	671	40	0.0000080645	0.0000000078
1	68477895	69687615	375	40	0.0000335954	0.0000000051
1	69687616	71372469	507	40	0.0000914215	0.0000000063
1	71372470	71684404	82	10	0.0000184094	0.0000000007
1	71684405	74326906	545	40	-0.0000395108	0.0000000050
1	74326907	76728134	714	40	-0.0000525789	0.0000000069
1	76728135	79661197	925	40	-0.0000458206	0.0000000077
1	79661198	81354190	453	40	-0.0000213672	0.0000000053
1	81354191	83991747	945	40	-0.0000011297	0.0000000074
1	83991748	84844494	306	35	0.0000529663	0.0000000041
1	84844495	86454750	634	40	-0.0000027811	0.0000000070
1	86454751	88128630	555	40	-0.0000233223	0.0000000064
1	88128631	90066302	509	40	0.0000417172	0.0000000058
1	90066303	91886316	549	40	0.0000178782	0.0000000064
1	91886317	93536458	494	40	0.0000856268	0.0000000058
1	93536459	94506190	253	26	0.0000422299	0.0000000024
1	94506191	96150892	632	40	-0.0000500499	0.0000000075
1	96150893	97885248	590	40	0.0000619484	0.0000000062
1	97885249	99800603	627	40	0.0000220349	0.0000000066
1	99800604	100826404	331	36	-0.0000292337	0.0000000040
1	100826405	102041015	439	40	-0.0000276731	0.0000000049
1	102041016	102898744	274	37	-0.0000139884	0.0000000036
1	102898745	103914210	198	21	0.0000024510	0.0000000022
1	103914211	106087841	444	40	0.0000017134	0.0000000046
1	106087842	108409664	720	40	0.0000319208	0.0000000082
1	108409665	110303930	558	40	-0.0000242804	0.0000000060
1	110303931	111741736	558	40	0.0000128423	0.0000000076
1	111741737	113273305	704	40	0.0000209797	0.0000000074
1	113273306	114873844	503	40	-0.0000440259	0.0000000060
1	114873845	115880592	339	36	-0.0000071643	0.0000000040
1	115880593	118839066	827	40	-0.0000483108	0.0000000079
1	118839067	144977493	552	40	-0.0000145767	0.0000000075
1	144977494	148361252	426	40	-0.0000327942	0.0000000056
1	148361253	151538880	349	34	-0.0000652365	0.0000000041
1	151538881	153180828	463	40	0.0000025166	0.0000000048
1	153180829	154770402	446	40	0.0001076664	0.0000000057
1	154770403	156336132	302	38	0.0000345930	0.0000000065
1	156336133	158027411	598	40	-0.0000235044	0.0000000075
1	158027412	159913047	661	40	0.0000202299	0.0000000081
1	159913048	162346720	859	40	-0.0000217675	0.0000000086
1	162346721	165191701	1179	40	0.0000636473	0.0000000079
1	165191702	166460516	520	40	-0.0000275119	0.0000000065
1	166460517	169086323	1084	40	-0.0000076823	0.0000000083
1	169086324	170557775	552	40	-0.0000407187	0.0000000055
1	170557776	173097906	875	40	0.0000111453	0.0000000080
1	173097907	175089767	405	32	-0.0000135339	0.0000000030
1	175089768	177433380	764	40	0.0000874804	0.0000000083
1	177433381	178944308	475	40	-0.0000166155	0.0000000057
1	178944309	178954469	2	1	0.0000069883	0.0000000001
1	178954470	181144120	730	40	-0.0000180343	0.0000000072
1	181144121	182755355	584	40	-0.0000162789	0.0000000070
1	182755356	184595512	610	40	0.0000013435	0.0000000065
1	184595513	186810022	511	40	0.0000324446	0.0000000059
1	186810023	188759944	604	40	-0.0000458667	0.0000000068
1	188759945	189904129	211	17	-0.0000164923	0.0000000017
1	189904130	191868929	530	40	0.0000203146	0.0000000050
1	191868930	194107441	559	40	-0.0000052008	0.0000000064
1	194107442	196176200	561	40	0.0000106976	0.0000000057
1	196176201	197311513	189	16	0.0000046008	0.0000000016
1	197311514	199239883	492	40	0.0000301683	0.0000000061
1	199239884	200137648	296	35	0.0000178217	0.0000000036
1	200137649	201589974	688	40	0.0000148886	0.0000000080
1	201589975	203334733	598	40	-0.0000394966	0.0000000082
1	203334734	204681067	476	40	-0.0000575163	0.0000000060
1	204681068	206073264	565	40	0.0000121239	0.0000000068
1	206073265	208410363	608	40	-0.0000329298	0.0000000082
1	208410364	210787749	900	40	0.0001302332	0.0000000087
1	210787750	212842329	680	40	0.0000219486	0.0000000093
1	212842330	214578265	604	40	-0.0000547815	0.0000000081
1	214578266	216243633	580	40	-0.0000624591	0.0000000083
1	216243634	218705512	1064	40	0.0000027765	0.0000000072
1	218705513	219590570	274	33	-0.0000082680	0.0000000029
1	219590571	221858230	676	40	-0.0000192745	0.0000000078
1	221858231	222230219	170	21	0.0000312665	0.0000000023
1	222230220	224938519	450	40	-0.0000442415	0.0000000055
1	224938520	226810859	501	40	0.0000518327	0.0000000061
1	226810860	229156247	681	40	-0.0000487928	0.0000000077
1	229156248	230685254	521	40	0.0000002337	0.0000000060
1	230685255	232090251	579	40	-0.0000287232	0.0000000069
1	232090252	233429283	594	40	-0.0000688915	0.0000000078
1	233429284	234599433	520	40	-0.0000128175	0.0000000065
1	234599434	235819435	378	40	-0.0000005148	0.0000000058
1	235819436	237555627	715	40	0.0000177753	0.0000000080
1	237555628	238567806	421	40	-0.0000039236	0.0000000057
1	238567807	239925313	482	40	-0.0000744231	0.0000000064
1	239925314	240564090	329	40	0.0000096162	0.0000000045
1	240564091	241582219	512	40	-0.0000386126	0.0000000064
1	241582220	242071601	217	39	0.0000221700	0.0000000039
1	242071602	244109498	609	40	-0.0000201587	0.0000000080
1	244109499	245506745	510	40	0.0000000323	0.0000000063
1	245506746	247344517	688	40	0.0000144988	0.0000000076
1	247344518	249239465	381	40	0.0000703237	0.0000000058
2	10133	1781021	664	40	-0.0000701310	0.0000000079
2	1781022	3973778	968	40	0.0000248794	0.0000000081
2	3973779	5708336	635	40	0.0000703001	0.0000000080
2	5708337	6836253	567	40	-0.0000779965	0.0000000071
2	6836254	8422146	657	40	-0.0000616371	0.0000000082
2	8422147	10298468	675	40	-0.0000011035	0.0000000088
2	10298469	12419149	974	40	-0.0000493094	0.0000000076
2	12419150	14335307	596	40	-0.0000694521	0.0000000066
2	14335308	16329734	747	40	0.0000192483	0.0000000077
2	16329735	18647422	860	40	-0.0000403235	0.0000000077
2	18647423	19692403	384	40	0.0000276243	0.0000000051
2	19692404	21050489	640	40	0.0000121778	0.0000000077
2	21050490	23341382	624	40	0.0000876083	0.0000000079
2	23341383	24686917	441	40	0.0000491754	0.0000000073
2	24686918	26894984	560	40	-0.0000066851	0.0000000072
2	26894985	28598776	416	33	0.0000140467	0.0000000042
2	28598777	29217558	249	33	-0.0000424741	0.0000000028
2	29217559	30463710	636	40	0.0000368042	0.0000000076
2	30463711	31550449	531	40	0.0000738242	0.0000000076
2	31550450	33363776	494	40	0.0000217111	0.0000000066
2	33363777	35345027	805	40	-0.0000339293	0.0000000079
2	35345028	36122005	290	30	0.0000099782	0.0000000034
2	36122006	38132711	925	40	0.0000030010	0.0000000080
2	38132712	39031336	326	38	0.0000049482	0.0000000048
2	39031337	40281482	303	32	0.0000578152	0.0000000040
2	40281483	43309589	1307	40	0.0000111902	0.0000000083
2	43309590	44313802	400	40	-0.0000575155	0.0000000062
2	44313803	46482633	1066	40	0.0000163607	0.0000000081
2	46482634	47318771	416	40	0.0000399149	0.0000000089
2	47318772	48213000	300	40	0.0000377630	0.0000000046
2	48213001	50022256	713	40	0.0000295459	0.0000000086
2	50022257	50818927	345	34	-0.0000178757	0.0000000044
2	50818928	52491132	647	40	0.0000699676	0.0000000083
2	52491133	53508451	464	40	-0.0000447654	0.0000000059
2	53508452	54685225	433	40	-0.0000777699	0.0000000060
2	54685226	56203344	613	40	0.0000067535	0.0000000077
2	56203345	57429099	428	40	0.0000203774	0.0000000061
2	57429100	58297314	272	29	-0.0000651158	0.0000000043
2	58297315	60291999	738	40	0.0000431357	0.0000000088
2	60292000	62429043	586	40	0.0000599736	0.0000000087
2	62429044	64625912	583	40	0.0000601282	0.0000000072
2	64625913	65933443	465	40	0.0000030619	0.0000000064
2	65933444	67226165	554	40	-0.0000127565	0.0000000060
2	67226166	68010175	423	40	-0.0000457995	0.0000000048
2	68010176	69139563	469	40	0.0000601128	0.0000000059
2	69139564	70755197	534	40	0.0000510401	0.0000000065
2	70755198	73174847	799	40	0.0000341024	0.0000000074
2	73174848	75630085	723	40	-0.0000326549	0.0000000075
2	75630086	76913660	515	40	-0.0000078353	0.0000000061
2	76913661	78079263	395	40	-0.0000038033	0.0000000054
2	78079264	80050402	827	40	0.0000059123	0.0000000072
2	80050403	81620840	579	40	0.0000270120	0.0000000074
2	81620841	85140679	890	40	0.0000958545	0.0000000076
2	85140680	88038506	632	40	0.0000479868	0.0000000068
2	88038507	89154525	243	30	-0.0000629959	0.0000000037
2	89154526	95326451	4	2	-0.0000040296	0.0000000004
2	95326452	98995200	425	40	0.0000731362	0.0000000060
2	98995201	101822328	905	40	0.0001470244	0.0000000086
2	101822329	102688764	259	30	-0.0000708372	0.0000000032
2	102688765	103588214	406	36	-0.0000352863	0.0000000033
2	103588215	105125033	303	40	-0.0000235089	0.0000000038
2	105125034	106210057	412	40	0.0000508954	0.0000000051
2	106210058	107408266	442	40	0.0000049972	0.0000000044
2	107408267	108429176	355	40	0.0000441170	0.0000000044
2	108429177	110572431	526	40	0.0000134923	0.0000000064
2	110572432	113921855	798	40	-0.0000727348	0.0000000089
2	113921856	116772469	758	40	0.0000782804	0.0000000082
2	116772470	118367465	394	37	-0.0001050285	0.0000000049
2	118367466	121303782	991	40	-0.0000442571	0.0000000074
2	121303783	123302905	581	40	0.0000297039	0.0000000073
2	123302906	124732249	428	40	0.0000312832	0.0000000041
2	124732250	125840920	381	40	0.0000268830	0.0000000044
2	125840921	127373763	409	37	-0.0000486408	0.0000000037
2	127373764	128034346	259	40	0.0000226846	0.0000000035
2	128034347	129474440	433	40	0.0000096292	0.0000000052
2	129474441	130067169	221	26	-0.0000153069	0.0000000021
2	130067170	130658084	203	26	-0.0000323615	0.0000000024
2	130658085	133042783	214	36	0.0000193589	0.0000000029
2	133042784	135158577	914	40	0.0000144157	0.0000000077
2	135158578	137042793	456	40	-0.0000256115	0.0000000047
2	137042794	138698116	594	40	-0.0000524306	0.0000000064
2	138698117	140100270	438	40	-0.0000408273	0.0000000045
