chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	98	18	0.0000534695	0.000000026788
1	1892607	3582735	440	22	0.0001885048	0.000000115780
1	3582736	4380810	272	22	0.0001631934	0.000000065299
1	4380811	5913892	869	22	0.0000948775	0.000000125402
1	5913893	7247334	428	22	0.0002148939	0.000000091055
1	7247335	9365198	699	22	0.0002296748	0.000000132064
1	9365199	10806983	351	22	0.0002251874	0.000000069240
1	10806984	11777840	258	22	0.0001487669	0.000000060269
1	11777841	12779465	282	22	0.0002243024	0.000000061331
1	12779466	14891510	618	22	0.0001309148	0.000000127694
1	14891511	16897729	689	22	0.0001474878	0.000000129689
1	16897730	18662898	664	22	0.0000332339	0.000000124352
1	18662899	20469148	711	22	0.0000069723	0.000000123754
1	20469149	21736587	461	22	0.0000508017	0.000000087702
1	21736588	23086882	523	22	-0.0000399536	0.000000108363
1	23086883	23920589	222	22	0.0001553894	0.000000045055
1	23920590	25516844	521	22	0.0002280008	0.000000117702
1	25516845	27401866	413	22	0.0000558874	0.000000066701
1	27401867	30161880	552	22	-0.0000101772	0.000000095026
1	30161881	32438684	936	22	0.0001616456	0.000000127936
1	32438685	34799757	675	22	0.0001626736	0.000000130609
1	34799758	37549182	553	22	0.0002815894	0.000000113471
1	37549183	38731846	370	22	0.0001620406	0.000000072083
1	38731847	40200566	447	22	0.0000204320	0.000000081812
1	40200567	41975326	555	22	0.0000837935	0.000000096609
1	41975327	43758456	542	22	0.0004115704	0.000000102996
1	43758457	44969182	371	22	0.0002316912	0.000000067872
1	44969183	46899500	458	22	0.0000479366	0.000000059084
1	46899501	48002575	297	22	0.0001207369	0.000000051630
1	48002576	48978187	344	22	0.0000845978	0.000000066230
1	48978188	49894176	247	22	0.0002942545	0.000000056633
1	49894177	51713725	260	22	0.0002288977	0.000000042979
1	51713726	54226261	563	22	0.0000103494	0.000000101863
1	54226262	56413116	837	22	0.0000345470	0.000000119287
1	56413117	57021727	272	22	0.0002940246	0.000000050072
1	57021728	58865398	851	22	0.0002624539	0.000000132279
1	58865399	59890408	383	22	0.0001202969	0.000000067457
1	59890409	61922364	671	22	0.0000885691	0.000000123248
1	61922365	63455088	534	22	0.0002071837	0.000000096744
1	63455089	65041703	656	22	0.0000883995	0.000000105852
1	65041704	66939403	649	22	0.0003731930	0.000000120616
1	66939404	68477894	687	22	0.0001043248	0.000000106200
1	68477895	69687615	389	22	0.0001934389	0.000000076892
1	69687616	71372469	520	22	0.0000874766	0.000000091420
1	71372470	71684404	82	10	0.0000177392	0.000000011788
1	71684405	74326906	559	22	0.0005238258	0.000000090275
1	74326907	76728134	727	22	0.0001285134	0.000000102916
1	76728135	79661197	947	22	0.0003912906	0.000000135611
1	79661198	81354190	475	22	0.0001001828	0.000000083329
1	81354191	83991747	973	22	0.0001209685	0.000000123409
1	83991748	84844494	314	22	0.0002538412	0.000000056720
1	84844495	86454750	652	22	0.0000689132	0.000000114524
1	86454751	88128630	572	22	0.0001558292	0.000000108245
1	88128631	90066302	523	22	0.0000582995	0.000000087655
1	90066303	91886316	562	22	0.0001546816	0.000000101664
1	91886317	93536458	509	22	0.0001927571	0.000000080431
1	93536459	94506190	255	22	0.0001587650	0.000000042566
1	94506191	96150892	651	22	0.0000150763	0.000000112450
1	96150893	97885248	606	22	0.0003084482	0.000000097503
1	97885249	99800603	640	22	0.0000864167	0.000000102840
1	99800604	100826404	339	22	0.0001785093	0.000000055561
1	100826405	102041015	447	22	0.0001718306	0.000000078723
1	102041016	102898744	280	22	0.0001006551	0.000000050546
1	102898745	103914210	200	21	0.0000400447	0.000000030306
1	103914211	106087841	455	22	0.0000643318	0.000000079501
1	106087842	108409664	726	22	0.0001412695	0.000000124845
1	108409665	110303930	565	22	0.0003406346	0.000000094166
1	110303931	111741736	571	22	0.0000981925	0.000000116008
1	111741737	113273305	721	22	0.0003398286	0.000000134058
1	113273306	114873844	511	22	0.0000523051	0.000000093937
1	114873845	115880592	345	22	0.0001328141	0.000000056493
1	115880593	118839066	837	22	0.0000708395	0.000000123054
1	118839067	144977493	567	22	0.0001471793	0.000000084778
1	144977494	148361252	432	22	0.0001542143	0.000000077719
1	148361253	151538880	349	22	0.0000948036	0.000000056280
1	151538881	153180828	468	22	-0.0000637109	0.000000063801
1	153180829	154770402	457	22	0.0000239975	0.000000076418
1	154770403	156336132	307	22	0.0003521462	0.000000070003
1	156336133	158027411	598	22	0.0001221740	0.000000113864
1	158027412	159913047	686	22	0.0000333261	0.000000122647
1	159913048	162346720	874	22	0.0000573388	0.000000109709
1	162346721	165191701	1202	22	-0.0000358296	0.000000118335
1	165191702	166460516	533	22	-0.0000423660	0.000000101382
1	166460517	169086323	1107	22	0.0000256778	0.000000124535
1	169086324	170557775	559	22	0.0003404013	0.000000089035
1	170557776	173097906	903	22	0.0000721903	0.000000117503
1	173097907	175089767	412	22	0.0001310247	0.000000050273
1	175089768	177433380	784	22	0.0002505736	0.000000130948
1	177433381	178944308	492	22	0.0002730457	0.000000080048
1	178944309	178954469	2	1	0.0000387636	0.000000002575
1	178954470	181144120	751	22	0.0002081940	0.000000127679
1	181144121	182755355	600	22	0.0000853570	0.000000114141
