chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	76	14	0.0001156374	0.000000045012
1	1892607	3582735	368	14	-0.0000177784	0.000000212405
1	3582736	4380810	236	14	0.0003679831	0.000000154993
1	4380811	5913892	847	14	-0.0000422561	0.000000336715
1	5913893	7247334	357	14	0.0000274592	0.000000188041
1	7247335	9365198	637	14	0.0002036838	0.000000353651
1	9365199	10806983	296	14	-0.0000172580	0.000000138726
1	10806984	11777840	219	14	0.0000312669	0.000000119652
1	11777841	12779465	186	14	0.0000035492	0.000000104842
1	12779466	14891510	570	14	0.0000966587	0.000000335293
1	14891511	16897729	590	14	0.0000567659	0.000000312379
1	16897730	18662898	564	14	0.0001532591	0.000000322868
1	18662899	20469148	618	14	-0.0000651523	0.000000335138
1	20469149	21736587	394	14	0.0002140942	0.000000214787
1	21736588	23086882	445	14	0.0001966531	0.000000264013
1	23086883	23920589	181	14	0.0001158285	0.000000099706
1	23920590	25516844	443	14	-0.0000021755	0.000000251125
1	25516845	27401866	307	14	-0.0000579280	0.000000139959
1	27401867	30161880	483	14	0.0001251492	0.000000237968
1	30161881	32438684	868	14	0.0002400593	0.000000356156
1	32438685	34799757	607	14	0.0001252335	0.000000330242
1	34799758	37549182	507	14	0.0001193289	0.000000266093
1	37549183	38731846	320	14	-0.0000050403	0.000000162437
1	38731847	40200566	391	14	0.0002556561	0.000000219742
1	40200567	41975326	497	14	0.0003531311	0.000000256467
1	41975327	43758456	476	14	0.0002408637	0.000000232229
1	43758457	44969182	303	14	0.0002242420	0.000000151172
1	44969183	46899500	370	14	0.0001597811	0.000000145460
1	46899501	48002575	256	14	0.0001857853	0.000000124956
1	48002576	48978187	330	14	0.0000663411	0.000000172760
1	48978188	49894176	230	14	-0.0000314634	0.000000110846
1	49894177	51713725	245	14	0.0005866806	0.000000122798
1	51713726	54226261	491	14	0.0000147982	0.000000255972
1	54226262	56413116	736	14	0.0004383237	0.000000369810
1	56413117	57021727	246	14	0.0001143822	0.000000114939
1	57021728	58865398	821	14	0.0000136093	0.000000340562
1	58865399	59890408	354	14	0.0004351766	0.000000194484
1	59890409	61922364	631	14	-0.0000750102	0.000000331313
1	61922365	63455088	429	14	0.0001778907	0.000000243748
1	63455089	65041703	616	14	-0.0000834629	0.000000262588
1	65041704	66939403	601	14	0.0000465910	0.000000279742
1	66939404	68477894	630	14	0.0000265245	0.000000269386
1	68477895	69687615	370	14	0.0000344863	0.000000181588
1	69687616	71372469	489	14	0.0000567710	0.000000230403
1	71372470	71684404	77	10	0.0000480612	0.000000030392
1	71684405	74326906	506	14	0.0001173897	0.000000207476
1	74326907	76728134	646	14	0.0001072983	0.000000267490
1	76728135	79661197	876	14	-0.0000413008	0.000000336780
1	79661198	81354190	466	14	0.0003688281	0.000000243126
1	81354191	83991747	937	14	0.0000962490	0.000000346253
1	83991748	84844494	305	14	0.0001635510	0.000000131248
1	84844495	86454750	592	14	0.0003587434	0.000000320864
1	86454751	88128630	514	14	0.0000265546	0.000000257516
1	88128631	90066302	484	14	0.0001567714	0.000000241579
1	90066303	91886316	538	14	0.0002123147	0.000000266558
1	91886317	93536458	453	14	0.0001392052	0.000000200549
1	93536459	94506190	224	14	-0.0000269591	0.000000083082
1	94506191	96150892	609	14	-0.0000008989	0.000000300740
1	96150893	97885248	577	14	0.0002163890	0.000000242045
1	97885249	99800603	619	14	0.0002848077	0.000000286354
1	99800604	100826404	300	14	0.0002704270	0.000000143095
1	100826405	102041015	420	14	0.0000201854	0.000000190330
1	102041016	102898744	272	14	0.0002130627	0.000000129403
1	102898745	103914210	179	14	-0.0000896854	0.000000062641
1	103914211	106087841	447	14	0.0000646108	0.000000208103
1	106087842	108409664	698	14	-0.0000776449	0.000000334278
