chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	117	20	0.0002753071	0.000000032440
1	1892607	3582735	474	20	0.0002753460	0.000000104746
1	3582736	4380810	294	20	0.0002875590	0.000000065416
1	4380811	5913892	916	20	-0.0000153612	0.000000114169
1	5913893	7247334	449	20	0.0000893100	0.000000084804
1	7247335	9365198	741	20	0.0005134412	0.000000136051
1	9365199	10806983	374	20	0.0002457187	0.000000070591
1	10806984	11777840	283	20	0.0001730004	0.000000058205
1	11777841	12779465	307	20	0.0005438829	0.000000079615
1	12779466	14891510	647	20	0.0001699332	0.000000121836
1	14891511	16897729	748	20	0.0000320006	0.000000116129
1	16897730	18662898	696	20	0.0000829279	0.000000118236
1	18662899	20469148	775	20	0.0000994362	0.000000118919
1	20469149	21736587	479	20	0.0001427244	0.000000088198
1	21736588	23086882	546	20	-0.0000320707	0.000000103302
1	23086883	23920589	237	20	0.0003444003	0.000000053514
1	23920590	25516844	549	20	0.0000331222	0.000000105504
1	25516845	27401866	434	20	0.0002125156	0.000000072701
1	27401867	30161880	578	20	0.0003451324	0.000000105927
1	30161881	32438684	985	20	0.0001391610	0.000000120563
1	32438685	34799757	716	20	0.0000920883	0.000000118615
1	34799758	37549182	607	20	0.0000096734	0.000000105767
1	37549183	38731846	394	20	0.0001857395	0.000000073693
1	38731847	40200566	462	20	0.0001333989	0.000000085192
1	40200567	41975326	572	20	0.0003851657	0.000000107337
1	41975327	43758456	592	20	0.0000079558	0.000000090805
1	43758457	44969182	390	20	0.0002432310	0.000000066574
1	44969183	46899500	478	20	0.0008164879	0.000000091507
1	46899501	48002575	318	20	0.0000582465	0.000000049415
1	48002576	48978187	360	20	0.0000574807	0.000000064935
1	48978188	49894176	253	20	0.0000580787	0.000000045357
1	49894177	51713725	266	20	0.0002196702	0.000000042185
1	51713726	54226261	583	20	0.0002120519	0.000000107006
1	54226262	56413116	893	20	0.0001017680	0.000000119016
1	56413117	57021727	287	20	0.0001329920	0.000000047308
1	57021728	58865398	910	20	0.0000734024	0.000000117842
1	58865399	59890408	412	20	0.0004026792	0.000000080520
1	59890409	61922364	704	20	0.0002475587	0.000000125049
1	61922365	63455088	581	20	0.0000342607	0.000000103092
1	63455089	65041703	698	20	0.0001368776	0.000000108807
1	65041704	66939403	671	20	0.0004722358	0.000000123651
1	66939404	68477894	718	20	0.0001458114	0.000000105983
1	68477895	69687615	401	20	0.0000691068	0.000000068663
1	69687616	71372469	559	20	0.0002579392	0.000000097261
1	71372470	71684404	87	10	0.0001194895	0.000000016003
1	71684405	74326906	585	20	0.0000823800	0.000000078824
1	74326907	76728134	759	20	0.0001897091	0.000000106328
1	76728135	79661197	991	20	0.0002448280	0.000000124936
1	79661198	81354190	500	20	-0.0000515555	0.000000076859
1	81354191	83991747	1022	20	0.0000265354	0.000000115903
1	83991748	84844494	328	20	0.0001480390	0.000000051295
1	84844495	86454750	681	20	0.0002276568	0.000000120232
1	86454751	88128630	610	20	0.0001129832	0.000000103159
1	88128631	90066302	553	20	0.0003673513	0.000000103459
1	90066303	91886316	589	20	0.0001593265	0.000000099229
1	91886317	93536458	538	20	0.0003805447	0.000000089684
1	93536459	94506190	268	20	0.0001931548	0.000000042647
1	94506191	96150892	696	20	-0.0000971695	0.000000110284
1	96150893	97885248	637	20	0.0001783498	0.000000091340
1	97885249	99800603	670	20	0.0001074758	0.000000102199
1	99800604	100826404	348	20	-0.0000181452	0.000000046507
1	100826405	102041015	473	20	0.0002100687	0.000000079606
1	102041016	102898744	292	20	0.0002021887	0.000000051042
1	102898745	103914210	213	20	0.0003593891	0.000000041970
1	103914211	106087841	480	20	0.0001217938	0.000000078560
1	106087842	108409664	770	20	0.0002687487	0.000000125925
1	108409665	110303930	598	20	0.0001070255	0.000000095860
1	110303931	111741736	614	20	0.0002968111	0.000000127087
1	111741737	113273305	757	20	0.0002925290	0.000000126909
1	113273306	114873844	539	20	0.0000304779	0.000000091252
1	114873845	115880592	357	20	0.0000158470	0.000000050845
1	115880593	118839066	914	20	0.0001782190	0.000000122179
1	118839067	144977493	606	20	0.0000381526	0.000000092776
1	144977494	148361252	464	20	0.0002167469	0.000000081762
1	148361253	151538880	363	20	0.0004543659	0.000000069300
1	151538881	153180828	521	20	0.0000639476	0.000000069616
1	153180829	154770402	491	20	0.0001066514	0.000000079587
1	154770403	156336132	322	20	0.0004564966	0.000000070983
1	156336133	158027411	643	20	0.0002881576	0.000000117772
1	158027412	159913047	739	20	0.0000973562	0.000000118833
1	159913048	162346720	944	20	0.0000405092	0.000000116481
1	162346721	165191701	1279	20	0.0002602347	0.000000125573
