chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	14	-0.0000702187	0.000000059174
1	1892607	3582735	409	14	0.0001157722	0.000000298836
1	3582736	4380810	262	14	0.0000345107	0.000000160443
1	4380811	5913892	863	14	0.0000464538	0.000000341637
1	5913893	7247334	409	14	-0.0000201877	0.000000208545
1	7247335	9365198	680	14	0.0001367040	0.000000349854
1	9365199	10806983	338	14	0.0003718261	0.000000184321
1	10806984	11777840	246	14	0.0000919191	0.000000150896
1	11777841	12779465	278	14	0.0001416187	0.000000190875
1	12779466	14891510	607	14	0.0000088323	0.000000345751
1	14891511	16897729	656	14	0.0000093351	0.000000344701
1	16897730	18662898	634	14	0.0000218303	0.000000347593
1	18662899	20469148	684	14	0.0000999605	0.000000354786
1	20469149	21736587	450	14	0.0001715977	0.000000236947
1	21736588	23086882	506	14	0.0000043729	0.000000291344
1	23086883	23920589	214	14	0.0000859130	0.000000101432
1	23920590	25516844	500	14	0.0002717364	0.000000299590
1	25516845	27401866	386	14	0.0002033247	0.000000176021
1	27401867	30161880	524	14	0.0001261148	0.000000252560
1	30161881	32438684	903	14	0.0002124950	0.000000338069
1	32438685	34799757	644	14	0.0000870395	0.000000325932
1	34799758	37549182	526	14	0.0000321491	0.000000261808
1	37549183	38731846	358	14	0.0000725880	0.000000170771
1	38731847	40200566	424	14	0.0001133467	0.000000221165
1	40200567	41975326	539	14	0.0002089257	0.000000256978
1	41975327	43758456	532	14	0.0000237051	0.000000213843
1	43758457	44969182	351	14	0.0002619906	0.000000156350
1	44969183	46899500	440	14	0.0006176341	0.000000173843
1	46899501	48002575	280	14	0.0001027004	0.000000118202
1	48002576	48978187	339	14	0.0001776299	0.000000170408
1	48978188	49894176	237	14	0.0002509778	0.000000122061
1	49894177	51713725	252	14	0.0001860163	0.000000090049
1	51713726	54226261	546	14	0.0006462529	0.000000305477
1	54226262	56413116	812	14	0.0000473975	0.000000340801
