chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	117	15	-0.0001336862	0.0000000357
1	1892607	3582735	470	15	-0.0002335449	0.0000000900
1	3582736	4380810	295	15	-0.0001965153	0.0000000452
1	4380811	5913892	916	15	-0.0001502927	0.0000000832
1	5913893	7247334	450	15	-0.0000826323	0.0000000560
1	7247335	9365198	741	15	-0.0002078719	0.0000000845
1	9365199	10806983	374	15	-0.0000678086	0.0000000423
1	10806984	11777840	282	15	-0.0000593022	0.0000000409
1	11777841	12779465	307	15	0.0001478801	0.0000000577
1	12779466	14891510	646	15	0.0002436241	0.0000000988
1	14891511	16897729	747	15	-0.0000943922	0.0000000931
1	16897730	18662898	699	15	0.0000667275	0.0000000958
1	18662899	20469148	777	15	-0.0000293951	0.0000000998
1	20469149	21736587	479	15	-0.0000468232	0.0000000579
1	21736588	23086882	545	15	0.0000452184	0.0000000802
1	23086883	23920589	237	15	0.0002625502	0.0000000330
1	23920590	25516844	549	15	0.0002369746	0.0000000873
1	25516845	27401866	434	15	0.0005215851	0.0000000547
1	27401867	30161880	578	15	-0.0000448777	0.0000000673
1	30161881	32438684	984	15	0.0002783492	0.0000000944
1	32438685	34799757	716	15	-0.0000810059	0.0000000848
1	34799758	37549182	608	15	-0.0001845825	0.0000000784
1	37549183	38731846	393	15	0.0003403748	0.0000000549
1	38731847	40200566	462	15	0.0003663484	0.0000000676
1	40200567	41975326	573	15	-0.0000367740	0.0000000592
1	41975327	43758456	591	15	-0.0001618203	0.0000000577
1	43758457	44969182	389	15	0.0000825573	0.0000000390
1	44969183	46899500	478	15	0.0000504049	0.0000000354
1	46899501	48002575	318	15	0.0009001254	0.0000000585
1	48002576	48978187	360	15	0.0001066452	0.0000000413
1	48978188	49894176	253	15	0.0001703606	0.0000000303
1	49894177	51713725	265	15	-0.0000459647	0.0000000195
1	51713726	54226261	583	15	-0.0001358195	0.0000000625
1	54226262	56413116	893	15	-0.0000381409	0.0000000908
1	56413117	57021727	287	15	-0.0000171778	0.0000000255
1	57021728	58865398	910	15	0.0000557482	0.0000000924
1	58865399	59890408	412	15	-0.0000281036	0.0000000405
1	59890409	61922364	704	15	-0.0000244920	0.0000000872
1	61922365	63455088	581	15	0.0001505106	0.0000000859
1	63455089	65041703	698	15	-0.0000736440	0.0000000713
1	65041704	66939403	671	15	0.0001828375	0.0000000723
1	66939404	68477894	719	15	0.0000810779	0.0000000686
1	68477895	69687615	400	15	-0.0000119234	0.0000000439
1	69687616	71372469	559	15	-0.0002808344	0.0000000552
1	71372470	71684404	87	10	-0.0000320586	0.0000000069
1	71684405	74326906	585	15	0.0000232878	0.0000000503
1	74326907	76728134	759	15	-0.0001918342	0.0000000614
1	76728135	79661197	992	15	-0.0002616758	0.0000000797
1	79661198	81354190	500	15	-0.0001568372	0.0000000476
1	81354191	83991747	1022	15	-0.0001606655	0.0000000840
1	83991748	84844494	330	15	-0.0001322777	0.0000000264
1	84844495	86454750	681	15	-0.0000239697	0.0000000784
1	86454751	88128630	611	15	0.0001065019	0.0000000787
1	88128631	90066302	552	15	-0.0000022877	0.0000000604
1	90066303	91886316	591	15	0.0000530361	0.0000000699
1	91886317	93536458	537	15	-0.0000375700	0.0000000485
1	93536459	94506190	268	15	0.0000826826	0.0000000268
1	94506191	96150892	696	15	-0.0000511418	0.0000000863
1	96150893	97885248	637	15	0.0000195584	0.0000000541
1	97885249	99800603	670	15	-0.0002186958	0.0000000646
1	99800604	100826404	348	15	-0.0001128384	0.0000000265
1	100826405	102041015	473	15	-0.0000609602	0.0000000416
1	102041016	102898744	292	15	-0.0000442090	0.0000000292
1	102898745	103914210	213	15	-0.0000133854	0.0000000173
1	103914211	106087841	481	15	-0.0000902153	0.0000000466
1	106087842	108409664	770	15	-0.0001585357	0.0000000855
1	108409665	110303930	598	15	-0.0000731983	0.0000000716
1	110303931	111741736	615	15	0.0000118104	0.0000000982
1	111741737	113273305	757	15	-0.0000765980	0.0000000828
1	113273306	114873844	539	15	-0.0001301710	0.0000000611
1	114873845	115880592	357	15	0.0000614232	0.0000000317
1	115880593	118839066	916	15	0.0000650687	0.0000000968
1	118839067	144977493	605	15	-0.0000573761	0.0000000586
1	144977494	148361252	464	15	0.0000681436	0.0000000460
1	148361253	151538880	363	15	0.0003039399	0.0000000374
1	151538881	153180828	521	15	-0.0002025909	0.0000000396
1	153180829	154770402	492	15	0.0001253712	0.0000000564
1	154770403	156336132	322	15	0.0000689844	0.0000000380
1	156336133	158027411	643	15	-0.0001427693	0.0000000786
1	158027412	159913047	740	15	0.0002928721	0.0000001154
1	159913048	162346720	943	15	-0.0001032738	0.0000000917
1	162346721	165191701	1278	15	0.0000485868	0.0000000906
1	165191702	166460516	581	15	-0.0000899522	0.0000000752
1	166460517	169086323	1205	15	0.0000275683	0.0000000970
1	169086324	170557775	591	15	-0.0000709709	0.0000000461
1	170557776	173097906	978	15	-0.0000893091	0.0000000830
1	173097907	175089767	448	15	-0.0001490969	0.0000000250
1	175089768	177433380	869	15	-0.0001200376	0.0000000861
1	177433381	178944308	544	15	0.0001660299	0.0000000586
1	178944309	178954469	2	1	0.0001524838	0.0000000147
1	178954470	181144120	811	15	-0.0000804012	0.0000000803
1	181144121	182755355	667	15	-0.0001078779	0.0000000847
1	182755356	184595512	674	15	-0.0000575930	0.0000000698
1	184595513	186810022	581	15	-0.0000516473	0.0000000595
1	186810023	188759944	696	15	0.0001086721	0.0000000732
1	188759945	189904129	244	15	-0.0001613434	0.0000000157
1	189904130	191868929	591	15	-0.0000046608	0.0000000430
1	191868930	194107441	646	15	-0.0000563830	0.0000000651
1	194107442	196176200	630	15	-0.0001105344	0.0000000514
1	196176201	197311513	206	15	-0.0000359698	0.0000000167
1	197311514	199239883	548	15	0.0000349461	0.0000000572
1	199239884	200137648	344	15	-0.0000209351	0.0000000353
1	200137649	201589974	751	15	-0.0001233006	0.0000000897
1	201589975	203334733	652	15	-0.0000130390	0.0000000961
1	203334734	204681067	537	15	-0.0000481622	0.0000000747
1	204681068	206073264	604	15	0.0006698686	0.0000000993
1	206073265	208410363	699	15	-0.0000785932	0.0000000903
1	208410364	210787749	1018	15	0.0001024603	0.0000000936
1	210787750	212842329	741	15	0.0000282180	0.0000000901
1	212842330	214578265	647	15	-0.0000611420	0.0000000888
1	214578266	216243633	644	15	0.0000627364	0.0000000742
1	216243634	218705512	1151	15	-0.0000183314	0.0000000823
1	218705513	219590570	314	15	0.0000319561	0.0000000302
1	219590571	221858230	750	15	-0.0000525360	0.0000000838
1	221858231	222230219	187	15	0.0000613260	0.0000000235
1	222230220	224938519	632	15	-0.0000428184	0.0000001125
1	224938520	226810859	558	15	-0.0000312808	0.0000000617
1	226810860	229156247	789	15	-0.0000483367	0.0000000973
1	229156248	230685254	599	15	0.0000056183	0.0000000920
1	230685255	232090251	627	15	-0.0000661170	0.0000000840
1	232090252	233429283	651	15	-0.0001517323	0.0000000978
1	233429284	234599433	593	15	-0.0001078917	0.0000000838
1	234599434	235819435	416	15	-0.0000271476	0.0000000623
1	235819436	237555627	789	15	-0.0002057063	0.0000000893
1	237555628	238567806	460	15	0.0000464838	0.0000000584
1	238567807	239925313	531	15	0.0000825077	0.0000000700
1	239925314	240564090	377	15	-0.0000029379	0.0000000454
1	240564091	241582219	553	15	-0.0001229039	0.0000000986
1	241582220	242071601	236	15	-0.0002062399	0.0000000245
1	242071602	244109498	674	15	-0.0001113787	0.0000000879
1	244109499	245506745	556	15	-0.0001951192	0.0000000950
1	245506746	247344517	792	15	-0.0001411891	0.0000001009
1	247344518	249239465	433	15	-0.0001547294	0.0000000524
