chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	117	16	-0.0000639310	0.000000075300
1	1892607	3582735	469	16	0.0001455642	0.000000279718
1	3582736	4380810	295	16	0.0001278407	0.000000149636
1	4380811	5913892	916	16	0.0000053208	0.000000255369
1	5913893	7247334	450	16	0.0000981205	0.000000183494
1	7247335	9365198	741	16	0.0002158863	0.000000268587
1	9365199	10806983	374	16	0.0001966317	0.000000154072
1	10806984	11777840	282	16	-0.0000007909	0.000000132233
1	11777841	12779465	307	16	0.0000836107	0.000000159738
1	12779466	14891510	646	16	0.0000839945	0.000000263440
1	14891511	16897729	747	16	0.0002549849	0.000000286371
1	16897730	18662898	699	16	0.0002135612	0.000000280461
1	18662899	20469148	777	16	0.0000051060	0.000000284280
1	20469149	21736587	479	16	0.0001267752	0.000000192832
1	21736588	23086882	545	16	0.0001001408	0.000000243137
1	23086883	23920589	237	16	0.0000358732	0.000000085201
1	23920590	25516844	549	16	0.0001937777	0.000000246726
1	25516845	27401866	434	16	0.0001852712	0.000000144746
1	27401867	30161880	578	16	0.0000909220	0.000000209667
1	30161881	32438684	984	16	0.0000294085	0.000000252460
1	32438685	34799757	716	16	0.0000984308	0.000000259400
1	34799758	37549182	608	16	0.0001194028	0.000000255160
1	37549183	38731846	393	16	0.0001275069	0.000000147947
1	38731847	40200566	462	16	0.0002566626	0.000000191307
1	40200567	41975326	573	16	0.0003248279	0.000000207361
1	41975327	43758456	591	16	0.0002020917	0.000000207009
1	43758457	44969182	389	16	0.0001472417	0.000000126262
1	44969183	46899500	478	16	0.0005729763	0.000000143970
1	46899501	48002575	318	16	-0.0000304823	0.000000095663
1	48002576	48978187	360	16	0.0000515699	0.000000126439
1	48978188	49894176	253	16	0.0001658968	0.000000090371
1	49894177	51713725	265	16	0.0000581792	0.000000063520
1	51713726	54226261	583	16	0.0004064621	0.000000228761
1	54226262	56413116	893	16	0.0000747551	0.000000264800
1	56413117	57021727	287	16	0.0002997475	0.000000100455
1	57021728	58865398	910	16	-0.0001024662	0.000000252781
1	58865399	59890408	412	16	0.0000317064	0.000000138541
1	59890409	61922364	704	16	0.0000074089	0.000000255215
1	61922365	63455088	581	16	0.0000407430	0.000000241533
1	63455089	65041703	698	16	-0.0000067181	0.000000223245
1	65041704	66939403	671	16	0.0001051376	0.000000213589
1	66939404	68477894	719	16	0.0001228034	0.000000211341
1	68477895	69687615	399	16	0.0000184882	0.000000140117
1	69687616	71372469	559	16	0.0001303574	0.000000201895
1	71372470	71684404	87	10	0.0001184395	0.000000027335
1	71684405	74326906	585	16	-0.0000013441	0.000000155222
1	74326907	76728134	759	16	-0.0000104104	0.000000205686
1	76728135	79661197	992	16	-0.0000425182	0.000000250505
1	79661198	81354190	500	16	0.0002346975	0.000000180476
1	81354191	83991747	1022	16	0.0001076338	0.000000265653
1	83991748	84844494	330	16	0.0000660072	0.000000098921
1	84844495	86454750	681	16	0.0000161768	0.000000236233
1	86454751	88128630	611	16	-0.0000654359	0.000000219938
1	88128631	90066302	552	16	0.0001417469	0.000000197492
1	90066303	91886316	591	16	0.0003035666	0.000000225831
1	91886317	93536458	537	16	0.0000554195	0.000000158488
1	93536459	94506190	268	16	0.0000486511	0.000000076345
1	94506191	96150892	696	16	0.0002770815	0.000000267937
1	96150893	97885248	637	16	0.0003301865	0.000000195298
1	97885249	99800603	670	16	0.0000557946	0.000000216663
1	99800604	100826404	348	16	0.0000194668	0.000000093361
1	100826405	102041015	473	16	0.0001179536	0.000000149983
1	102041016	102898744	292	16	0.0003925139	0.000000125436
1	102898745	103914210	213	16	0.0004466516	0.000000077722
1	103914211	106087841	481	16	0.0000496738	0.000000161279
1	106087842	108409664	770	16	-0.0000454479	0.000000255210
1	108409665	110303930	598	16	0.0003323213	0.000000239105
1	110303931	111741736	615	16	-0.0000248068	0.000000271637
1	111741737	113273305	757	16	0.0001817412	0.000000261679
1	113273306	114873844	539	16	-0.0000595565	0.000000195252
1	114873845	115880592	357	16	0.0001000570	0.000000104585
1	115880593	118839066	916	16	0.0000543412	0.000000272536
1	118839067	144977493	605	16	0.0002775777	0.000000207182
1	144977494	148361252	464	16	0.0000211738	0.000000145016
1	148361253	151538880	363	16	0.0002988122	0.000000117050
1	151538881	153180828	521	16	0.0000879325	0.000000147017
1	153180829	154770402	492	16	0.0002474548	0.000000180649
1	154770403	156336132	322	16	0.0005456208	0.000000144689
1	156336133	158027411	643	16	0.0002709533	0.000000259454
1	158027412	159913047	740	16	0.0003834671	0.000000304120
1	159913048	162346720	943	16	0.0002823370	0.000000285512
1	162346721	165191701	1278	16	-0.0000385821	0.000000253512
1	165191702	166460516	581	16	-0.0000429502	0.000000226892
1	166460517	169086323	1205	16	-0.0000411010	0.000000268781
1	169086324	170557775	591	16	0.0000272056	0.000000156233
1	170557776	173097906	978	16	0.0007153972	0.000000293050
1	173097907	175089767	448	16	0.0000640401	0.000000097283
1	175089768	177433380	869	16	0.0001545265	0.000000268212
1	177433381	178944308	544	16	0.0000274064	0.000000169014
1	178944309	178954469	2	1	-0.0000063620	0.000000002307
1	178954470	181144120	811	16	0.0001969468	0.000000253406
1	181144121	182755355	667	16	0.0002365942	0.000000268156
1	182755356	184595512	674	16	0.0001432033	0.000000224836
1	184595513	186810022	581	16	0.0002555300	0.000000199085
1	186810023	188759944	696	16	0.0001118425	0.000000224744
1	188759945	189904129	244	16	-0.0000638214	0.000000054873
1	189904130	191868929	591	16	0.0002342853	0.000000154067
1	191868930	194107441	646	16	0.0001844209	0.000000216937
1	194107442	196176200	630	16	-0.0000351122	0.000000173089
1	196176201	197311513	206	16	0.0001473394	0.000000056067
1	197311514	199239883	548	16	0.0002340744	0.000000193149
1	199239884	200137648	344	16	0.0001975767	0.000000125601
1	200137649	201589974	751	16	0.0001369849	0.000000274081
1	201589975	203334733	652	16	0.0002691050	0.000000289742
1	203334734	204681067	537	16	0.0002170077	0.000000230524
1	204681068	206073264	604	16	0.0002952229	0.000000249380
1	206073265	208410363	699	16	0.0000010911	0.000000263515
1	208410364	210787749	1018	16	0.0000750908	0.000000263931
