chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	117	20	-0.0000363289	0.000000004332
1	1892607	3582735	473	40	-0.0000481113	0.000000020222
1	3582736	4380810	294	40	0.0000319991	0.000000013163
1	4380811	5913892	913	40	0.0001090242	0.000000027981
1	5913893	7247334	448	40	0.0000793678	0.000000020202
1	7247335	9365198	738	40	0.0000595416	0.000000026981
1	9365199	10806983	374	40	-0.0000224942	0.000000013606
1	10806984	11777840	281	40	0.0001317034	0.000000014504
1	11777841	12779465	307	40	0.0000606915	0.000000014563
1	12779466	14891510	645	40	0.0001809478	0.000000029435
1	14891511	16897729	744	40	0.0000584664	0.000000026960
1	16897730	18662898	694	40	0.0002041620	0.000000029904
1	18662899	20469148	772	40	0.0001260766	0.000000028326
1	20469149	21736587	479	40	0.0002239774	0.000000023378
1	21736588	23086882	546	40	-0.0000035698	0.000000023566
1	23086883	23920589	236	29	0.0000677749	0.000000010656
1	23920590	25516844	549	40	0.0000679797	0.000000024907
1	25516845	27401866	432	40	-0.0000263809	0.000000014197
1	27401867	30161880	577	40	0.0000433225	0.000000021756
1	30161881	32438684	979	40	0.0000340089	0.000000026465
1	32438685	34799757	715	40	0.0000454714	0.000000026697
1	34799758	37549182	603	40	0.0003297810	0.000000030299
1	37549183	38731846	394	40	0.0000716752	0.000000016740
1	38731847	40200566	462	40	0.0000444071	0.000000019186
1	40200567	41975326	572	40	0.0000376353	0.000000021589
1	41975327	43758456	587	40	0.0001338625	0.000000023064
1	43758457	44969182	390	36	0.0001736707	0.000000016685
1	44969183	46899500	477	40	-0.0000268602	0.000000012901
1	46899501	48002575	317	34	0.0002197770	0.000000015406
1	48002576	48978187	359	40	0.0001111113	0.000000016711
1	48978188	49894176	253	29	-0.0000398679	0.000000009307
1	49894177	51713725	265	26	0.0000510035	0.000000008837
1	51713726	54226261	583	40	0.0000573042	0.000000023442
1	54226262	56413116	890	40	0.0000785238	0.000000027365
1	56413117	57021727	284	31	0.0001003442	0.000000011874
1	57021728	58865398	909	40	0.0001985488	0.000000029790
1	58865399	59890408	411	40	0.0001376592	0.000000017606
1	59890409	61922364	702	40	-0.0000006513	0.000000025765
1	61922365	63455088	578	40	0.0001139985	0.000000025263
1	63455089	65041703	693	40	0.0001746409	0.000000026696
1	65041704	66939403	671	40	0.0001928660	0.000000027429
1	66939404	68477894	718	40	0.0001468843	0.000000025667
1	68477895	69687615	400	40	0.0001438463	0.000000018092
1	69687616	71372469	558	40	0.0001747755	0.000000023319
1	71372470	71684404	87	10	0.0000405492	0.000000003494
1	71684405	74326906	581	40	0.0002132075	0.000000021608
1	74326907	76728134	756	40	0.0002128691	0.000000026531
1	76728135	79661197	990	40	0.0001770081	0.000000029355
1	79661198	81354190	499	40	0.0000268193	0.000000018624
1	81354191	83991747	1020	40	0.0000574838	0.000000026940
1	83991748	84844494	325	35	0.0000579360	0.000000011788
1	84844495	86454750	680	40	0.0001452783	0.000000027825
1	86454751	88128630	609	40	0.0001700645	0.000000025718
1	88128631	90066302	550	40	0.0000893519	0.000000021803
1	90066303	91886316	586	40	0.0001972871	0.000000024968
1	91886317	93536458	535	40	0.0000630495	0.000000018321
1	93536459	94506190	267	27	0.0000478145	0.000000009130
1	94506191	96150892	694	40	0.0000294897	0.000000026217
1	96150893	97885248	637	40	0.0000525244	0.000000020282
1	97885249	99800603	670	40	0.0000843494	0.000000023884
1	99800604	100826404	346	37	0.0000337614	0.000000011711
1	100826405	102041015	473	40	0.0000638432	0.000000017666
1	102041016	102898744	292	37	0.0000388056	0.000000010840
1	102898745	103914210	211	21	0.0000062506	0.000000006561
1	103914211	106087841	480	40	0.0000126648	0.000000017201
1	106087842	108409664	766	40	0.0001312181	0.000000028430
1	108409665	110303930	597	40	0.0000054885	0.000000020940
1	110303931	111741736	611	40	0.0000897304	0.000000027591
1	111741737	113273305	757	40	0.0001973393	0.000000029766
1	113273306	114873844	539	40	0.0000382051	0.000000021289
1	114873845	115880592	355	38	0.0001606710	0.000000014934
1	115880593	118839066	914	40	0.0002004045	0.000000029828
1	118839067	144977493	602	40	-0.0000018406	0.000000020533
1	144977494	148361252	464	40	0.0000875009	0.000000018556
1	148361253	151538880	363	34	0.0001400817	0.000000014673
1	151538881	153180828	521	40	0.0001214570	0.000000017950
1	153180829	154770402	490	40	0.0001815953	0.000000020970
1	154770403	156336132	322	39	0.0001731993	0.000000015699
1	156336133	158027411	642	40	0.0000295259	0.000000024495
1	158027412	159913047	736	40	0.0000169086	0.000000026120
1	159913048	162346720	942	40	0.0001300951	0.000000028407
1	162346721	165191701	1276	40	-0.0000390838	0.000000024988
1	165191702	166460516	579	40	0.0000830526	0.000000024482
1	166460517	169086323	1202	40	-0.0000146637	0.000000025482
1	169086324	170557775	590	40	0.0001354042	0.000000020556
1	170557776	173097906	973	40	0.0002492455	0.000000030815
1	173097907	175089767	448	33	0.0000254433	0.000000011185
1	175089768	177433380	870	40	0.0001299864	0.000000028405
1	177433381	178944308	543	40	0.0000613542	0.000000019476
1	178944309	178954469	2	1	0.0000015552	0.000000000132
1	178954470	181144120	810	40	0.0000255245	0.000000026294
1	181144121	182755355	664	40	0.0002039446	0.000000029376
1	182755356	184595512	673	40	0.0000802791	0.000000023177
1	184595513	186810022	580	40	-0.0000120860	0.000000018357
1	186810023	188759944	695	40	-0.0000368282	0.000000021437
1	188759945	189904129	242	17	0.0000311435	0.000000006960
1	189904130	191868929	590	40	0.0000927930	0.000000017991
1	191868930	194107441	645	40	0.0001283930	0.000000023473
1	194107442	196176200	631	40	0.0001420431	0.000000021673
1	196176201	197311513	206	16	0.0000183930	0.000000005940
1	197311514	199239883	549	40	0.0001366183	0.000000021771
1	199239884	200137648	342	37	0.0000243821	0.000000012291
1	200137649	201589974	744	40	0.0000017074	0.000000025813
1	201589975	203334733	654	40	0.0000194853	0.000000026172
1	203334734	204681067	537	40	0.0000852212	0.000000022602
1	204681068	206073264	601	40	0.0001702519	0.000000026816
1	206073265	208410363	687	40	0.0000371444	0.000000026529
1	208410364	210787749	1014	40	0.0000890027	0.000000027577
1	210787750	212842329	740	40	0.0000482193	0.000000026753
1	212842330	214578265	646	40	0.0001969167	0.000000029600
1	214578266	216243633	637	40	0.0000774088	0.000000024524
1	216243634	218705512	1148	40	0.0000754317	0.000000027302
1	218705513	219590570	313	36	0.0000239905	0.000000011207
1	219590571	221858230	749	40	0.0002111307	0.000000030044
1	221858231	222230219	187	22	0.0000686495	0.000000009090
1	222230220	224938519	632	40	0.0000702615	0.000000025892
1	224938520	226810859	555	40	0.0001651519	0.000000023384
1	226810860	229156247	790	40	0.0000904173	0.000000027605
1	229156248	230685254	599	40	0.0001345561	0.000000026669
1	230685255	232090251	628	40	0.0000379584	0.000000024874
1	232090252	233429283	649	40	0.0000900833	0.000000027598
1	233429284	234599433	593	40	-0.0000018238	0.000000023810
1	234599434	235819435	415	40	0.0001008085	0.000000019341
1	235819436	237555627	782	40	0.0000306141	0.000000026397
1	237555628	238567806	460	40	0.0002134182	0.000000023269
1	238567807	239925313	529	40	0.0000938664	0.000000023192
1	239925314	240564090	377	40	0.0001073385	0.000000017047
1	240564091	241582219	553	40	-0.0000514502	0.000000024112
1	241582220	242071601	234	40	-0.0000744958	0.000000008507
1	242071602	244109498	672	40	0.0000464430	0.000000026717
1	244109499	245506745	551	40	0.0000896911	0.000000025502
1	245506746	247344517	790	40	0.0001001658	0.000000027802
1	247344518	249239465	429	40	0.0000295112	0.000000017541
2	10133	1781021	711	40	0.0000289939	0.000000026364
2	1781022	3973778	1026	40	0.0002067293	0.000000029955
2	3973779	5708336	659	40	0.0000277655	0.000000026339
2	5708337	6836253	596	40	0.0001391624	0.000000025563
2	6836254	8422146	673	40	0.0001259599	0.000000028323
2	8422147	10298468	722	40	0.0000555713	0.000000026901
2	10298469	12419149	1033	40	0.0000874676	0.000000027546
2	12419150	14335307	624	40	0.0001242952	0.000000026045
2	14335308	16329734	765	40	0.0001385005	0.000000028577
2	16329735	18647422	898	40	-0.0000386732	0.000000024997
2	18647423	19692403	395	40	0.0000875291	0.000000017627
2	19692404	21050489	662	40	0.0000227515	0.000000026238
2	21050490	23341382	637	40	0.0002318044	0.000000030462
2	23341383	24686917	456	40	0.0000548092	0.000000018361
2	24686918	26894984	582	40	0.0001047681	0.000000024244
2	26894985	28598776	423	33	0.0000862894	0.000000016108
2	28598777	29217558	254	33	0.0000515001	0.000000011095
2	29217559	30463710	649	40	0.0000981491	0.000000027761
2	30463711	31550449	554	40	0.0000068626	0.000000024403
2	31550450	33363776	519	40	0.0001119869	0.000000025900
2	33363777	35345027	845	40	0.0001010626	0.000000027820
2	35345028	36122005	304	31	0.0001082322	0.000000014031
2	36122006	38132711	966	40	0.0001404044	0.000000028615
2	38132712	39031336	343	40	0.0000848423	0.000000017676
2	39031337	40281482	317	32	0.0000776820	0.000000015574
2	40281483	43309589	1362	40	0.0001409017	0.000000028625
2	43309590	44313802	414	40	0.0001813878	0.000000022001
2	44313803	46482633	1121	40	0.0000440657	0.000000026669
2	46482634	47318771	434	40	-0.0000032564	0.000000021543
2	47318772	48213000	312	40	-0.0000018248	0.000000015155
2	48213001	50022256	741	40	0.0001279795	0.000000028364
2	50022257	50818927	352	34	0.0000611529	0.000000015961
2	50818928	52491132	668	40	0.0000644981	0.000000027081
2	52491133	53508451	490	40	0.0001259949	0.000000022698
2	53508452	54685225	454	40	0.0001123711	0.000000021489
2	54685226	56203344	632	40	0.0000112769	0.000000026006
2	56203345	57429099	444	40	0.0000290697	0.000000019653
2	57429100	58297314	283	29	0.0001479328	0.000000014882
2	58297315	60291999	766	40	0.0001718093	0.000000029250
2	60292000	62429043	610	40	0.0000931158	0.000000027660
2	62429044	64625912	602	40	0.0001476740	0.000000027717
2	64625913	65933443	475	40	-0.0000014861	0.000000020021
2	65933444	67226165	561	40	0.0001343191	0.000000024789
2	67226166	68010175	433	40	0.0001580968	0.000000020083
2	68010176	69139563	499	40	-0.0000301186	0.000000018045
2	69139564	70755197	554	40	0.0001155845	0.000000022695
2	70755198	73174847	829	40	0.0000970674	0.000000027740
2	73174848	75630085	762	40	0.0000238478	0.000000026260
2	75630086	76913660	533	40	0.0000821296	0.000000023787
2	76913661	78079263	406	40	0.0000616154	0.000000019792
2	78079264	80050402	860	40	0.0000190176	0.000000026162
2	80050403	81620840	595	40	0.0000733679	0.000000027261
2	81620841	85140679	925	40	0.0000312349	0.000000023644
2	85140680	88038506	655	40	0.0000506130	0.000000023463
2	88038507	89154525	251	31	0.0000126421	0.000000009444
2	89154526	95326451	4	2	0.0000175900	0.000000000555
2	95326452	98995200	442	40	0.0000462906	0.000000016847
2	98995201	101822328	929	40	0.0000640851	0.000000027073
2	101822329	102688764	270	30	-0.0000583488	0.000000008372
2	102688765	103588214	418	37	0.0000217644	0.000000012238
2	103588215	105125033	317	40	0.0001611506	0.000000015251
2	105125034	106210057	420	40	0.0002678183	0.000000022140
2	106210058	107408266	466	40	0.0001550253	0.000000020538
2	107408267	108429176	368	40	0.0003236175	0.000000018216
2	108429177	110572431	551	40	0.0002575162	0.000000024833
2	110572432	113921855	836	40	0.0001973040	0.000000029765
2	113921856	116772469	790	40	0.0001223108	0.000000028250
2	116772470	118367465	421	39	0.0000037176	0.000000013312
2	118367466	121303782	1032	40	0.0000464967	0.000000026718
2	121303783	123302905	611	40	0.0000279911	0.000000024517
2	123302906	124732249	447	40	0.0002361028	0.000000018663
2	124732250	125840920	401	40	0.0000548942	0.000000015629
2	125840921	127373763	430	38	0.0000246976	0.000000013272
2	127373764	128034346	277	40	0.0000862692	0.000000012615
2	128034347	129474440	451	40	0.0000715033	0.000000017820
2	129474441	130067169	237	27	-0.0000201394	0.000000007457
2	130067170	130658084	217	26	0.0001112271	0.000000010049
2	130658085	133042783	236	36	-0.0000290048	0.000000008759
2	133042784	135158577	945	40	0.0000113648	0.000000026008
2	135158578	137042793	462	40	0.0000070408	0.000000014356
2	137042794	138698116	628	40	0.0000409179	0.000000023631
2	138698117	140100270	452	40	0.0001170104	0.000000015389
2	140100271	141805350	595	40	0.0000619659	0.000000023432
2	141805351	142518601	310	34	0.0000982685	0.000000014652
2	142518602	144519483	678	40	0.0002240278	0.000000029207
2	144519484	146445569	460	40	0.0001384078	0.000000020254
2	146445570	147277161	160	16	-0.0000086163	0.000000005906
2	147277162	150210291	686	40	0.0000915911	0.000000024498
2	150210292	151731461	489	40	0.0001292128	0.000000020690
2	151731462	152486781	293	30	0.0001557360	0.000000013194
2	152486782	154005055	517	40	0.0000306427	0.000000019426
2	154005056	155391134	508	40	0.0000445881	0.000000020484
2	155391135	157560634	577	40	0.0003739394	0.000000028273
2	157560635	158533217	174	26	0.0001177017	0.000000010333
2	158533218	159577081	348	40	0.0000605206	0.000000014714
2	159577082	161769732	747	40	0.0001909503	0.000000029271
2	161769733	163503550	409	37	0.0003121139	0.000000018703
2	163503551	164466637	205	24	0.0000808975	0.000000009439
2	164466638	165178839	183	21	0.0001660777	0.000000010439
2	165178840	167160269	663	40	0.0000158590	0.000000023334
2	167160270	167355969	75	10	0.0000298487	0.000000003380
