chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	92	17	0.0000833620	0.000000011433
1	1892607	3582735	405	29	0.0002882144	0.000000045473
1	3582736	4380810	262	29	0.0000084449	0.000000023140
1	4380811	5913892	863	29	0.0001127197	0.000000053739
1	5913893	7247334	417	29	0.0001338962	0.000000035582
1	7247335	9365198	680	29	0.0000666251	0.000000050514
1	9365199	10806983	339	29	0.0002670857	0.000000029541
1	10806984	11777840	247	29	0.0001730141	0.000000026020
1	11777841	12779465	280	29	0.0001691064	0.000000018726
1	12779466	14891510	607	29	0.0001762298	0.000000054938
1	14891511	16897729	657	29	0.0001590980	0.000000053725
1	16897730	18662898	638	29	0.0001389820	0.000000052894
1	18662899	20469148	684	29	0.0000900133	0.000000052771
1	20469149	21736587	450	29	0.0003092196	0.000000042109
1	21736588	23086882	507	29	0.0001537598	0.000000046690
1	23086883	23920589	214	27	0.0003474935	0.000000023531
1	23920590	25516844	500	29	0.0002101278	0.000000046898
1	25516845	27401866	396	29	0.0007173887	0.000000042153
1	27401867	30161880	524	29	0.0002136907	0.000000042295
1	30161881	32438684	903	29	0.0001117217	0.000000053051
1	32438685	34799757	644	29	0.0001199074	0.000000053133
1	34799758	37549182	527	29	0.0000894626	0.000000041216
1	37549183	38731846	358	29	0.0001305588	0.000000029074
1	38731847	40200566	424	29	0.0001254745	0.000000033294
1	40200567	41975326	540	29	0.0000246819	0.000000038796
1	41975327	43758456	532	29	0.0001622239	0.000000038764
1	43758457	44969182	351	29	0.0000227114	0.000000023942
1	44969183	46899500	440	29	0.0001461199	0.000000026265
1	46899501	48002575	280	29	0.0001531326	0.000000023091
1	48002576	48978187	339	29	0.0002380903	0.000000033154
1	48978188	49894176	237	28	0.0001726658	0.000000022736
1	49894177	51713725	252	25	0.0001868083	0.000000017594
1	51713726	54226261	546	29	0.0001211497	0.000000041784
1	54226262	56413116	813	29	0.0011584632	0.000000076357
1	56413117	57021727	265	29	0.0002060179	0.000000019011
1	57021728	58865398	827	29	0.0000912813	0.000000053400
1	58865399	59890408	371	29	0.0001410987	0.000000029152
1	59890409	61922364	660	29	0.0002787773	0.000000056112
1	61922365	63455088	526	29	0.0028347905	0.000000095808
1	63455089	65041703	642	29	0.0002170171	0.000000048398
1	65041704	66939403	634	29	0.0002016023	0.000000048402
1	66939404	68477894	664	29	0.0003057081	0.000000050104
1	68477895	69687615	383	29	0.0001339566	0.000000032344
1	69687616	71372469	506	29	0.0001511015	0.000000040590
1	71372470	71684404	81	10	0.0000239080	0.000000005037
1	71684405	74326906	558	29	0.0002005241	0.000000030055
1	74326907	76728134	713	29	0.0001643386	0.000000043576
1	76728135	79661197	924	29	0.0001822098	0.000000052916
1	79661198	81354190	470	29	0.0000511796	0.000000035583
1	81354191	83991747	965	29	0.0001007970	0.000000051787
1	83991748	84844494	304	29	0.0001052017	0.000000022522
1	84844495	86454750	634	29	0.0001942336	0.000000050114
1	86454751	88128630	552	29	0.0000568353	0.000000041091
1	88128631	90066302	515	29	0.0001039048	0.000000037438
1	90066303	91886316	554	29	0.0002891388	0.000000047405
1	91886317	93536458	500	29	0.0007651519	0.000000048416
1	93536459	94506190	245	26	0.0002493689	0.000000020432
1	94506191	96150892	640	29	0.0003009631	0.000000054585
1	96150893	97885248	598	29	0.0000492585	0.000000035182
1	97885249	99800603	632	29	0.0001923223	0.000000046522
1	99800604	100826404	329	29	0.0002173867	0.000000026803
1	100826405	102041015	439	29	0.0002199607	0.000000037089
1	102041016	102898744	271	29	0.0001507071	0.000000023906
1	102898745	103914210	196	21	0.0001123900	0.000000015284
1	103914211	106087841	452	29	0.0000118986	0.000000032831
1	106087842	108409664	721	29	0.0001541603	0.000000053626
1	108409665	110303930	555	29	0.0051506769	0.000000140806
1	110303931	111741736	559	29	0.0003705628	0.000000053895
1	111741737	113273305	691	29	0.0002121698	0.000000052488
1	113273306	114873844	497	29	0.0000789879	0.000000038247
1	114873845	115880592	338	29	0.0001329244	0.000000023509
1	115880593	118839066	807	29	0.0000501125	0.000000050445
1	118839067	144977493	564	29	0.0002349854	0.000000032027
1	144977494	148361252	425	29	0.0001891721	0.000000034963
1	148361253	151538880	332	29	0.0003381429	0.000000028948
1	151538881	153180828	451	29	0.0000231466	0.000000028392
1	153180829	154770402	445	29	0.0001327914	0.000000034035
1	154770403	156336132	280	29	0.0003721351	0.000000029675
1	156336133	158027411	576	29	0.0001080941	0.000000046895
1	158027412	159913047	667	29	0.0002097410	0.000000053407
1	159913048	162346720	860	29	0.0002931116	0.000000042911
1	162346721	165191701	1173	29	0.0001058814	0.000000050564
1	165191702	166460516	514	29	0.0001458532	0.000000045458
1	166460517	169086323	1078	29	0.0000755100	0.000000051046
1	169086324	170557775	550	29	0.0000539937	0.000000029690
1	170557776	173097906	897	29	0.0002174099	0.000000048966
1	173097907	175089767	399	29	0.0001708107	0.000000023232
1	175089768	177433380	764	29	0.0000903720	0.000000051469
1	177433381	178944308	497	29	0.0000896506	0.000000027344
1	178944309	178954469	2	1	-0.0000076076	0.000000000030
1	178954470	181144120	713	29	0.0001880213	0.000000052620
1	181144121	182755355	577	29	0.0001508383	0.000000048756
1	182755356	184595512	607	29	0.0005255534	0.000000053341
1	184595513	186810022	499	29	0.0000994837	0.000000034832
1	186810023	188759944	616	29	0.0001420607	0.000000044582
1	188759945	189904129	216	17	0.0000763500	0.000000013663
1	189904130	191868929	537	29	0.0001405609	0.000000033362
1	191868930	194107441	577	29	0.0001254653	0.000000041793
1	194107442	196176200	577	29	0.0000809318	0.000000035834
1	196176201	197311513	188	16	0.0001608485	0.000000013891
1	197311514	199239883	501	29	0.0003052654	0.000000042663
1	199239884	200137648	296	29	0.0002642492	0.000000027888
1	200137649	201589974	685	29	0.0000369272	0.000000050476
1	201589975	203334733	591	29	0.0000253231	0.000000047589
1	203334734	204681067	471	29	0.0002897010	0.000000043820
1	204681068	206073264	559	29	0.0000403459	0.000000041757
1	206073265	208410363	603	29	0.0002166824	0.000000051618
1	208410364	210787749	908	29	0.0000694938	0.000000050232
1	210787750	212842329	685	29	0.0002860034	0.000000055350
1	212842330	214578265	606	29	0.0002214021	0.000000050580
1	214578266	216243633	579	29	0.0001587664	0.000000048708
1	216243634	218705512	1069	29	0.0001897342	0.000000053243
1	218705513	219590570	279	29	-0.0000184785	0.000000016639
1	219590571	221858230	679	29	0.0006583696	0.000000056283
1	221858231	222230219	171	21	0.0000665322	0.000000015653
1	222230220	224938519	495	29	0.0003925896	0.000000045269
1	224938520	226810859	498	29	0.0002811948	0.000000042391
1	226810860	229156247	654	29	0.0001614668	0.000000048724
1	229156248	230685254	523	29	0.0000868694	0.000000034098
1	230685255	232090251	574	29	0.0001167987	0.000000044118
