chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	99	19	0.0002014056	0.000000010251
1	1892607	3582735	440	40	0.0001257130	0.000000027279
1	3582736	4380810	273	40	0.0001876741	0.000000019000
1	4380811	5913892	871	40	0.0000778055	0.000000033096
1	5913893	7247334	430	40	0.0001418688	0.000000024436
1	7247335	9365198	702	40	0.0000545504	0.000000032404
1	9365199	10806983	352	40	0.0003264835	0.000000023088
1	10806984	11777840	259	40	0.0001561378	0.000000017638
1	11777841	12779465	284	40	0.0000331599	0.000000015538
1	12779466	14891510	618	40	0.0000335766	0.000000031762
1	14891511	16897729	691	40	0.0001947317	0.000000036230
1	16897730	18662898	669	40	0.0000199794	0.000000031869
1	18662899	20469148	720	40	0.0000056916	0.000000031969
1	20469149	21736587	461	40	0.0000582556	0.000000023330
1	21736588	23086882	523	40	0.0006977230	0.000000042839
1	23086883	23920589	223	28	0.0001202112	0.000000013242
1	23920590	25516844	522	40	0.0001052492	0.000000029447
1	25516845	27401866	413	40	0.0003798440	0.000000025283
1	27401867	30161880	554	40	0.0001573340	0.000000027858
1	30161881	32438684	938	40	0.0000191382	0.000000031571
1	32438685	34799757	676	40	0.0001666475	0.000000035541
1	34799758	37549182	556	40	0.0000658416	0.000000027746
1	37549183	38731846	374	40	0.0001199068	0.000000020140
1	38731847	40200566	447	40	0.0002088508	0.000000026165
1	40200567	41975326	557	40	0.0003272953	0.000000031636
1	41975327	43758456	543	40	0.0004664993	0.000000033038
1	43758457	44969182	371	35	0.0001594620	0.000000018657
1	44969183	46899500	458	38	0.0001450966	0.000000018467
1	46899501	48002575	298	33	0.0000560491	0.000000013724
1	48002576	48978187	344	40	0.0001272415	0.000000020170
1	48978188	49894176	247	28	0.0000596782	0.000000013556
1	49894177	51713725	260	25	0.0000324402	0.000000009853
1	51713726	54226261	565	40	0.0000334247	0.000000026828
1	54226262	56413116	839	40	0.0001694602	0.000000034428
1	56413117	57021727	272	31	0.0002565805	0.000000016819
1	57021728	58865398	851	40	0.0000366215	0.000000032027
1	58865399	59890408	383	40	0.0002998760	0.000000023345
1	59890409	61922364	672	40	0.0002812577	0.000000037064
