chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	162	20	0.0001085640	0.000000035790
1	1892607	3582735	493	20	0.0001575612	0.000000113687
1	3582736	4380810	285	20	0.0002978053	0.000000074142
1	4380811	5913892	905	20	-0.0000117237	0.000000125253
1	5913893	7247334	412	20	0.0000847243	0.000000084817
1	7247335	9365198	695	20	0.0003385806	0.000000140448
1	9365199	10806983	350	20	0.0001981556	0.000000071108
1	10806984	11777840	259	20	0.0001326681	0.000000059539
1	11777841	12779465	239	20	0.0002357125	0.000000060997
1	12779466	14891510	604	20	0.0001700139	0.000000133136
1	14891511	16897729	708	20	0.0000245132	0.000000126825
1	16897730	18662898	621	20	0.0000888658	0.000000129616
1	18662899	20469148	718	20	0.0000769973	0.000000129101
1	20469149	21736587	434	20	0.0000789931	0.000000086378
1	21736588	23086882	483	20	-0.0000781280	0.000000098700
1	23086883	23920589	212	20	0.0002755962	0.000000051178
1	23920590	25516844	505	20	0.0000213639	0.000000105394
1	25516845	27401866	389	20	0.0000815721	0.000000068858
1	27401867	30161880	576	20	0.0002682512	0.000000110771
1	30161881	32438684	945	20	0.0001317623	0.000000131477
1	32438685	34799757	674	20	0.0001121467	0.000000130626
1	34799758	37549182	621	20	-0.0000237100	0.000000119018
1	37549183	38731846	404	20	0.0002374844	0.000000084728
1	38731847	40200566	424	20	0.0000813227	0.000000085445
1	40200567	41975326	549	20	0.0003565851	0.000000110633
1	41975327	43758456	546	20	0.0000069479	0.000000092895
1	43758457	44969182	345	20	0.0001313023	0.000000062717
1	44969183	46899500	433	20	0.0005239196	0.000000080615
1	46899501	48002575	302	20	0.0000041881	0.000000051287
1	48002576	48978187	355	20	0.0000575189	0.000000069844
1	48978188	49894176	243	20	0.0000796727	0.000000048133
1	49894177	51713725	279	20	0.0001803648	0.000000042725
1	51713726	54226261	539	20	0.0001979157	0.000000109847
1	54226262	56413116	823	20	0.0000697561	0.000000128787
1	56413117	57021727	266	20	0.0001212633	0.000000048207
1	57021728	58865398	902	20	0.0000366786	0.000000127352
1	58865399	59890408	394	20	0.0004332078	0.000000087302
1	59890409	61922364	676	20	0.0002688704	0.000000137424
1	61922365	63455088	478	20	0.0000346797	0.000000098295
1	63455089	65041703	672	20	0.0001532272	0.000000116173
1	65041704	66939403	642	20	0.0004955243	0.000000129654
1	66939404	68477894	682	20	0.0001467183	0.000000111884
1	68477895	69687615	385	20	0.0000648112	0.000000072948
1	69687616	71372469	549	20	0.0002373785	0.000000103640
1	71372470	71684404	88	10	0.0001061872	0.000000016531
1	71684405	74326906	546	20	0.0000566091	0.000000082058
1	74326907	76728134	703	20	0.0001812968	0.000000110454
1	76728135	79661197	966	20	0.0001185551	0.000000130904
1	79661198	81354190	501	20	-0.0000589877	0.000000084308
1	81354191	83991747	1003	20	0.0000130364	0.000000126327
1	83991748	84844494	338	20	0.0001987789	0.000000058172
1	84844495	86454750	636	20	0.0001917615	0.000000125649
1	86454751	88128630	574	20	0.0000698089	0.000000107225
1	88128631	90066302	523	20	0.0003919281	0.000000109270
1	90066303	91886316	591	20	0.0001526687	0.000000109481
1	91886317	93536458	506	20	0.0003171624	0.000000092528
1	93536459	94506190	254	20	0.0002333934	0.000000045968
1	94506191	96150892	672	20	-0.0000882910	0.000000116490
1	96150893	97885248	641	20	0.0001351047	0.000000098171
1	97885249	99800603	659	20	0.0001111829	0.000000110346
1	99800604	100826404	315	20	-0.0000211808	0.000000049208
1	100826405	102041015	465	20	0.0002048960	0.000000085372
1	102041016	102898744	292	20	0.0002114841	0.000000055270
1	102898745	103914210	195	20	0.0003119330	0.000000041398
1	103914211	106087841	492	20	0.0001145161	0.000000087653
1	106087842	108409664	755	20	0.0002729820	0.000000137602
1	108409665	110303930	456	20	0.0000750574	0.000000081054
1	110303931	111741736	579	20	0.0002484633	0.000000130003
1	111741737	113273305	677	20	0.0002744410	0.000000137666
1	113273306	114873844	542	20	-0.0000137760	0.000000094622
1	114873845	115880592	337	20	-0.0000125694	0.000000051308
1	115880593	118839066	857	20	0.0001912634	0.000000134058
1	118839067	144977493	511	20	0.0000449096	0.000000092443
1	144977494	148361252	439	20	0.0001302285	0.000000082407
1	148361253	151538880	302	20	0.0003580913	0.000000061079
1	151538881	153180828	486	20	0.0000584464	0.000000073182
1	153180829	154770402	454	20	0.0000336219	0.000000082096
1	154770403	156336132	292	20	0.0003001554	0.000000065751
1	156336133	158027411	549	20	0.0002322901	0.000000110539
1	158027412	159913047	632	20	0.0001191120	0.000000125210
1	159913048	162346720	731	20	0.0000831563	0.000000129368
1	162346721	165191701	1227	20	0.0002396341	0.000000136156
1	165191702	166460516	559	20	0.0000458850	0.000000108586
1	166460517	169086323	1161	20	-0.0001045753	0.000000121225
1	169086324	170557775	473	20	0.0002304252	0.000000086216
1	170557776	173097906	860	20	0.0005172368	0.000000148198
1	173097907	175089767	508	20	0.0000882730	0.000000054903
1	175089768	177433380	819	20	0.0000913925	0.000000129726
1	177433381	178944308	470	20	0.0001547834	0.000000082441
1	178944309	178954469	2	1	-0.0000098016	0.000000000038
1	178954470	181144120	734	20	0.0002305830	0.000000132489
1	181144121	182755355	635	20	0.0000407242	0.000000121540
1	182755356	184595512	612	20	0.0001903870	0.000000107403
1	184595513	186810022	565	20	0.0001655853	0.000000092448
1	186810023	188759944	701	20	0.0002169143	0.000000117058
1	188759945	189904129	250	19	0.0001176694	0.000000034742
1	189904130	191868929	588	20	0.0000723209	0.000000079909
1	191868930	194107441	661	20	0.0000997291	0.000000105599
1	194107442	196176200	632	20	0.0001229041	0.000000095552
1	196176201	197311513	178	15	0.0000202281	0.000000024604
1	197311514	199239883	540	20	0.0002692809	0.000000101092
1	199239884	200137648	343	20	0.0003693326	0.000000072212
1	200137649	201589974	652	20	-0.0000472258	0.000000122349
1	201589975	203334733	581	20	0.0001386694	0.000000122537
1	203334734	204681067	484	20	0.0002820459	0.000000106359
1	204681068	206073264	509	20	0.0008903788	0.000000135823
1	206073265	208410363	622	20	0.0003176166	0.000000136263
1	208410364	210787749	966	20	0.0001196066	0.000000130950
1	210787750	212842329	706	20	0.0000693506	0.000000128770
1	212842330	214578265	602	20	0.0000582622	0.000000119323
1	214578266	216243633	611	20	0.0002160080	0.000000116484
1	216243634	218705512	1126	20	0.0002091101	0.000000134832
1	218705513	219590570	309	20	0.0001332761	0.000000056097
1	219590571	221858230	693	20	0.0000638963	0.000000121732
1	221858231	222230219	182	20	0.0003406695	0.000000048881
1	222230220	224938519	722	20	0.0001914958	0.000000134068
1	224938520	226810859	502	20	0.0003821914	0.000000104665
1	226810860	229156247	713	20	0.0000747440	0.000000123558
1	229156248	230685254	537	20	0.0001945982	0.000000115023
1	230685255	232090251	591	20	0.0001965681	0.000000119122
1	232090252	233429283	624	20	-0.0000503391	0.000000122759
1	233429284	234599433	560	20	0.0000254699	0.000000111981
1	234599434	235819435	398	20	-0.0000453494	0.000000077401
1	235819436	237555627	725	20	0.0000542862	0.000000128116
1	237555628	238567806	418	20	0.0001723529	0.000000090149
1	238567807	239925313	527	20	0.0000935331	0.000000106127
1	239925314	240564090	364	20	0.0001640933	0.000000075196
