chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	102	20	0.0001324215	0.000000009496
1	1892607	3582735	443	40	0.0001136664	0.000000028196
1	3582736	4380810	277	40	0.0001017536	0.000000017306
1	4380811	5913892	880	40	-0.0000353245	0.000000029311
1	5913893	7247334	440	40	0.0001425422	0.000000024100
1	7247335	9365198	706	40	0.0002985638	0.000000036162
1	9365199	10806983	355	40	-0.0000239115	0.000000014405
1	10806984	11777840	260	40	0.0000900227	0.000000015574
1	11777841	12779465	297	40	0.0002723533	0.000000018183
1	12779466	14891510	620	40	0.0001611777	0.000000033565
1	14891511	16897729	698	40	0.0000952318	0.000000032392
1	16897730	18662898	673	40	0.0000398746	0.000000031158
1	18662899	20469148	724	40	0.0002557251	0.000000036544
1	20469149	21736587	462	40	0.0000980042	0.000000023001
1	21736588	23086882	526	40	0.0003302875	0.000000034204
1	23086883	23920589	224	28	0.0005186147	0.000000020569
1	23920590	25516844	527	40	0.0000570259	0.000000027762
1	25516845	27401866	425	40	0.0000198498	0.000000017143
1	27401867	30161880	558	40	0.0001269242	0.000000026555
1	30161881	32438684	939	40	0.0002293529	0.000000034633
1	32438685	34799757	678	40	0.0001514445	0.000000033699
1	34799758	37549182	560	40	0.0002047214	0.000000030264
1	37549183	38731846	375	40	0.0001387616	0.000000019276
1	38731847	40200566	448	40	0.0000763634	0.000000021448
1	40200567	41975326	556	40	0.0001145598	0.000000025566
1	41975327	43758456	554	40	0.0003969524	0.000000030151
1	43758457	44969182	372	35	0.0000345583	0.000000015343
1	44969183	46899500	461	38	-0.0000090832	0.000000014068
1	46899501	48002575	300	33	0.0001454478	0.000000015068
1	48002576	48978187	346	40	-0.0000101229	0.000000015673
1	48978188	49894176	248	28	0.0002392206	0.000000016304
1	49894177	51713725	261	25	0.0003239193	0.000000015019
1	51713726	54226261	565	40	0.0000722790	0.000000025797
1	54226262	56413116	845	40	0.0000985800	0.000000030802
1	56413117	57021727	274	31	0.0000611011	0.000000010784
1	57021728	58865398	858	40	0.0001320768	0.000000033098
1	58865399	59890408	385	40	0.0001081803	0.000000018064
1	59890409	61922364	674	40	0.0001448569	0.000000032406
1	61922365	63455088	549	40	0.0000195494	0.000000022122
1	63455089	65041703	659	40	0.0000821242	0.000000027188
1	65041704	66939403	655	40	0.0001928079	0.000000030421
1	66939404	68477894	694	40	0.0000752974	0.000000027040
1	68477895	69687615	390	40	0.0001290922	0.000000020250
1	69687616	71372469	525	40	0.0000566363	0.000000023569
1	71372470	71684404	84	10	-0.0000067147	0.000000002701
1	71684405	74326906	565	40	0.0003810185	0.000000024649
1	74326907	76728134	737	40	0.0002953394	0.000000030917
1	76728135	79661197	958	40	0.0004450779	0.000000039402
1	79661198	81354190	479	40	0.0001392852	0.000000023496
1	81354191	83991747	979	40	0.0001688249	0.000000033135
1	83991748	84844494	320	36	0.0001084220	0.000000014732
1	84844495	86454750	657	40	0.0001199945	0.000000030513
1	86454751	88128630	577	40	0.0001522852	0.000000028427
1	88128631	90066302	529	40	-0.0000045908	0.000000021649
1	90066303	91886316	568	40	-0.0000163284	0.000000023967
1	91886317	93536458	519	40	0.0001152966	0.000000021108
1	93536459	94506190	258	27	0.0001586163	0.000000013000
1	94506191	96150892	655	40	0.0002397567	0.000000033276
1	96150893	97885248	610	40	0.0004549130	0.000000030457
1	97885249	99800603	644	40	0.0000717420	0.000000026410
1	99800604	100826404	341	37	0.0000595753	0.000000013782
