chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	94	20	-0.0000138420	0.000000001937
1	1892607	3582735	404	40	0.0000022393	0.000000009841
1	3582736	4380810	250	40	-0.0000264941	0.000000005588
1	4380811	5913892	828	40	0.0000988465	0.000000015172
1	5913893	7247334	380	40	0.0001649310	0.000000010898
1	7247335	9365198	655	40	0.0001673328	0.000000016184
1	9365199	10806983	319	40	0.0000224912	0.000000006883
1	10806984	11777840	234	40	0.0000467911	0.000000006068
1	11777841	12779465	220	40	0.0000608337	0.000000006520
1	12779466	14891510	582	40	0.0000301654	0.000000014075
1	14891511	16897729	621	40	0.0000282471	0.000000013496
1	16897730	18662898	611	40	0.0000641298	0.000000014632
1	18662899	20469148	661	40	0.0000687057	0.000000014727
1	20469149	21736587	411	40	0.0000280595	0.000000009345
1	21736588	23086882	469	40	0.0001832723	0.000000013721
1	23086883	23920589	198	26	-0.0000142789	0.000000004296
1	23920590	25516844	484	40	-0.0000438950	0.000000010560
1	25516845	27401866	364	40	0.0000813466	0.000000008297
1	27401867	30161880	511	40	0.0001295882	0.000000011912
1	30161881	32438684	872	40	0.0000709779	0.000000014761
1	32438685	34799757	628	40	-0.0000265385	0.000000012852
1	34799758	37549182	524	40	0.0000441821	0.000000011888
1	37549183	38731846	339	40	0.0000452468	0.000000007984
1	38731847	40200566	416	40	0.0000493059	0.000000009494
1	40200567	41975326	514	40	0.0000294135	0.000000010434
1	41975327	43758456	501	40	-0.0000020859	0.000000009421
1	43758457	44969182	336	34	0.0000644950	0.000000007284
1	44969183	46899500	419	37	0.0000709557	0.000000007270
1	46899501	48002575	271	32	-0.0000358942	0.000000004740
1	48002576	48978187	321	40	0.0000954632	0.000000008560
1	48978188	49894176	235	28	0.0000401538	0.000000005752
1	49894177	51713725	244	24	0.0000363116	0.000000004279
1	51713726	54226261	517	40	0.0000573431	0.000000011780
1	54226262	56413116	770	40	0.0000214198	0.000000014029
1	56413117	57021727	240	29	0.0000438780	0.000000005344
1	57021728	58865398	806	40	0.0000463266	0.000000014397
1	58865399	59890408	356	40	0.0000043882	0.000000007135
1	59890409	61922364	633	40	0.0001479696	0.000000015788
1	61922365	63455088	462	40	0.0000092236	0.000000010520
1	63455089	65041703	613	40	0.0000296468	0.000000011591
1	65041704	66939403	613	40	0.0000451920	0.000000012452
1	66939404	68477894	641	40	0.0001004841	0.000000012664
1	68477895	69687615	366	40	0.0001679578	0.000000010040
1	69687616	71372469	488	40	0.0000989621	0.000000010994
1	71372470	71684404	79	10	-0.0000139829	0.000000001094
1	71684405	74326906	511	40	-0.0000179576	0.000000008337
1	74326907	76728134	682	40	0.0001045143	0.000000012641
1	76728135	79661197	894	40	0.0000246100	0.000000014076
1	79661198	81354190	448	40	0.0000614553	0.000000009838
1	81354191	83991747	925	40	0.0000682149	0.000000014720
1	83991748	84844494	298	35	0.0001011103	0.000000006759
1	84844495	86454750	609	40	0.0000065175	0.000000012486
1	86454751	88128630	532	40	0.0000115600	0.000000010912
1	88128631	90066302	496	40	0.0000222173	0.000000010245
1	90066303	91886316	535	40	0.0000801948	0.000000011650
1	91886317	93536458	462	40	0.0000686453	0.000000009341
1	93536459	94506190	236	26	0.0000038144	0.000000004073
1	94506191	96150892	613	40	0.0000141103	0.000000012819
