chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	16	0.0000878202	0.000000064703
1	1892607	3582735	440	16	0.0001651892	0.000000249482
1	3582736	4380810	275	16	0.0001335474	0.000000133911
1	4380811	5913892	878	16	0.0000136000	0.000000245753
1	5913893	7247334	433	16	0.0000883690	0.000000169867
1	7247335	9365198	706	16	0.0002298690	0.000000257660
1	9365199	10806983	355	16	0.0001858096	0.000000137433
1	10806984	11777840	260	16	-0.0000414111	0.000000111361
1	11777841	12779465	292	16	0.0000921080	0.000000146588
1	12779466	14891510	620	16	0.0000731428	0.000000253186
1	14891511	16897729	696	16	0.0002423159	0.000000266005
1	16897730	18662898	670	16	0.0002461313	0.000000271611
1	18662899	20469148	722	16	0.0000175964	0.000000263015
1	20469149	21736587	462	16	0.0001278785	0.000000181891
1	21736588	23086882	525	16	0.0000768151	0.000000226085
1	23086883	23920589	223	16	0.0000197494	0.000000076542
1	23920590	25516844	526	16	0.0001787926	0.000000227499
1	25516845	27401866	416	16	0.0002116906	0.000000137963
1	27401867	30161880	556	16	0.0000937725	0.000000195125
1	30161881	32438684	937	16	0.0000383584	0.000000241382
1	32438685	34799757	678	16	0.0000867661	0.000000245320
1	34799758	37549182	556	16	0.0001311134	0.000000209510
1	37549183	38731846	375	16	0.0001263939	0.000000135960
1	38731847	40200566	447	16	0.0002455386	0.000000179349
1	40200567	41975326	555	16	0.0003194960	0.000000195554
1	41975327	43758456	553	16	0.0001947328	0.000000181279
1	43758457	44969182	372	16	0.0001254696	0.000000117605
1	44969183	46899500	461	16	0.0005415877	0.000000133829
1	46899501	48002575	299	16	-0.0000088211	0.000000086847
1	48002576	48978187	346	16	0.0000369831	0.000000118249
1	48978188	49894176	248	16	0.0001647427	0.000000088858
1	49894177	51713725	261	16	0.0000503362	0.000000062017
1	51713726	54226261	564	16	0.0003748014	0.000000216082
1	54226262	56413116	843	16	0.0000577417	0.000000248847
1	56413117	57021727	273	16	0.0002969234	0.000000094616
1	57021728	58865398	852	16	-0.0000884189	0.000000236337
1	58865399	59890408	385	16	0.0000609036	0.000000124521
1	59890409	61922364	674	16	-0.0000078546	0.000000243625
1	61922365	63455088	544	16	0.0000735305	0.000000213434
1	63455089	65041703	659	16	-0.0000077310	0.000000198852
1	65041704	66939403	654	16	0.0001085322	0.000000206255
1	66939404	68477894	693	16	0.0001013320	0.000000197760
1	68477895	69687615	389	16	0.0000353470	0.000000136962
1	69687616	71372469	524	16	0.0001660023	0.000000182987
1	71372470	71684404	84	10	0.0000907044	0.000000024567
1	71684405	74326906	564	16	-0.0000106173	0.000000145411
1	74326907	76728134	733	16	-0.0000008793	0.000000196210
1	76728135	79661197	953	16	-0.0000119087	0.000000242440
1	79661198	81354190	478	16	0.0001980895	0.000000166671
1	81354191	83991747	979	16	0.0000946423	0.000000253942
1	83991748	84844494	319	16	0.0001078514	0.000000096950
1	84844495	86454750	657	16	0.0000076862	0.000000222776
1	86454751	88128630	576	16	-0.0000794842	0.000000195573
1	88128631	90066302	528	16	0.0001841211	0.000000185881
1	90066303	91886316	564	16	0.0002698179	0.000000205110
1	91886317	93536458	519	16	0.0000621570	0.000000151719
1	93536459	94506190	258	16	0.0000384169	0.000000072929
1	94506191	96150892	655	16	0.0002685113	0.000000242287
1	96150893	97885248	609	16	0.0003248812	0.000000183691
1	97885249	99800603	644	16	0.0000299431	0.000000198960
1	99800604	100826404	341	16	0.0000154528	0.000000090893
1	100826405	102041015	453	16	0.0001260523	0.000000141421
1	102041016	102898744	280	16	0.0003856314	0.000000118509
1	102898745	103914210	204	16	0.0004191030	0.000000073871
1	103914211	106087841	461	16	0.0000545258	0.000000152858
1	106087842	108409664	731	16	-0.0000447952	0.000000242325
1	108409665	110303930	573	16	0.0003417578	0.000000222913
1	110303931	111741736	576	16	-0.0000387706	0.000000239779
1	111741737	113273305	722	16	0.0001728089	0.000000249204
1	113273306	114873844	513	16	-0.0000585635	0.000000176716
1	114873845	115880592	349	16	0.0000934369	0.000000101695
1	115880593	118839066	840	16	0.0000787087	0.000000249465
1	118839067	144977493	574	16	0.0002957240	0.000000192100
1	144977494	148361252	435	16	0.0000100822	0.000000129310
1	148361253	151538880	353	16	0.0002997900	0.000000114199
1	151538881	153180828	478	16	0.0001219300	0.000000132748
1	153180829	154770402	462	16	0.0001847176	0.000000161976
1	154770403	156336132	307	16	0.0004661712	0.000000132216
1	156336133	158027411	598	16	0.0001669469	0.000000222505
1	158027412	159913047	691	16	0.0004085382	0.000000286543
1	159913048	162346720	896	16	0.0002432422	0.000000270180
1	162346721	165191701	1200	16	-0.0000304884	0.000000238494
1	165191702	166460516	534	16	-0.0000227920	0.000000201001
1	166460517	169086323	1118	16	-0.0000606757	0.000000247388
1	169086324	170557775	569	16	0.0000216015	0.000000149370
1	170557776	173097906	916	16	0.0006941733	0.000000274540
1	173097907	175089767	416	16	0.0000726397	0.000000087098
1	175089768	177433380	790	16	0.0001909338	0.000000244383
1	177433381	178944308	505	16	0.0000352526	0.000000151720
1	178944309	178954469	2	1	-0.0000072441	0.000000002271
1	178954470	181144120	754	16	0.0001407194	0.000000228848
1	181144121	182755355	604	16	0.0002717265	0.000000231296
1	182755356	184595512	633	16	0.0001406284	0.000000206309
1	184595513	186810022	524	16	0.0002984497	0.000000171018
1	186810023	188759944	626	16	0.0000902934	0.000000190068
1	188759945	189904129	223	16	-0.0000321450	0.000000050243
1	189904130	191868929	547	16	0.0002053207	0.000000138660
1	191868930	194107441	590	16	0.0002062978	0.000000187680
1	194107442	196176200	590	16	-0.0000214598	0.000000157756
1	196176201	197311513	199	16	0.0001481139	0.000000054190
1	197311514	199239883	517	16	0.0001835929	0.000000172284
1	199239884	200137648	308	16	0.0001929674	0.000000105938
1	200137649	201589974	713	16	0.0001589891	0.000000262697
1	201589975	203334733	615	16	0.0001996255	0.000000263795
1	203334734	204681067	489	16	0.0002886369	0.000000197095
1	204681068	206073264	577	16	0.0003125898	0.000000235597
1	206073265	208410363	643	16	0.0000139559	0.000000243766
1	208410364	210787749	944	16	0.0000386381	0.000000242857
1	210787750	212842329	705	16	0.0002912879	0.000000260576
1	212842330	214578265	619	16	0.0003357363	0.000000261961
1	214578266	216243633	598	16	0.0003399119	0.000000212592
1	216243634	218705512	1093	16	0.0001534110	0.000000240972
1	218705513	219590570	289	16	0.0000736587	0.000000090884
1	219590571	221858230	700	16	0.0000095643	0.000000229549
1	221858231	222230219	178	16	0.0000425370	0.000000062605
1	222230220	224938519	478	16	0.0002232867	0.000000179681
1	224938520	226810859	523	16	0.0000978650	0.000000183529
1	226810860	229156247	707	16	0.0002918962	0.000000250048
1	229156248	230685254	542	16	0.0004206749	0.000000242499
1	230685255	232090251	596	16	0.0004708934	0.000000255668
1	232090252	233429283	611	16	0.0000523934	0.000000264942
1	233429284	234599433	543	16	0.0000418768	0.000000220250
1	234599434	235819435	389	16	0.0000934058	0.000000174933
1	235819436	237555627	732	16	0.0001668670	0.000000259809
1	237555628	238567806	438	16	0.0001478292	0.000000177555
1	238567807	239925313	498	16	0.0000188324	0.000000187927
1	239925314	240564090	344	16	0.0001185215	0.000000131592
1	240564091	241582219	522	16	0.0000521674	0.000000259331
1	241582220	242071601	220	16	0.0003027391	0.000000106911
1	242071602	244109498	627	16	0.0000733610	0.000000242258
1	244109499	245506745	524	16	0.0001305405	0.000000258778
1	245506746	247344517	718	16	0.0000910805	0.000000263645
1	247344518	249239465	406	16	0.0000266560	0.000000164093
2	10133	1781021	676	16	0.0000528814	0.000000241405
2	1781022	3973778	973	16	0.0001011162	0.000000254103
2	3973779	5708336	632	16	0.0000698842	0.000000241787
2	5708337	6836253	571	16	0.0001935238	0.000000208006
2	6836254	8422146	657	16	0.0002339170	0.000000247910
2	8422147	10298468	678	16	0.0000208546	0.000000247718
2	10298469	12419149	978	16	0.0000822425	0.000000258820
2	12419150	14335307	595	16	0.0002728062	0.000000214274
2	14335308	16329734	752	16	-0.0000242695	0.000000226534
2	16329735	18647422	864	16	-0.0000365953	0.000000235605
2	18647423	19692403	387	16	-0.0000205083	0.000000131691
2	19692404	21050489	641	16	0.0003549936	0.000000250339
2	21050490	23341382	626	16	0.0000878939	0.000000238175
2	23341383	24686917	443	16	0.0003299190	0.000000161466
2	24686918	26894984	563	16	0.0003897368	0.000000216902
2	26894985	28598776	420	16	0.0001588856	0.000000128899
2	28598777	29217558	247	16	0.0001063180	0.000000089066
2	29217559	30463710	639	16	0.0001044240	0.000000245438
2	30463711	31550449	534	16	0.0003513075	0.000000239992
2	31550450	33363776	499	16	0.0001365152	0.000000213463
2	33363777	35345027	816	16	0.0000132246	0.000000234339
2	35345028	36122005	300	16	0.0001217360	0.000000104988
2	36122006	38132711	938	16	0.0004448829	0.000000261465
2	38132712	39031336	327	16	0.0000330670	0.000000126507
2	39031337	40281482	306	16	0.0003658822	0.000000129147
2	40281483	43309589	1316	16	0.0001907630	0.000000229593
2	43309590	44313802	408	16	0.0005825835	0.000000195954
2	44313803	46482633	1080	16	0.0003153649	0.000000263435
2	46482634	47318771	421	16	0.0000550923	0.000000202550
2	47318772	48213000	305	16	0.0000891149	0.000000157434
2	48213001	50022256	719	16	0.0001061135	0.000000232471
2	50022257	50818927	345	16	0.0000756998	0.000000122552
2	50818928	52491132	653	16	0.0002868668	0.000000242678
2	52491133	53508451	470	16	0.0000870883	0.000000166839
2	53508452	54685225	435	16	0.0002263264	0.000000168844
2	54685226	56203344	618	16	0.0002349064	0.000000233306
2	56203345	57429099	429	16	0.0000719659	0.000000157185
2	57429100	58297314	277	16	0.0000726794	0.000000098401
2	58297315	60291999	749	16	0.0000461262	0.000000227346
2	60292000	62429043	593	16	0.0001782160	0.000000230803
2	62429044	64625912	588	16	0.0003412439	0.000000227723
2	64625913	65933443	464	16	0.0000387001	0.000000178610
2	65933444	67226165	555	16	-0.0000242000	0.000000187910
2	67226166	68010175	428	16	0.0000611712	0.000000145107
2	68010176	69139563	476	16	0.0003485864	0.000000179218
2	69139564	70755197	537	16	0.0002843267	0.000000179054
2	70755198	73174847	812	16	-0.0000377295	0.000000244741
2	73174848	75630085	730	16	0.0002283951	0.000000263217
2	75630086	76913660	518	16	0.0000902337	0.000000186778
2	76913661	78079263	395	16	0.0000648821	0.000000176375
2	78079264	80050402	842	16	0.0000390352	0.000000231290
2	80050403	81620840	583	16	0.0000453899	0.000000236653
