chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	81	17	0.0000890162	0.0000000032
1	1892607	3582735	373	40	0.0000111497	0.0000000154
1	3582736	4380810	244	40	0.0000166681	0.0000000066
1	4380811	5913892	857	40	-0.0000124772	0.0000000065
1	5913893	7247334	360	40	-0.0000718633	0.0000000063
1	7247335	9365198	643	40	-0.0000645029	0.0000000110
1	9365199	10806983	299	40	-0.0002164596	0.0000000078
1	10806984	11777840	222	40	-0.0001130569	0.0000000070
1	11777841	12779465	195	40	-0.0000514752	0.0000000036
1	12779466	14891510	571	40	-0.0000575598	0.0000000085
1	14891511	16897729	596	40	-0.0000300333	0.0000000074
1	16897730	18662898	574	40	-0.0000318765	0.0000000120
1	18662899	20469148	638	40	-0.0001283020	0.0000000111
1	20469149	21736587	395	40	0.0000658714	0.0000000108
1	21736588	23086882	448	40	-0.0002021326	0.0000000131
1	23086883	23920589	182	26	-0.0002532897	0.0000000087
1	23920590	25516844	448	40	0.0002958203	0.0000000103
1	25516845	27401866	308	40	0.0001507646	0.0000000131
1	27401867	30161880	490	40	-0.0000753173	0.0000000090
1	30161881	32438684	874	40	-0.0001607378	0.0000000122
1	32438685	34799757	610	40	-0.0002703470	0.0000000097
1	34799758	37549182	514	40	-0.0001271172	0.0000000082
1	37549183	38731846	325	40	0.0000585852	0.0000000090
1	38731847	40200566	393	40	-0.0000665412	0.0000000057
1	40200567	41975326	501	40	-0.0001880697	0.0000000145
1	41975327	43758456	487	40	-0.0000513088	0.0000000100
1	43758457	44969182	305	34	0.0001011975	0.0000000046
1	44969183	46899500	374	37	0.0000582999	0.0000000084
1	46899501	48002575	257	32	0.0001335574	0.0000000084
1	48002576	48978187	332	40	0.0000394331	0.0000000075
1	48978188	49894176	231	28	0.0000513756	0.0000000028
1	49894177	51713725	246	25	0.0001953698	0.0000000058
1	51713726	54226261	496	40	0.0001048253	0.0000000099
1	54226262	56413116	743	40	0.0001070575	0.0000000098
1	56413117	57021727	248	30	-0.0000717240	0.0000000055
1	57021728	58865398	827	40	-0.0000336592	0.0000000083
1	58865399	59890408	356	40	-0.0000458295	0.0000000063
1	59890409	61922364	636	40	-0.0001513137	0.0000000091
1	61922365	63455088	430	40	0.0000352296	0.0000000068
1	63455089	65041703	621	40	-0.0000742592	0.0000000072
1	65041704	66939403	606	40	-0.0000046499	0.0000000102
1	66939404	68477894	636	40	0.0000216195	0.0000000102
1	68477895	69687615	370	40	0.0001845390	0.0000000073
1	69687616	71372469	494	40	-0.0000448441	0.0000000062
1	71372470	71684404	78	10	-0.0000368379	0.0000000012
1	71684405	74326906	511	40	0.0000240742	0.0000000058
1	74326907	76728134	655	40	-0.0000226611	0.0000000094
1	76728135	79661197	893	40	-0.0000841982	0.0000000107
1	79661198	81354190	472	40	-0.0000460559	0.0000000058
1	81354191	83991747	944	40	0.0000110947	0.0000000084
1	83991748	84844494	311	36	0.0000652743	0.0000000055
1	84844495	86454750	598	40	-0.0000247759	0.0000000099
1	86454751	88128630	522	40	-0.0001304696	0.0000000098
1	88128631	90066302	491	40	-0.0001174539	0.0000000114
