chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	0.0000424910	0.0000000233
1	1892607	3582735	437	40	0.0000782615	0.0000000898
1	3582736	4380810	271	40	-0.0000620048	0.0000000643
1	4380811	5913892	867	40	-0.0000417173	0.0000000984
1	5913893	7247334	428	40	-0.0001019097	0.0000000667
1	7247335	9365198	699	40	-0.0000138011	0.0000001032
1	9365199	10806983	351	40	-0.0000027959	0.0000000521
1	10806984	11777840	258	40	0.0000697540	0.0000000528
1	11777841	12779465	281	40	0.0000350245	0.0000000530
1	12779466	14891510	617	40	0.0000664331	0.0000001024
1	14891511	16897729	688	40	-0.0000814642	0.0000001048
1	16897730	18662898	661	40	-0.0001247232	0.0000001037
1	18662899	20469148	711	40	-0.0001385501	0.0000001043
1	20469149	21736587	461	40	-0.0001620657	0.0000000781
1	21736588	23086882	523	40	0.0000435037	0.0000000887
1	23086883	23920589	222	28	0.0001363797	0.0000000357
1	23920590	25516844	520	40	-0.0000869403	0.0000000929
1	25516845	27401866	413	40	-0.0000950270	0.0000000520
1	27401867	30161880	550	40	0.0001480558	0.0000000776
1	30161881	32438684	935	40	0.0000011254	0.0000001014
1	32438685	34799757	675	40	-0.0002215878	0.0000000980
1	34799758	37549182	549	40	-0.0001182083	0.0000000831
1	37549183	38731846	371	40	0.0001039991	0.0000000570
1	38731847	40200566	447	40	-0.0000062872	0.0000000783
1	40200567	41975326	555	40	0.0001051437	0.0000000826
1	41975327	43758456	542	40	0.0001334492	0.0000000779
1	43758457	44969182	371	35	0.0001082955	0.0000000543
1	44969183	46899500	458	38	0.0000049957	0.0000000492
1	46899501	48002575	297	33	0.0000657644	0.0000000423
1	48002576	48978187	344	40	0.0000604551	0.0000000547
1	48978188	49894176	247	28	0.0000657006	0.0000000393
1	49894177	51713725	259	25	0.0000396107	0.0000000372
1	51713726	54226261	562	40	-0.0002961968	0.0000000814
1	54226262	56413116	837	40	-0.0003531813	0.0000001043
1	56413117	57021727	271	31	0.0001619513	0.0000000416
1	57021728	58865398	847	40	0.0000647479	0.0000000985
1	58865399	59890408	383	40	0.0001235979	0.0000000612
1	59890409	61922364	671	40	-0.0000840723	0.0000000962
1	61922365	63455088	533	40	0.0000698525	0.0000000850
1	63455089	65041703	656	40	-0.0000611839	0.0000000804
1	65041704	66939403	649	40	0.0000386266	0.0000000847
1	66939404	68477894	687	40	0.0000810707	0.0000000818
1	68477895	69687615	389	40	-0.0000090025	0.0000000586
1	69687616	71372469	520	40	-0.0000483237	0.0000000784
1	71372470	71684404	82	10	-0.0001044407	0.0000000105
1	71684405	74326906	559	40	0.0000362405	0.0000000676
1	74326907	76728134	727	40	0.0001101851	0.0000000841
1	76728135	79661197	946	40	-0.0002750923	0.0000000984
1	79661198	81354190	475	40	0.0003162475	0.0000000709
1	81354191	83991747	973	40	0.0002308772	0.0000001016
1	83991748	84844494	314	35	-0.0001255038	0.0000000430
1	84844495	86454750	652	40	0.0000612575	0.0000000987
1	86454751	88128630	571	40	0.0001296997	0.0000000851
1	88128631	90066302	523	40	-0.0000972528	0.0000000746
1	90066303	91886316	559	40	-0.0001484393	0.0000000838
1	91886317	93536458	509	40	-0.0000886859	0.0000000669
1	93536459	94506190	255	26	0.0000467895	0.0000000301
1	94506191	96150892	651	40	0.0001563107	0.0000000912
1	96150893	97885248	605	40	0.0001176552	0.0000000761
1	97885249	99800603	640	40	-0.0002331648	0.0000000873
1	99800604	100826404	339	37	-0.0000878436	0.0000000454
