chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	102	19	-0.0000443087	0.0000000045
1	1892607	3582735	428	40	-0.0000175416	0.0000000185
1	3582736	4380810	263	40	-0.0000744281	0.0000000087
1	4380811	5913892	844	40	-0.0000337454	0.0000000214
1	5913893	7247334	420	40	-0.0002465211	0.0000000162
1	7247335	9365198	678	40	0.0001876315	0.0000000226
1	9365199	10806983	345	40	0.0000733999	0.0000000116
1	10806984	11777840	249	40	-0.0000412151	0.0000000101
1	11777841	12779465	275	40	-0.0000014164	0.0000000125
1	12779466	14891510	602	40	-0.0000999116	0.0000000214
1	14891511	16897729	655	40	-0.0000064984	0.0000000210
1	16897730	18662898	638	40	0.0000686565	0.0000000222
1	18662899	20469148	697	40	0.0000037509	0.0000000226
1	20469149	21736587	445	40	-0.0000603797	0.0000000148
1	21736588	23086882	502	40	0.0000467293	0.0000000200
1	23086883	23920589	219	28	0.0000016940	0.0000000068
1	23920590	25516844	509	40	0.0000388577	0.0000000168
1	25516845	27401866	402	40	-0.0000087685	0.0000000137
1	27401867	30161880	534	40	0.0000383881	0.0000000170
1	30161881	32438684	889	40	0.0000684455	0.0000000215
1	32438685	34799757	658	40	-0.0000471142	0.0000000195
1	34799758	37549182	543	40	0.0000839030	0.0000000173
1	37549183	38731846	364	40	0.0000592318	0.0000000124
1	38731847	40200566	436	40	-0.0000215790	0.0000000147
1	40200567	41975326	539	40	0.0000472288	0.0000000163
1	41975327	43758456	521	40	-0.0001092359	0.0000000138
1	43758457	44969182	359	35	0.0000144747	0.0000000115
1	44969183	46899500	446	38	0.0001133928	0.0000000118
1	46899501	48002575	290	33	-0.0001251471	0.0000000092
1	48002576	48978187	331	40	-0.0000528794	0.0000000125
1	48978188	49894176	243	28	-0.0000836481	0.0000000086
1	49894177	51713725	254	25	-0.0000251854	0.0000000062
1	51713726	54226261	552	40	0.0000177735	0.0000000188
1	54226262	56413116	812	40	0.0000951807	0.0000000209
1	56413117	57021727	259	30	-0.0000602560	0.0000000087
1	57021728	58865398	824	40	-0.0000475290	0.0000000202
1	58865399	59890408	370	40	-0.0001261021	0.0000000107
1	59890409	61922364	657	40	0.0000377241	0.0000000218
1	61922365	63455088	516	40	0.0001190621	0.0000000168
1	63455089	65041703	635	40	0.0000963174	0.0000000170
1	65041704	66939403	636	40	-0.0000309046	0.0000000174
1	66939404	68477894	670	40	-0.0000050806	0.0000000183
1	68477895	69687615	374	40	-0.0000465895	0.0000000138
1	69687616	71372469	507	40	0.0000852390	0.0000000157
1	71372470	71684404	82	10	0.0000182737	0.0000000021
1	71684405	74326906	545	40	-0.0000490382	0.0000000129
1	74326907	76728134	714	40	-0.0000700903	0.0000000183
1	76728135	79661197	923	40	0.0000249613	0.0000000203
1	79661198	81354190	453	40	0.0001056506	0.0000000140
1	81354191	83991747	945	40	0.0001008796	0.0000000212
1	83991748	84844494	306	35	-0.0000171636	0.0000000091
1	84844495	86454750	633	40	0.0000777911	0.0000000183
1	86454751	88128630	551	40	0.0000178666	0.0000000160
1	88128631	90066302	509	40	0.0000792000	0.0000000161
1	90066303	91886316	546	40	0.0001154635	0.0000000178
1	91886317	93536458	494	40	0.0000157977	0.0000000137
1	93536459	94506190	252	26	-0.0000559072	0.0000000067
1	94506191	96150892	632	40	-0.0000671292	0.0000000190
1	96150893	97885248	588	40	0.0001585718	0.0000000158
1	97885249	99800603	625	40	-0.0000576801	0.0000000169
1	99800604	100826404	331	36	0.0000318322	0.0000000088
1	100826405	102041015	438	40	-0.0000276156	0.0000000133
1	102041016	102898744	272	36	-0.0000773129	0.0000000087
1	102898745	103914210	198	21	-0.0000620238	0.0000000052
1	103914211	106087841	444	40	0.0000491735	0.0000000129
1	106087842	108409664	717	40	-0.0000966261	0.0000000210
1	108409665	110303930	556	40	-0.0000095001	0.0000000176
1	110303931	111741736	556	40	0.0000228704	0.0000000209
1	111741737	113273305	703	40	-0.0001141469	0.0000000206
1	113273306	114873844	503	40	0.0001417006	0.0000000158
1	114873845	115880592	338	36	-0.0000142718	0.0000000098
1	115880593	118839066	824	40	0.0000148769	0.0000000218
1	118839067	144977493	553	40	-0.0000036222	0.0000000184
1	144977494	148361252	425	40	-0.0000809763	0.0000000145
1	148361253	151538880	348	34	-0.0000641700	0.0000000105
1	151538881	153180828	463	40	-0.0000079511	0.0000000117
1	153180829	154770402	445	40	0.0000694586	0.0000000156
1	154770403	156336132	302	38	-0.0000582995	0.0000000137
1	156336133	158027411	593	40	0.0000095140	0.0000000189
1	158027412	159913047	657	40	0.0000851050	0.0000000226
1	159913048	162346720	856	40	-0.0000038723	0.0000000214
1	162346721	165191701	1171	40	-0.0000290489	0.0000000212
1	165191702	166460516	520	40	0.0000058834	0.0000000171
1	166460517	169086323	1082	40	0.0000208671	0.0000000211
1	169086324	170557775	552	40	0.0001129471	0.0000000130
1	170557776	173097906	874	40	0.0000790377	0.0000000208
1	173097907	175089767	405	32	-0.0000478042	0.0000000087
1	175089768	177433380	763	40	0.0001365821	0.0000000219
1	177433381	178944308	475	40	0.0001068254	0.0000000152
1	178944309	178954469	2	1	-0.0000129308	0.0000000002
1	178954470	181144120	726	40	-0.0000826554	0.0000000194
1	181144121	182755355	584	40	-0.0000178187	0.0000000172
1	182755356	184595512	610	40	0.0000063669	0.0000000180
1	184595513	186810022	512	40	-0.0000930886	0.0000000145
1	186810023	188759944	604	40	0.0000553840	0.0000000162
1	188759945	189904129	211	17	-0.0000487522	0.0000000050
1	189904130	191868929	530	40	0.0000232605	0.0000000127
1	191868930	194107441	558	40	0.0000666764	0.0000000160
1	194107442	196176200	561	40	0.0002505775	0.0000000151
1	196176201	197311513	189	16	-0.0000597732	0.0000000045
1	197311514	199239883	492	40	0.0001266680	0.0000000163
1	199239884	200137648	296	35	-0.0000430091	0.0000000093
1	200137649	201589974	687	40	0.0000323306	0.0000000204
1	201589975	203334733	598	40	-0.0001226004	0.0000000206
1	203334734	204681067	476	40	-0.0000286106	0.0000000163
1	204681068	206073264	564	40	0.0001372556	0.0000000186
1	206073265	208410363	608	40	0.0000368676	0.0000000211
1	208410364	210787749	899	40	-0.0001126854	0.0000000228
1	210787750	212842329	680	40	0.0000368485	0.0000000212
1	212842330	214578265	603	40	-0.0001202677	0.0000000206
1	214578266	216243633	579	40	-0.0000054713	0.0000000184
1	216243634	218705512	1064	40	0.0000016762	0.0000000192
1	218705513	219590570	274	33	-0.0000190515	0.0000000083
1	219590571	221858230	676	40	0.0000139411	0.0000000205
1	221858231	222230219	170	21	-0.0000358178	0.0000000055
1	222230220	224938519	449	40	0.0000906159	0.0000000152
1	224938520	226810859	501	40	-0.0000814267	0.0000000160
1	226810860	229156247	681	40	0.0000077872	0.0000000197
1	229156248	230685254	521	40	-0.0001275077	0.0000000182
1	230685255	232090251	578	40	0.0000284595	0.0000000198
1	232090252	233429283	593	40	-0.0000780313	0.0000000203
1	233429284	234599433	520	40	0.0000034401	0.0000000176
1	234599434	235819435	376	40	-0.0001170308	0.0000000155
1	235819436	237555627	711	40	-0.0000567525	0.0000000210
1	237555628	238567806	421	40	0.0000580978	0.0000000158
1	238567807	239925313	480	40	0.0000070987	0.0000000166
1	239925314	240564090	327	40	0.0001253207	0.0000000118
1	240564091	241582219	509	40	0.0000779875	0.0000000195
1	241582220	242071601	215	38	0.0000184901	0.0000000095
1	242071602	244109498	608	40	-0.0001083957	0.0000000203
1	244109499	245506745	506	40	0.0000353540	0.0000000185
1	245506746	247344517	688	40	0.0000515377	0.0000000212
1	247344518	249239465	380	40	0.0000222089	0.0000000145
2	10133	1781021	664	40	0.0000025004	0.0000000204
2	1781022	3973778	966	40	-0.0000387362	0.0000000220
2	3973779	5708336	630	40	-0.0001354144	0.0000000207
2	5708337	6836253	566	40	-0.0000587012	0.0000000185
2	6836254	8422146	655	40	0.0000023078	0.0000000202
2	8422147	10298468	674	40	0.0002158118	0.0000000212
2	10298469	12419149	972	40	0.0000193420	0.0000000210
2	12419150	14335307	594	40	0.0000053465	0.0000000184
2	14335308	16329734	745	40	0.0000659971	0.0000000199
2	16329735	18647422	859	40	-0.0000060611	0.0000000196
2	18647423	19692403	383	40	-0.0000641190	0.0000000121
2	19692404	21050489	635	40	-0.0000022536	0.0000000196
2	21050490	23341382	621	40	-0.0000166978	0.0000000222
2	23341383	24686917	441	40	0.0000009641	0.0000000169
2	24686918	26894984	559	40	-0.0000343164	0.0000000189
2	26894985	28598776	416	33	-0.0000171917	0.0000000129
2	28598777	29217558	246	32	0.0000054617	0.0000000090
2	29217559	30463710	635	40	0.0001205016	0.0000000203
2	30463711	31550449	530	40	-0.0000990564	0.0000000210
2	31550450	33363776	494	40	0.0002032036	0.0000000188
2	33363777	35345027	802	40	0.0000175582	0.0000000195
2	35345028	36122005	290	30	0.0000136310	0.0000000096
2	36122006	38132711	921	40	0.0000045469	0.0000000199
2	38132712	39031336	326	38	0.0000417341	0.0000000114
