chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	103	19	-0.0000734705	0.0000000028
1	1892607	3582735	446	40	-0.0004398082	0.0000000120
1	3582736	4380810	280	40	0.0000132480	0.0000000048
1	4380811	5913892	879	40	0.0000141653	0.0000000043
1	5913893	7247334	435	40	-0.0000282909	0.0000000046
1	7247335	9365198	706	40	0.0001030487	0.0000000087
1	9365199	10806983	354	40	-0.0001219824	0.0000000061
1	10806984	11777840	261	40	0.0000671332	0.0000000051
1	11777841	12779465	291	40	-0.0001143574	0.0000000043
1	12779466	14891510	619	40	-0.0000726325	0.0000000061
1	14891511	16897729	697	40	0.0000257037	0.0000000052
1	16897730	18662898	674	40	-0.0000372228	0.0000000098
1	18662899	20469148	732	40	0.0001548249	0.0000000082
1	20469149	21736587	462	40	-0.0002805120	0.0000000080
1	21736588	23086882	526	40	-0.0001657673	0.0000000072
1	23086883	23920589	224	28	-0.0002183162	0.0000000071
1	23920590	25516844	526	40	0.0000492100	0.0000000074
1	25516845	27401866	415	40	-0.0003607063	0.0000000098
1	27401867	30161880	558	40	0.0000285758	0.0000000071
1	30161881	32438684	940	40	0.0000080802	0.0000000082
1	32438685	34799757	678	40	0.0000228090	0.0000000060
1	34799758	37549182	561	40	-0.0000045462	0.0000000057
1	37549183	38731846	375	40	-0.0000008052	0.0000000067
1	38731847	40200566	449	40	0.0000969141	0.0000000046
1	40200567	41975326	559	40	-0.0001917403	0.0000000113
1	41975327	43758456	553	40	0.0000576010	0.0000000074
1	43758457	44969182	373	36	0.0000207077	0.0000000038
1	44969183	46899500	462	39	-0.0003392931	0.0000000081
1	46899501	48002575	298	33	-0.0000784520	0.0000000063
1	48002576	48978187	346	40	-0.0002141793	0.0000000053
1	48978188	49894176	248	28	-0.0000340049	0.0000000019
1	49894177	51713725	261	25	-0.0001472821	0.0000000044
1	51713726	54226261	566	40	-0.0002293784	0.0000000080
1	54226262	56413116	843	40	-0.0000490699	0.0000000071
1	56413117	57021727	274	31	0.0001040333	0.0000000041
1	57021728	58865398	857	40	-0.0000139091	0.0000000057
1	58865399	59890408	385	40	0.0001142556	0.0000000050
1	59890409	61922364	677	40	0.0000729644	0.0000000065
1	61922365	63455088	537	40	0.0000456146	0.0000000053
1	63455089	65041703	661	40	-0.0000910772	0.0000000053
1	65041704	66939403	655	40	0.0000324026	0.0000000082
1	66939404	68477894	692	40	0.0000286576	0.0000000071
1	68477895	69687615	390	40	-0.0000373144	0.0000000034
1	69687616	71372469	524	40	0.0000026784	0.0000000051
1	71372470	71684404	83	10	-0.0000140460	0.0000000011
1	71684405	74326906	565	40	-0.0001113217	0.0000000042
1	74326907	76728134	734	40	-0.0001092718	0.0000000071
1	76728135	79661197	964	40	0.0000132678	0.0000000076
1	79661198	81354190	480	40	0.0001004859	0.0000000039
1	81354191	83991747	979	40	0.0000599789	0.0000000054
1	83991748	84844494	320	36	-0.0000934464	0.0000000039
1	84844495	86454750	657	40	-0.0000522418	0.0000000075
1	86454751	88128630	580	40	-0.0000510886	0.0000000070
1	88128631	90066302	530	40	-0.0002445352	0.0000000084
1	90066303	91886316	570	40	-0.0000469518	0.0000000050
1	91886317	93536458	517	40	-0.0000759774	0.0000000085
1	93536459	94506190	258	27	0.0000402013	0.0000000041
1	94506191	96150892	654	40	0.0001234046	0.0000000062
1	96150893	97885248	615	40	-0.0001111296	0.0000000052
1	97885249	99800603	646	40	-0.0000753663	0.0000000046
1	99800604	100826404	342	37	-0.0001556547	0.0000000028
1	100826405	102041015	454	40	-0.0000791710	0.0000000049
1	102041016	102898744	281	37	0.0000350544	0.0000000035
