chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	100	18	-0.0001363496	0.0000000084
1	1892607	3582735	441	40	0.0002134368	0.0000000230
1	3582736	4380810	272	40	0.0000487438	0.0000000137
1	4380811	5913892	858	40	0.0001394605	0.0000000210
1	5913893	7247334	427	40	0.0002274455	0.0000000163
1	7247335	9365198	696	40	0.0000059802	0.0000000215
1	9365199	10806983	352	40	0.0001222130	0.0000000142
1	10806984	11777840	253	40	0.0000178724	0.0000000100
1	11777841	12779465	284	40	0.0001260307	0.0000000169
1	12779466	14891510	616	40	-0.0002332305	0.0000000236
1	14891511	16897729	692	40	-0.0001063668	0.0000000290
1	16897730	18662898	666	40	0.0002057830	0.0000000220
1	18662899	20469148	714	40	-0.0000790318	0.0000000255
1	20469149	21736587	459	40	0.0000108790	0.0000000181
1	21736588	23086882	521	40	-0.0000166750	0.0000000222
1	23086883	23920589	220	28	-0.0000391973	0.0000000131
1	23920590	25516844	519	40	-0.0000036575	0.0000000222
1	25516845	27401866	411	40	-0.0001119722	0.0000000173
1	27401867	30161880	546	40	0.0000602910	0.0000000217
1	30161881	32438684	929	40	0.0000703852	0.0000000231
1	32438685	34799757	673	40	0.0000306613	0.0000000215
1	34799758	37549182	554	40	0.0000130262	0.0000000187
1	37549183	38731846	368	40	-0.0001615177	0.0000000172
1	38731847	40200566	446	40	0.0000447066	0.0000000166
1	40200567	41975326	551	40	0.0000199370	0.0000000160
1	41975327	43758456	539	40	0.0000792573	0.0000000156
1	43758457	44969182	368	35	-0.0000177577	0.0000000107
1	44969183	46899500	457	38	0.0000666974	0.0000000137
1	46899501	48002575	297	33	0.0000928941	0.0000000150
1	48002576	48978187	342	40	-0.0001108607	0.0000000137
1	48978188	49894176	247	28	0.0000596668	0.0000000095
1	49894177	51713725	255	25	0.0000976568	0.0000000099
1	51713726	54226261	561	40	-0.0000375118	0.0000000178
1	54226262	56413116	828	40	0.0000523532	0.0000000227
1	56413117	57021727	271	31	-0.0000056821	0.0000000089
1	57021728	58865398	846	40	0.0000449024	0.0000000210
1	58865399	59890408	383	40	-0.0000429555	0.0000000133
1	59890409	61922364	667	40	0.0000466959	0.0000000253
1	61922365	63455088	533	40	-0.0001114880	0.0000000219
1	63455089	65041703	658	40	-0.0000825717	0.0000000178
1	65041704	66939403	641	40	-0.0001211300	0.0000000218
1	66939404	68477894	679	40	0.0001661529	0.0000000190
1	68477895	69687615	375	40	0.0000828915	0.0000000150
1	69687616	71372469	515	40	0.0000239535	0.0000000158
1	71372470	71684404	82	10	-0.0000415041	0.0000000024
1	71684405	74326906	556	40	-0.0000150439	0.0000000160
1	74326907	76728134	711	40	0.0000415452	0.0000000175
1	76728135	79661197	943	40	-0.0000402759	0.0000000222
1	79661198	81354190	466	40	0.0000389621	0.0000000124
1	81354191	83991747	960	40	0.0000476579	0.0000000215
1	83991748	84844494	312	35	-0.0000300954	0.0000000097
1	84844495	86454750	643	40	0.0001463876	0.0000000205
1	86454751	88128630	564	40	-0.0000549316	0.0000000187
1	88128631	90066302	517	40	-0.0000759519	0.0000000170
1	90066303	91886316	557	40	-0.0000529022	0.0000000202
1	91886317	93536458	508	40	0.0001367214	0.0000000142
1	93536459	94506190	255	26	-0.0000113968	0.0000000095
