chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	14	-0.0000954479	0.000000064906
1	1892607	3582735	443	14	0.0001266597	0.000000343284
1	3582736	4380810	275	14	0.0000065363	0.000000173628
1	4380811	5913892	878	14	0.0000501112	0.000000349970
1	5913893	7247334	434	14	-0.0000231518	0.000000229194
1	7247335	9365198	706	14	0.0001223839	0.000000357862
1	9365199	10806983	355	14	0.0003793179	0.000000195707
1	10806984	11777840	260	14	0.0000731091	0.000000161879
1	11777841	12779465	293	14	-0.0000116910	0.000000194954
1	12779466	14891510	620	14	0.0000045088	0.000000352342
1	14891511	16897729	695	14	-0.0000026614	0.000000358580
1	16897730	18662898	670	14	0.0000049030	0.000000360855
1	18662899	20469148	724	14	0.0000821013	0.000000372287
1	20469149	21736587	462	14	0.0001923996	0.000000245856
1	21736588	23086882	526	14	0.0000279345	0.000000315316
1	23086883	23920589	223	14	0.0000811031	0.000000106468
1	23920590	25516844	527	14	0.0002793637	0.000000325888
1	25516845	27401866	416	14	0.0002010518	0.000000192028
1	27401867	30161880	556	14	0.0001168012	0.000000272186
1	30161881	32438684	939	14	0.0001956989	0.000000346820
1	32438685	34799757	678	14	0.0000908173	0.000000341732
1	34799758	37549182	559	14	0.0000282144	0.000000291425
1	37549183	38731846	375	14	0.0000630345	0.000000180990
1	38731847	40200566	448	14	0.0001116647	0.000000236371
1	40200567	41975326	556	14	0.0002119014	0.000000268163
1	41975327	43758456	553	14	0.0000287592	0.000000231914
1	43758457	44969182	374	14	0.0002264055	0.000000165846
1	44969183	46899500	463	14	0.0006282178	0.000000187862
1	46899501	48002575	299	14	0.0000978811	0.000000125045
1	48002576	48978187	346	14	0.0001685420	0.000000175320
1	48978188	49894176	248	14	0.0002702831	0.000000130884
1	49894177	51713725	261	14	0.0001856298	0.000000095583
1	51713726	54226261	564	14	0.0006078539	0.000000314788
1	54226262	56413116	843	14	0.0000437872	0.000000349899
1	56413117	57021727	274	14	0.0001626269	0.000000118113
1	57021728	58865398	853	14	-0.0000520920	0.000000334751
1	58865399	59890408	385	14	0.0001906228	0.000000177551
1	59890409	61922364	676	14	0.0000215546	0.000000351672
1	61922365	63455088	544	14	0.0000553694	0.000000294623
1	63455089	65041703	660	14	0.0000484957	0.000000284769
1	65041704	66939403	655	14	0.0000451649	0.000000286417
1	66939404	68477894	693	14	0.0001997416	0.000000287311
1	68477895	69687615	391	14	-0.0001146999	0.000000188668
1	69687616	71372469	524	14	-0.0000235131	0.000000239810
1	71372470	71684404	84	10	0.0000215707	0.000000028389
1	71684405	74326906	566	14	-0.0000852005	0.000000199873
1	74326907	76728134	734	14	0.0000511883	0.000000277027
1	76728135	79661197	956	14	0.0000458487	0.000000352820
1	79661198	81354190	479	14	0.0002310240	0.000000235247
1	81354191	83991747	980	14	0.0000494462	0.000000359049
1	83991748	84844494	317	14	-0.0001681053	0.000000111633
1	84844495	86454750	657	14	0.0000728595	0.000000325538
1	86454751	88128630	576	14	-0.0000075162	0.000000286450
1	88128631	90066302	529	14	0.0000492190	0.000000244831
1	90066303	91886316	564	14	0.0003797253	0.000000296483
1	91886317	93536458	519	14	0.0001024429	0.000000216411
1	93536459	94506190	258	14	0.0000610228	0.000000102542
1	94506191	96150892	656	14	0.0000845281	0.000000329208
1	96150893	97885248	609	14	0.0002317545	0.000000246132
1	97885249	99800603	644	14	-0.0000505398	0.000000275388
1	99800604	100826404	341	14	0.0000158221	0.000000127902
1	100826405	102041015	453	14	0.0000423371	0.000000194351
1	102041016	102898744	281	14	0.0001751946	0.000000142834
1	102898745	103914210	204	14	0.0003900268	0.000000096734
1	103914211	106087841	461	14	0.0000300207	0.000000211413
1	106087842	108409664	731	14	-0.0000344662	0.000000347002
1	108409665	110303930	574	14	0.0000911918	0.000000295472
1	110303931	111741736	575	14	0.0000168551	0.000000344846
1	111741737	113273305	724	14	0.0001505721	0.000000355659
1	113273306	114873844	514	14	-0.0001031668	0.000000252483
1	114873845	115880592	349	14	0.0000965442	0.000000140941
1	115880593	118839066	840	14	0.0000123144	0.000000344616
1	118839067	144977493	575	14	0.0003850376	0.000000269182
1	144977494	148361252	436	14	0.0002085038	0.000000197152
1	148361253	151538880	354	14	0.0004183672	0.000000162507
1	151538881	153180828	478	14	0.0000667578	0.000000179127
1	153180829	154770402	462	14	0.0002405897	0.000000222605
1	154770403	156336132	307	14	0.0005041433	0.000000182814
1	156336133	158027411	598	14	0.0000745425	0.000000303592
1	158027412	159913047	689	14	0.0002884033	0.000000379083
1	159913048	162346720	896	14	0.0002087253	0.000000376956
1	162346721	165191701	1202	14	-0.0001011975	0.000000337273
1	165191702	166460516	535	14	-0.0000331258	0.000000286186
1	166460517	169086323	1118	14	0.0000484130	0.000000361446
1	169086324	170557775	567	14	-0.0000500949	0.000000206813
1	170557776	173097906	916	14	0.0008556926	0.000000394421
1	173097907	175089767	416	14	0.0000585939	0.000000120362
1	175089768	177433380	791	14	0.0003072756	0.000000349844
1	177433381	178944308	505	14	0.0000616483	0.000000214029
1	178944309	178954469	2	1	-0.0000224248	0.000000001085
1	178954470	181144120	754	14	0.0000169202	0.000000319854
1	181144121	182755355	605	14	0.0001392142	0.000000320304
1	182755356	184595512	633	14	0.0000381557	0.000000277701
1	184595513	186810022	525	14	0.0002055326	0.000000227514
1	186810023	188759944	626	14	0.0001002693	0.000000267438
1	188759945	189904129	223	14	0.0000385244	0.000000076485
1	189904130	191868929	549	14	0.0001226695	0.000000189986
1	191868930	194107441	590	14	0.0001529255	0.000000259340
1	194107442	196176200	590	14	0.0000755058	0.000000227028
1	196176201	197311513	199	14	0.0002364168	0.000000078665
1	197311514	199239883	517	14	0.0000172378	0.000000225838
1	199239884	200137648	308	14	0.0002733022	0.000000153397
1	200137649	201589974	711	14	0.0003636004	0.000000378943
1	201589975	203334733	618	14	-0.0000155697	0.000000359547
1	203334734	204681067	489	14	-0.0000208625	0.000000248357
1	204681068	206073264	577	14	0.0001109553	0.000000318097
1	206073265	208410363	644	14	-0.0000746981	0.000000333214
