chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	97	14	0.0002191700	0.000000061760
1	1892607	3582735	440	14	0.0000041975	0.000000249774
1	3582736	4380810	273	14	0.0003544481	0.000000164879
1	4380811	5913892	870	14	0.0000465489	0.000000339045
1	5913893	7247334	430	14	0.0000628109	0.000000225574
1	7247335	9365198	701	14	0.0000925019	0.000000342177
1	9365199	10806983	352	14	0.0000010264	0.000000158377
1	10806984	11777840	259	14	0.0000598398	0.000000136487
1	11777841	12779465	282	14	-0.0000150855	0.000000148597
1	12779466	14891510	618	14	0.0001348625	0.000000345065
1	14891511	16897729	690	14	-0.0000211022	0.000000334433
1	16897730	18662898	666	14	0.0000907199	0.000000342056
1	18662899	20469148	713	14	-0.0001002556	0.000000329038
1	20469149	21736587	461	14	0.0002003873	0.000000242052
1	21736588	23086882	523	14	0.0001803664	0.000000303431
1	23086883	23920589	222	14	0.0000864897	0.000000110568
1	23920590	25516844	522	14	0.0002531937	0.000000305355
1	25516845	27401866	413	14	-0.0000635011	0.000000169589
1	27401867	30161880	552	14	0.0001284575	0.000000259667
1	30161881	32438684	936	14	0.0001620363	0.000000346917
1	32438685	34799757	675	14	0.0000790042	0.000000341257
1	34799758	37549182	552	14	0.0000955949	0.000000279620
1	37549183	38731846	373	14	-0.0001864146	0.000000164704
1	38731847	40200566	447	14	0.0002289616	0.000000235398
1	40200567	41975326	555	14	0.0001787636	0.000000267484
1	41975327	43758456	543	14	0.0002900313	0.000000258958
1	43758457	44969182	371	14	0.0002071487	0.000000167585
1	44969183	46899500	458	14	0.0000598343	0.000000158990
1	46899501	48002575	297	14	0.0001691485	0.000000134082
1	48002576	48978187	344	14	0.0000713734	0.000000175289
1	48978188	49894176	247	14	0.0000357701	0.000000120586
1	49894177	51713725	260	14	0.0004529699	0.000000119444
1	51713726	54226261	563	14	-0.0000271151	0.000000275770
1	54226262	56413116	838	14	0.0005209156	0.000000371381
1	56413117	57021727	272	14	0.0000175845	0.000000113585
1	57021728	58865398	850	14	0.0000419276	0.000000338730
1	58865399	59890408	383	14	0.0003094017	0.000000189996
1	59890409	61922364	671	14	-0.0001208753	0.000000327632
1	61922365	63455088	534	14	0.0001971422	0.000000283535
1	63455089	65041703	657	14	-0.0000439135	0.000000278378
1	65041704	66939403	649	14	0.0001203368	0.000000302384
1	66939404	68477894	687	14	0.0000809746	0.000000286114
1	68477895	69687615	389	14	0.0000243294	0.000000183739
1	69687616	71372469	520	14	0.0000639851	0.000000237849
1	71372470	71684404	82	10	-0.0000041142	0.000000028084
1	71684405	74326906	559	14	0.0000515690	0.000000212045
1	74326907	76728134	726	14	0.0001266880	0.000000286969
1	76728135	79661197	949	14	-0.0000234276	0.000000334275
1	79661198	81354190	475	14	0.0002190384	0.000000232589
1	81354191	83991747	972	14	0.0000506758	0.000000339326
1	83991748	84844494	314	14	0.0001065362	0.000000128574
1	84844495	86454750	652	14	0.0003411195	0.000000336547
1	86454751	88128630	572	14	0.0000195319	0.000000272962
1	88128631	90066302	523	14	0.0001014803	0.000000247627
1	90066303	91886316	563	14	0.0003188714	0.000000278464
1	91886317	93536458	508	14	0.0000735035	0.000000207200
1	93536459	94506190	255	14	-0.0000194607	0.000000092726
1	94506191	96150892	651	14	-0.0000299184	0.000000315146
1	96150893	97885248	605	14	0.0001002672	0.000000239586
1	97885249	99800603	640	14	0.0001781675	0.000000281502
1	99800604	100826404	339	14	0.0002846213	0.000000148355
1	100826405	102041015	447	14	0.0000087588	0.000000194443
1	102041016	102898744	278	14	0.0000936141	0.000000121904
1	102898745	103914210	201	14	-0.0000773868	0.000000068399
1	103914211	106087841	455	14	0.0001395949	0.000000214479
1	106087842	108409664	726	14	-0.0001009010	0.000000328994
1	108409665	110303930	564	14	0.0004381537	0.000000276283
1	110303931	111741736	571	14	0.0000651408	0.000000317758
1	111741737	113273305	721	14	0.0000696457	0.000000340619
1	113273306	114873844	511	14	0.0002385352	0.000000261286
1	114873845	115880592	346	14	0.0004190456	0.000000166590
1	115880593	118839066	838	14	-0.0000557117	0.000000332074
1	118839067	144977493	567	14	0.0001936648	0.000000265557
1	144977494	148361252	432	14	0.0002879581	0.000000216106
1	148361253	151538880	349	14	0.0002040759	0.000000153427
1	151538881	153180828	467	14	0.0002394192	0.000000196893
1	153180829	154770402	460	14	0.0001326602	0.000000214714
1	154770403	156336132	307	14	0.0002159426	0.000000157530
1	156336133	158027411	599	14	0.0001405674	0.000000300725
1	158027412	159913047	685	14	0.0000294233	0.000000337878
1	159913048	162346720	874	14	0.0001741097	0.000000347740
1	162346721	165191701	1200	14	0.0000981753	0.000000342564
1	165191702	166460516	533	14	0.0003192532	0.000000302306
1	166460517	169086323	1107	14	-0.0000497456	0.000000332481
1	169086324	170557775	560	14	0.0002914296	0.000000235356
1	170557776	173097906	902	14	0.0001754370	0.000000347831
1	173097907	175089767	411	14	0.0002904772	0.000000138366
1	175089768	177433380	784	14	0.0001957916	0.000000349218
1	177433381	178944308	492	14	0.0001624002	0.000000225203
1	178944309	178954469	2	1	0.0000001450	0.000000001123
1	178954470	181144120	752	14	0.0001856449	0.000000343044
1	181144121	182755355	600	14	0.0001119198	0.000000318632
1	182755356	184595512	628	14	0.0003189955	0.000000287348
1	184595513	186810022	524	14	0.0002398255	0.000000231863
1	186810023	188759944	619	14	0.0000843108	0.000000271414
1	188759945	189904129	220	14	0.0003741685	0.000000096234
1	189904130	191868929	538	14	0.0002062865	0.000000206405
1	191868930	194107441	584	14	0.0000666682	0.000000254011
1	194107442	196176200	579	14	0.0000271682	0.000000225302
1	196176201	197311513	197	14	-0.0000036047	0.000000061799
1	197311514	199239883	504	14	0.0001556314	0.000000236150
1	199239884	200137648	301	14	0.0001218904	0.000000139358
1	200137649	201589974	711	14	0.0000778539	0.000000341179
1	201589975	203334733	617	14	0.0000379668	0.000000330639
1	203334734	204681067	485	14	0.0000309725	0.000000242121
1	204681068	206073264	578	14	0.0000711833	0.000000299800
1	206073265	208410363	633	14	0.0003324205	0.000000358532
1	208410364	210787749	932	14	0.0003924328	0.000000362623
1	210787750	212842329	698	14	0.0001511674	0.000000346176
1	212842330	214578265	614	14	0.0002228622	0.000000338564
1	214578266	216243633	595	14	0.0001315013	0.000000291803
1	216243634	218705512	1083	14	0.0000994652	0.000000342652
1	218705513	219590570	282	14	0.0003021891	0.000000141092
1	219590571	221858230	690	14	0.0003425611	0.000000353737
1	221858231	222230219	174	14	0.0000150314	0.000000086930
1	222230220	224938519	464	14	0.0004060699	0.000000247390
1	224938520	226810859	519	14	-0.0000447704	0.000000236987
1	226810860	229156247	695	14	-0.0000978683	0.000000306660
1	229156248	230685254	530	14	-0.0000708608	0.000000273546
1	230685255	232090251	590	14	0.0003447583	0.000000321452
1	232090252	233429283	608	14	0.0001889653	0.000000348753
1	233429284	234599433	536	14	0.0002090777	0.000000300090
1	234599434	235819435	385	14	0.0001369526	0.000000209390
1	235819436	237555627	735	14	0.0000401999	0.000000338612
1	237555628	238567806	428	14	-0.0000192993	0.000000222155
1	238567807	239925313	490	14	-0.0000007761	0.000000258245
1	239925314	240564090	343	14	0.0000328363	0.000000174049
1	240564091	241582219	521	14	0.0004237926	0.000000342175
1	241582220	242071601	220	14	0.0000236633	0.000000115916
1	242071602	244109498	622	14	0.0002110459	0.000000342432
1	244109499	245506745	520	14	0.0000659013	0.000000291867
