chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	101	19	0.0000956042	0.000000009219
1	1892607	3582735	427	40	0.0000905094	0.000000029346
1	3582736	4380810	266	40	0.0000419566	0.000000016912
1	4380811	5913892	845	40	0.0000194328	0.000000033357
1	5913893	7247334	419	40	0.0001191330	0.000000024327
1	7247335	9365198	678	40	0.0003779205	0.000000041144
1	9365199	10806983	344	40	0.0001608795	0.000000019809
1	10806984	11777840	250	40	0.0000643681	0.000000015953
1	11777841	12779465	276	40	0.0001861917	0.000000016805
1	12779466	14891510	601	40	0.0000191975	0.000000033623
1	14891511	16897729	656	40	0.0000294632	0.000000033694
1	16897730	18662898	636	40	0.0000106120	0.000000033442
1	18662899	20469148	693	40	0.0002103925	0.000000038343
1	20469149	21736587	445	40	0.0003155404	0.000000029602
1	21736588	23086882	502	40	0.0002455354	0.000000033971
1	23086883	23920589	219	28	0.0001766628	0.000000014340
1	23920590	25516844	510	40	0.0001611356	0.000000031940
1	25516845	27401866	402	40	0.0003889381	0.000000025690
1	27401867	30161880	536	40	0.0002029358	0.000000029582
1	30161881	32438684	889	40	-0.0000187319	0.000000032328
1	32438685	34799757	658	40	0.0001864188	0.000000037787
1	34799758	37549182	539	40	0.0001427201	0.000000030436
1	37549183	38731846	364	40	0.0000371825	0.000000018273
1	38731847	40200566	436	40	0.0000525495	0.000000022575
1	40200567	41975326	538	40	0.0001201577	0.000000027433
1	41975327	43758456	521	40	0.0001035816	0.000000024437
1	43758457	44969182	359	35	0.0000520978	0.000000016873
1	44969183	46899500	446	38	0.0000675031	0.000000016620
1	46899501	48002575	290	33	0.0000742677	0.000000014626
1	48002576	48978187	331	40	0.0000638054	0.000000018277
1	48978188	49894176	243	28	0.0000570674	0.000000013519
1	49894177	51713725	254	25	0.0000733734	0.000000010364
1	51713726	54226261	553	40	0.0000816871	0.000000028202
1	54226262	56413116	813	40	-0.0000018922	0.000000031472
1	56413117	57021727	260	30	0.0001434995	0.000000012975
1	57021728	58865398	828	40	0.0002059887	0.000000037885
1	58865399	59890408	370	40	0.0000938612	0.000000018815
1	59890409	61922364	656	40	0.0001147471	0.000000034911
1	61922365	63455088	517	40	0.0000475799	0.000000023296
1	63455089	65041703	634	40	0.0000374047	0.000000028078
1	65041704	66939403	636	40	0.0004186019	0.000000037971
1	66939404	68477894	670	40	0.0000795745	0.000000028850
1	68477895	69687615	375	40	0.0000062313	0.000000018430
1	69687616	71372469	507	40	0.0000769570	0.000000025540
1	71372470	71684404	82	10	0.0000296697	0.000000003668
1	71684405	74326906	543	40	0.0002334569	0.000000023267
1	74326907	76728134	714	40	0.0000682049	0.000000027902
1	76728135	79661197	924	40	-0.0000372890	0.000000031726
1	79661198	81354190	453	40	0.0000435224	0.000000022477
1	81354191	83991747	945	40	0.0000078932	0.000000032641
1	83991748	84844494	306	35	0.0001180802	0.000000015659
1	84844495	86454750	633	40	0.0001690431	0.000000033749
1	86454751	88128630	551	40	0.0001797002	0.000000030517
1	88128631	90066302	509	40	0.0000679799	0.000000024655
1	90066303	91886316	548	40	0.0001637255	0.000000029764
1	91886317	93536458	493	40	0.0001706756	0.000000023477
1	93536459	94506190	252	26	0.0001158327	0.000000012903
1	94506191	96150892	632	40	0.0001594146	0.000000033786
1	96150893	97885248	588	40	0.0000783393	0.000000024106
1	97885249	99800603	625	40	0.0002542318	0.000000032672
1	99800604	100826404	330	36	0.0000407570	0.000000014374
1	100826405	102041015	438	40	0.0001335602	0.000000022887
1	102041016	102898744	271	36	0.0001087863	0.000000015251
1	102898745	103914210	198	21	0.0001318616	0.000000010962
1	103914211	106087841	444	40	0.0002052512	0.000000025422
1	106087842	108409664	717	40	0.0001002099	0.000000035133
1	108409665	110303930	556	40	0.0003315236	0.000000027306
1	110303931	111741736	555	40	0.0001431147	0.000000032964
1	111741737	113273305	703	40	0.0001190032	0.000000034924
1	113273306	114873844	503	40	0.0001694826	0.000000028268
1	114873845	115880592	338	36	0.0001147320	0.000000016354
1	115880593	118839066	825	40	0.0000890836	0.000000035188
1	118839067	144977493	552	40	0.0005326544	0.000000030890
1	144977494	148361252	424	40	0.0001044561	0.000000021748
1	148361253	151538880	347	34	0.0000631053	0.000000015646
1	151538881	153180828	463	40	0.0001228345	0.000000021267
1	153180829	154770402	445	40	-0.0000474089	0.000000019412
1	154770403	156336132	302	38	0.0001946905	0.000000019222
1	156336133	158027411	593	40	0.0000295492	0.000000030024
1	158027412	159913047	660	40	0.0002144867	0.000000037441
1	159913048	162346720	857	40	0.0000773113	0.000000029772
1	162346721	165191701	1172	40	0.0000794464	0.000000033999
1	165191702	166460516	519	40	0.0000689413	0.000000029061
1	166460517	169086323	1083	40	0.0001370779	0.000000036554
1	169086324	170557775	552	40	0.0003710405	0.000000028209
1	170557776	173097906	874	40	0.0003223311	0.000000037431
1	173097907	175089767	405	32	0.0000775766	0.000000014170
1	175089768	177433380	761	40	0.0002001593	0.000000036759
1	177433381	178944308	475	40	0.0001273623	0.000000020893
1	178944309	178954469	2	1	-0.0000060382	0.000000000009
1	178954470	181144120	729	40	0.0000193944	0.000000031893
1	181144121	182755355	583	40	0.0000642772	0.000000031192
1	182755356	184595512	610	40	0.0002897292	0.000000033032
1	184595513	186810022	512	40	0.0000115142	0.000000022130
1	186810023	188759944	604	40	0.0001567633	0.000000029603
1	188759945	189904129	211	17	-0.0000182510	0.000000007086
1	189904130	191868929	530	40	0.0000816173	0.000000020837
1	191868930	194107441	559	40	0.0000807039	0.000000026409
1	194107442	196176200	561	40	0.0000680347	0.000000023518
1	196176201	197311513	189	16	-0.0000291366	0.000000005748
1	197311514	199239883	492	40	0.0001369801	0.000000025277
1	199239884	200137648	296	35	0.0002226358	0.000000018674
1	200137649	201589974	687	40	0.0000010918	0.000000033297
1	201589975	203334733	597	40	0.0002097137	0.000000036998
1	203334734	204681067	474	40	0.0001875903	0.000000028472
1	204681068	206073264	565	40	0.0002568054	0.000000034343
1	206073265	208410363	608	40	-0.0000026603	0.000000031011
1	208410364	210787749	899	40	0.0001602392	0.000000036228
1	210787750	212842329	680	40	0.0001225013	0.000000034963
1	212842330	214578265	603	40	0.0000816508	0.000000032293
1	214578266	216243633	579	40	0.0000655821	0.000000029648
1	216243634	218705512	1061	40	0.0000471542	0.000000032833
1	218705513	219590570	275	33	0.0001189978	0.000000014371
1	219590571	221858230	676	40	0.0005087765	0.000000039388
1	221858231	222230219	170	21	0.0000261353	0.000000009509
1	222230220	224938519	448	40	0.0000125825	0.000000021859
1	224938520	226810859	501	40	0.0001904449	0.000000028136
1	226810860	229156247	681	40	0.0000608118	0.000000032286
1	229156248	230685254	521	40	0.0000794189	0.000000026018
1	230685255	232090251	579	40	0.0001630879	0.000000032097
1	232090252	233429283	593	40	0.0001576634	0.000000036494
1	233429284	234599433	519	40	0.0000446615	0.000000029262
1	234599434	235819435	376	40	0.0002078625	0.000000025778
1	235819436	237555627	708	40	0.0000876906	0.000000036154
1	237555628	238567806	420	40	0.0000181644	0.000000022828
1	238567807	239925313	480	40	0.0000020349	0.000000025439
1	239925314	240564090	328	40	0.0000378601	0.000000018358
1	240564091	241582219	510	40	0.0000107733	0.000000032172
1	241582220	242071601	215	38	0.0000423758	0.000000013687
1	242071602	244109498	608	40	0.0001279439	0.000000034807
1	244109499	245506745	506	40	0.0002331327	0.000000035018
1	245506746	247344517	688	40	0.0000324922	0.000000034440
1	247344518	249239465	379	40	0.0000642187	0.000000022771
2	10133	1781021	662	40	0.0002590137	0.000000033722
2	1781022	3973778	964	40	0.0001138255	0.000000035403
2	3973779	5708336	628	40	0.0001771929	0.000000036232
2	5708337	6836253	565	40	0.0001296113	0.000000030178
2	6836254	8422146	654	40	0.0000376527	0.000000034004
2	8422147	10298468	672	40	0.0001590246	0.000000037083
2	10298469	12419149	971	40	0.0001464167	0.000000036505
2	12419150	14335307	591	40	0.0002121602	0.000000033218
2	14335308	16329734	745	40	0.0001099475	0.000000034834
2	16329735	18647422	860	40	0.0000655715	0.000000033893
2	18647423	19692403	383	40	0.0001028104	0.000000021842
2	19692404	21050489	637	40	0.0002379658	0.000000035704
2	21050490	23341382	623	40	0.0001112352	0.000000029996
2	23341383	24686917	441	40	0.0001672516	0.000000024067
2	24686918	26894984	559	40	0.0002390744	0.000000031077
2	26894985	28598776	415	33	0.0001091946	0.000000013162
2	28598777	29217558	247	32	-0.0000002055	0.000000011467
2	29217559	30463710	636	40	0.0000945064	0.000000034670
2	30463711	31550449	529	40	0.0001825670	0.000000033539
2	31550450	33363776	494	40	0.0000606192	0.000000029384
2	33363777	35345027	802	40	-0.0000018320	0.000000032380
2	35345028	36122005	290	30	0.0001510392	0.000000017420
2	36122006	38132711	922	40	0.0003415788	0.000000039855
2	38132712	39031336	326	38	0.0000702793	0.000000020574
2	39031337	40281482	303	32	0.0000153403	0.000000016759
2	40281483	43309589	1306	40	0.0001138913	0.000000032727
2	43309590	44313802	400	40	0.0003262413	0.000000021836
2	44313803	46482633	1066	40	0.0001539693	0.000000035124
2	46482634	47318771	416	40	0.0000911310	0.000000028041
2	47318772	48213000	300	40	0.0001066972	0.000000021447
