chr	start	end	num_snp	k	local_h2g	var
1	10583	1892606	93	16	0.0001127115	0.000000059795
1	1892607	3582735	409	16	0.0001636210	0.000000223219
1	3582736	4380810	263	16	0.0001296136	0.000000123634
1	4380811	5913892	863	16	0.0000061893	0.000000240041
1	5913893	7247334	410	16	0.0000853179	0.000000157078
1	7247335	9365198	680	16	0.0002200107	0.000000251644
1	9365199	10806983	338	16	0.0001673274	0.000000128587
1	10806984	11777840	246	16	-0.0000354592	0.000000103328
1	11777841	12779465	278	16	0.0000506368	0.000000134299
1	12779466	14891510	607	16	0.0000668473	0.000000248837
1	14891511	16897729	656	16	0.0003000631	0.000000258907
1	16897730	18662898	637	16	0.0002585616	0.000000264661
1	18662899	20469148	685	16	0.0000235764	0.000000252091
1	20469149	21736587	450	16	0.0001431919	0.000000177646
1	21736588	23086882	506	16	0.0000618186	0.000000210658
1	23086883	23920589	214	16	0.0000250228	0.000000073127
1	23920590	25516844	500	16	0.0001820993	0.000000211560
1	25516845	27401866	386	16	0.0002165933	0.000000127577
1	27401867	30161880	525	16	0.0001265289	0.000000184476
1	30161881	32438684	904	16	0.0000497661	0.000000236547
1	32438685	34799757	644	16	0.0000610560	0.000000233617
1	34799758	37549182	526	16	0.0001417929	0.000000192459
1	37549183	38731846	358	16	0.0001241110	0.000000128416
1	38731847	40200566	424	16	0.0002485191	0.000000170089
1	40200567	41975326	540	16	0.0003145466	0.000000189913
1	41975327	43758456	532	16	0.0001997605	0.000000168722
1	43758457	44969182	351	16	0.0001309229	0.000000111495
1	44969183	46899500	440	16	0.0005149435	0.000000124694
1	46899501	48002575	280	16	-0.0000124639	0.000000081854
1	48002576	48978187	339	16	0.0000425080	0.000000114964
1	48978188	49894176	237	16	0.0001575318	0.000000083451
1	49894177	51713725	252	16	0.0000567245	0.000000058653
1	51713726	54226261	546	16	0.0003953957	0.000000209646
1	54226262	56413116	812	16	0.0000574645	0.000000242881
1	56413117	57021727	265	16	0.0002851768	0.000000091088
1	57021728	58865398	824	16	-0.0000694847	0.000000230506
1	58865399	59890408	371	16	0.0000663344	0.000000118058
1	59890409	61922364	660	16	-0.0000030321	0.000000239628
1	61922365	63455088	522	16	0.0000667374	0.000000201351
1	63455089	65041703	642	16	-0.0000106454	0.000000190231
1	65041704	66939403	636	16	0.0001187825	0.000000198302
1	66939404	68477894	663	16	0.0000842839	0.000000186799
1	68477895	69687615	382	16	0.0000442784	0.000000134299
1	69687616	71372469	507	16	0.0001820881	0.000000176143
1	71372470	71684404	81	10	0.0000902404	0.000000023607
1	71684405	74326906	558	16	-0.0000084750	0.000000142705
1	74326907	76728134	711	16	0.0000109561	0.000000189661
1	76728135	79661197	923	16	-0.0000144954	0.000000236139
1	79661198	81354190	470	16	0.0001991994	0.000000161989
1	81354191	83991747	965	16	0.0001052491	0.000000250357
1	83991748	84844494	306	16	0.0000673597	0.000000089555
