chr	start	end	num_snp	k	local_rho	var
1	10583	1892606	96	17	-0.0000478343	0.0000000230
1	1892607	3582735	439	40	-0.0002938971	0.0000000726
1	3582736	4380810	272	40	0.0001079688	0.0000000425
1	4380811	5913892	869	40	0.0000206453	0.0000000762
1	5913893	7247334	430	40	-0.0000339974	0.0000000534
1	7247335	9365198	699	40	0.0001129016	0.0000000774
1	9365199	10806983	352	40	0.0002301486	0.0000000436
1	10806984	11777840	257	40	-0.0001155106	0.0000000382
1	11777841	12779465	281	40	-0.0000121056	0.0000000453
1	12779466	14891510	618	40	0.0001997357	0.0000000819
1	14891511	16897729	690	40	-0.0000693760	0.0000000784
1	16897730	18662898	663	40	0.0000191437	0.0000000808
1	18662899	20469148	714	40	0.0001262516	0.0000000798
1	20469149	21736587	461	40	0.0001494765	0.0000000604
1	21736588	23086882	523	40	0.0001952055	0.0000000707
1	23086883	23920589	222	28	0.0000174603	0.0000000286
1	23920590	25516844	521	40	0.0000374935	0.0000000722
1	25516845	27401866	413	40	0.0005772999	0.0000000493
1	27401867	30161880	551	40	0.0000803993	0.0000000607
1	30161881	32438684	934	40	-0.0001230601	0.0000000804
1	32438685	34799757	675	40	-0.0001321695	0.0000000768
1	34799758	37549182	549	40	0.0003012943	0.0000000638
1	37549183	38731846	373	40	-0.0000433944	0.0000000424
1	38731847	40200566	447	40	0.0000336290	0.0000000584
1	40200567	41975326	555	40	0.0000233005	0.0000000646
1	41975327	43758456	543	40	-0.0000632367	0.0000000592
1	43758457	44969182	371	35	-0.0002371153	0.0000000454
1	44969183	46899500	458	38	-0.0001392829	0.0000000446
1	46899501	48002575	297	33	0.0002280008	0.0000000402
1	48002576	48978187	344	40	-0.0001283646	0.0000000448
1	48978188	49894176	247	28	0.0000308312	0.0000000314
1	49894177	51713725	260	25	0.0000828045	0.0000000279
1	51713726	54226261	562	40	-0.0000269582	0.0000000675
1	54226262	56413116	838	40	0.0005362169	0.0000000864
1	56413117	57021727	271	31	-0.0000583669	0.0000000329
1	57021728	58865398	847	40	-0.0001282227	0.0000000747
1	58865399	59890408	383	40	0.0002627080	0.0000000478
1	59890409	61922364	671	40	-0.0002610635	0.0000000721
1	61922365	63455088	533	40	0.0003611962	0.0000000690
1	63455089	65041703	657	40	0.0000986192	0.0000000637
1	65041704	66939403	649	40	0.0000484908	0.0000000655
1	66939404	68477894	687	40	0.0000554832	0.0000000667
1	68477895	69687615	388	40	0.0002521423	0.0000000450
1	69687616	71372469	520	40	-0.0001346495	0.0000000549
1	71372470	71684404	82	10	-0.0001069497	0.0000000091
1	71684405	74326906	559	40	-0.0000239071	0.0000000514
1	74326907	76728134	727	40	0.0000693066	0.0000000652
1	76728135	79661197	947	40	-0.0000633612	0.0000000756
1	79661198	81354190	475	40	-0.0002642859	0.0000000550
1	81354191	83991747	973	40	-0.0000760140	0.0000000768
1	83991748	84844494	314	35	0.0000425120	0.0000000300
1	84844495	86454750	652	40	0.0001316575	0.0000000756
1	86454751	88128630	571	40	-0.0000787439	0.0000000620
1	88128631	90066302	523	40	0.0001870623	0.0000000632
1	90066303	91886316	559	40	-0.0000687806	0.0000000692
1	91886317	93536458	509	40	0.0000621689	0.0000000497
1	93536459	94506190	255	26	0.0000627893	0.0000000257
1	94506191	96150892	651	40	0.0001760013	0.0000000714
1	96150893	97885248	605	40	0.0001768090	0.0000000557
1	97885249	99800603	640	40	0.0000887363	0.0000000637
1	99800604	100826404	339	37	0.0000997486	0.0000000362
